Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Jared Goff,LAR,QB,39.3,4
Mitchell Trubisky,CHI,QB,43.46,28
Brock Osweiler,MIA,QB,6.1,20
Matt Ryan,ATL,QB,29.26,32
Matthew Stafford,DET,QB,20.78,8
Dak Prescott,DAL,QB,18.4,21
Kirk Cousins,MIN,QB,29.68,11
Blake Bortles,JAX,QB,24.32,26
Andy Dalton,CIN,QB,24.78,26
Joe Flacco,BAL,QB,22.22,22
Andrew Luck,IND,QB,33.66,19
Deshaun Watson,HOU,QB,31.1,12
Marcus Mariota,TEN,QB,30.36,27
Carson Wentz,PHI,QB,20.72,5
Eli Manning,NYG,QB,12.7,30
Philip Rivers,LAC,QB,19.7,25
Tom Brady,NWE,QB,18.96,16
Derek Carr,OAK,QB,29.58,15
Russell Wilson,SEA,QB,8.98,6
Patrick Mahomes,KAN,QB,22.86,9
Josh Rosen,ARI,QB,12.5,14
C.J. Beathard,SFO,QB,17.82,13
Drew Brees,NOR,QB,8.58,10
Aaron Rodgers,GNB,QB,15.02,1
Sam Darnold,NYJ,QB,11.48,7
Jameis Winston,TAM,QB,6.5,3
Case Keenum,DEN,QB,7.8,31
Ben Roethlisberger,PIT,QB,12.86,2
Baker Mayfield,CLE,QB,12.8,24
Taysom Hill,NOR,QB,3.8,10
Ryan Fitzpatrick,TAM,QB,3.04,3
Ryan Tannehill,MIA,QB,0.0,20
Johnny Hekker,LAR,P,0.0,20
Josh Allen,BUF,QB,1.94,18
Ezekiel Elliott,DAL,RB,34.0,21
Alvin Kamara,NOR,RB,41.1,25
Marshawn Lynch,OAK,RB,18.7,22
Kareem Hunt,KAN,RB,26.5,17
Sony Michel,NWE,RB,17.2,29
Nick Chubb,CLE,RB,22.5,26
Melvin Gordon,LAC,RB,28.9,20
Mike Davis,SEA,RB,28.4,32
Todd Gurley,LAR,RB,25.6,9
Carlos Hyde,CLE,RB,14.2,26
David Johnson,ARI,RB,18.2,18
Jay Ajayi,PHI,RB,11.1,4
Giovani Bernard,CIN,RB,25.6,4
Phillip Lindsay,DEN,RB,15.9,30
Royce Freeman,DEN,RB,12.7,30
Aaron Jones,GNB,RB,15.2,24
Kerryon Johnson,DET,RB,12.6,6
Tarik Cohen,CHI,RB,30.4,27
T.J. Yeldon,JAX,RB,23.0,16
Tevin Coleman,ATL,RB,10.7,31
Lamar Miller,HOU,RB,4.9,11
Rashaad Penny,SEA,RB,4.9,32
Saquon Barkley,NYG,RB,22.0,3
James White,NWE,RB,31.2,29
Alex Collins,BAL,RB,9.5,10
Frank Gore,MIA,RB,13.7,13
Matt Breida,SFO,RB,10.1,23
Wendell Smallwood,PHI,RB,8.4,4
Ito Smith,ATL,RB,13.8,31
Alfred Blue,HOU,RB,3.1,11
Javorius Allen,BAL,RB,6.7,10
Leonard Fournette,JAX,RB,4.5,16
Ronald Jones,TAM,RB,3.8,1
Jamaal Williams,GNB,RB,2.7,24
Bilal Powell,NYJ,RB,9.2,5
Austin Ekeler,LAC,RB,13.6,20
Jordan Howard,CHI,RB,2.5,27
Peyton Barber,TAM,RB,4.0,1
Derrick Henry,TEN,RB,5.1,14
LeSean McCoy,BUF,RB,6.7,19
Rod Smith,DAL,RB,3.2,21
Dalvin Cook,MIN,RB,2.0,15
James Conner,PIT,RB,7.4,2
Ty Montgomery,GNB,RB,9.4,24
Emmanuel Sanders,DEN,WR,11.3,24
Jamal Agnew,DET,CB,1.7,24
Lamar Jackson,BAL,QB,1.7,22
Jordan Wilkins,IND,RB,1.6,8
Chris Ivory,BUF,RB,1.5,19
Alfred Morris,SFO,RB,2.8,23
LeGarrette Blount,DET,RB,1.2,6
Kenjon Barner,NWE,RB,1.1,29
Duke Johnson,CLE,RB,9.6,26
Doug Martin,OAK,RB,1.1,22
Cordarrelle Patterson,NWE,WR,15.5,14
Dede Westbrook,JAX,WR,21.1,31
Odell Beckham,NYG,WR,14.0,32
Brandin Cooks,LAR,WR,25.6,3
Taylor Gabriel,CHI,WR,30.4,26
Nyheim Hines,IND,RB,28.3,8
Mark Walton,CIN,RB,5.7,8
Alex Erickson,CIN,WR,2.6,8
Tavon Austin,DAL,WR,0.7,18
Christian Kirk,ARI,WR,7.5,16
Theo Riddick,DET,RB,6.7,6
Wayne Gallman,NYG,RB,3.3,3
Mike Gillislee,NOR,RB,2.5,25
De'Anthony Thomas,KAN,WR,3.1,11
Spencer Ware,KAN,RB,0.6,17
Devontae Booker,DEN,RB,2.4,30
Corey Grant,JAX,RB,3.7,16
Marquise Goodwin,SFO,WR,4.8,8
Jeremy McNichols,IND,RB,0.4,8
Roc Thomas,MIN,RB,0.4,15
De'Lance Turner,BAL,RB,2.4,10
Kalen Ballage,MIA,RB,0.3,13
John Brown,BAL,WR,20.9,17
Kenyan Drake,MIA,RB,2.6,13
Chris Moore,BAL,WR,3.2,17
Tyreek Hill,KAN,WR,14.6,11
Latavius Murray,MIN,RB,3.8,15
Dwayne Washington,NOR,RB,0.2,25
Albert Wilson,MIA,WR,6.1,13
Chase Edmonds,ARI,RB,0.1,18
Ted Ginn,NOR,WR,0.1,7
Calvin Ridley,ATL,WR,21.5,20
Ryan Switzer,PIT,WR,10.3,1
Isaiah Crowell,NYJ,RB,1.3,5
Benny Cunningham,CHI,RB,0.0,27
Dion Lewis,TEN,RB,15.6,14
Dwayne Harris,OAK,WR,-0.1,15
Keke Coutee,HOU,WR,21.7,4
Chase Daniel,CHI,QB,-0.2,28
Jalen Richard,OAK,RB,6.6,22
Brian Hoyer,NWE,QB,-0.3,16
Julio Jones,ATL,WR,26.3,20
DeAndre Hopkins,HOU,WR,32.9,4
Cooper Kupp,LAR,WR,37.2,3
Corey Davis,TEN,WR,31.1,30
Adam Thielen,MIN,WR,27.5,22
Golden Tate,DET,WR,33.2,6
Amari Cooper,OAK,WR,26.8,15
George Kittle,SFO,TE,24.5,16
Stefon Diggs,MIN,WR,23.3,22
T.Y. Hilton,IND,WR,15.5,9
Zach Ertz,PHI,TE,21.2,1
DeSean Jackson,TAM,WR,16.2,10
Mohamed Sanu,ATL,WR,17.1,20
Jared Cook,OAK,TE,31.0,26
Donte Moncrief,JAX,WR,21.9,31
Alshon Jeffery,PHI,WR,24.5,21
Robert Woods,LAR,WR,21.1,3
Tyler Boyd,CIN,WR,21.0,3
Trey Burton,CHI,TE,16.6,22
Chester Rogers,IND,WR,16.5,9
Davante Adams,GNB,WR,16.1,5
Geronimo Allison,GNB,WR,14.0,5
A.J. Green,CIN,WR,17.8,5
Travis Kelce,KAN,TE,20.8,27
Sterling Shepard,NYG,WR,23.7,32
Taywan Taylor,TEN,WR,14.7,30
Kenny Golladay,DET,WR,11.4,6
Quincy Enunwa,NYJ,WR,10.6,2
Ryan Grant,IND,WR,11.4,9
Keenan Allen,LAC,WR,13.3,29
Josh Hill,NOR,TE,9.3,14
Antonio Brown,PIT,WR,17.2,1
Vance McDonald,PIT,TE,9.2,15
Rashard Higgins,CLE,WR,10.1,19
JuJu Smith-Schuster,PIT,WR,10.0,1
Mike Evans,TAM,WR,11.9,10
Demetrius Harris,KAN,TE,7.9,27
Jeff Heuerman,DEN,TE,9.7,32
Kyle Rudolph,MIN,TE,10.7,18
Marvin Jones,DET,WR,8.6,6
Jordan Matthews,PHI,WR,12.6,21
Zach Pascal,IND,WR,17.6,9
Willie Snead,BAL,WR,11.6,17
Phillip Dorsett,NWE,WR,15.5,14
Antonio Callaway,CLE,WR,8.4,19
Cole Beasley,DAL,WR,9.3,18
Tyler Lockett,SEA,WR,10.3,12
Pierre Garcon,SFO,WR,9.2,8
David Njoku,CLE,TE,10.2,30
John Ross,CIN,WR,13.2,30
Ricky Seals-Jones,ARI,TE,7.2,13
Martavis Bryant,OAK,WR,8.1,15
Courtland Sutton,DEN,WR,8.1,24
Maxx Williams,BAL,TE,10.1,25
Darren Fells,CLE,TE,11.9,30
Will Fuller,HOU,WR,14.9,4
Jordy Nelson,OAK,WR,15.8,15
Tyrell Williams,LAC,WR,7.8,29
Michael Thomas,NOR,WR,8.7,7
Laquon Treadwell,MIN,WR,8.7,22
Michael Gallup,DAL,WR,6.5,18
Rob Gronkowski,NWE,TE,8.4,24
Doug Baldwin,SEA,WR,9.1,12
Charles Clay,BUF,TE,8.0,12
Eric Ebron,IND,TE,15.0,31
Kenny Stills,MIA,WR,7.0,13
David Moore,SEA,WR,5.9,12
Geoff Swaim,DAL,TE,12.9,17
Tyler Eifert,CIN,TE,13.8,17
Zay Jones,BUF,WR,7.8,28
Marquez Valdes-Scantling,GNB,WR,4.8,5
