Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Ryan Fitzpatrick,TAM,QB,42.28,30
Aaron Rodgers,GNB,QB,24.94,3
Drew Brees,NOR,QB,29.56,28
Patrick Mahomes,KAN,QB,28.34,13
Joe Flacco,BAL,QB,21.74,1
Nelson Agholor,PHI,WR,13.5,1
Alex Smith,WAS,QB,19.6,6
Sam Darnold,NYJ,QB,13.82,21
Andy Dalton,CIN,QB,16.52,12
Philip Rivers,LAC,QB,26.96,31
Tom Brady,NWE,QB,21.28,19
Jared Goff,LAR,QB,17.22,24
Kirk Cousins,MIN,QB,20.36,25
Andrew Luck,IND,QB,19.46,32
Russell Wilson,SEA,QB,20.42,9
Ryan Tannehill,MIA,QB,13.6,5
Case Keenum,DEN,QB,19.16,14
Cam Newton,CAR,QB,18.24,8
Dak Prescott,DAL,QB,6.7,23
Mitchell Trubisky,CHI,QB,14.04,18
Eli Manning,NYG,QB,7.16,7
Blake Bortles,JAX,QB,13.24,10
Deshaun Watson,HOU,QB,11.04,20
Derek Carr,OAK,QB,6.22,11
Ben Roethlisberger,PIT,QB,9.0,15
Sam Bradford,ARI,QB,2.82,15
Matt Ryan,ATL,QB,8.84,27
Josh Allen,BUF,QB,5.56,2
Lamar Jackson,BAL,QB,4.86,1
Tyrod Taylor,CLE,QB,23.58,22
Nick Foles,PHI,QB,5.08,22
Matthew Stafford,DET,QB,8.04,26
Blaine Gabbert,TEN,QB,2.68,16
Jimmy Garoppolo,SFO,QB,9.04,4
DeShone Kizer,GNB,QB,-1.8,3
Marcus Mariota,TEN,QB,1.62,16
Matt Cassel,DET,QB,-1.54,26
Nathan Peterman,BUF,QB,-2.94,2
James Conner,PIT,RB,34.2,22
Todd Gurley,LAR,RB,23.7,26
Saquon Barkley,NYG,RB,20.8,5
Isaiah Crowell,NYJ,RB,22.2,21
Lamar Miller,HOU,RB,11.9,13
Adrian Peterson,WAS,RB,22.6,32
Joe Mixon,CIN,RB,25.9,11
Jordan Howard,CHI,RB,15.7,19
Dion Lewis,TEN,RB,22.0,29
Royce Freeman,DEN,RB,7.1,18
Phillip Lindsay,DEN,RB,18.2,18
Peyton Barber,TAM,RB,6.9,3
Ezekiel Elliott,DAL,RB,17.6,7
Chris Thompson,WAS,RB,24.8,32
Rex Burkhead,NWE,RB,7.9,8
Melvin Gordon,LAC,RB,25.6,30
Jay Ajayi,PHI,RB,18.2,30
Carlos Hyde,CLE,RB,13.5,10
Frank Gore,MIA,RB,6.1,4
Bilal Powell,NYJ,RB,7.5,21
Chris Carson,SEA,RB,8.9,17
T.J. Yeldon,JAX,RB,15.9,25
Christian McCaffrey,CAR,RB,13.5,6
Kareem Hunt,KAN,RB,4.9,23
Kenyan Drake,MIA,RB,9.6,4
Jamaal Williams,GNB,RB,4.7,1
Matt Breida,SFO,RB,6.1,9
Kenneth Dixon,BAL,RB,10.4,24
Latavius Murray,MIN,RB,4.2,20
