Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Kevin Byard,TEN,FS,6.64,24
Patrick Mahomes,KAN,QB,38.84,22
Ryan Fitzpatrick,TAM,QB,29.98,27
Philip Rivers,LAC,QB,22.74,1
Ryan Tannehill,MIA,QB,17.12,26
Kirk Cousins,MIN,QB,31.5,18
Jimmy Garoppolo,SFO,QB,16.64,21
Matt Ryan,ATL,QB,30.68,23
Drew Brees,NOR,QB,17.62,15
Derek Carr,OAK,QB,15.52,9
Blake Bortles,JAX,QB,32.54,20
Jared Goff,LAR,QB,16.36,6
Andy Dalton,CIN,QB,26.6,2
Deshaun Watson,HOU,QB,22.8,5
Tom Brady,NWE,QB,16.36,7
Cam Newton,CAR,QB,27.6,7
Ben Roethlisberger,PIT,QB,36.98,31
Matthew Stafford,DET,QB,24.68,25
Derrick Henry,TEN,RB,5.92,8
Nick Foles,PHI,QB,16.16,28
Eli Manning,NYG,QB,13.56,8
Aaron Rodgers,GNB,QB,16.04,4
Blaine Gabbert,TEN,QB,8.88,19
Dak Prescott,DAL,QB,14.9,10
Tyrod Taylor,CLE,QB,14.44,30
Alex Smith,WAS,QB,13.08,12
Russell Wilson,SEA,QB,14.74,3
Mitchell Trubisky,CHI,QB,14.4,14
Andrew Luck,IND,QB,11.36,14
Joe Flacco,BAL,QB,17.84,32
Sam Darnold,NYJ,QB,13.46,16
Josh Allen,BUF,QB,13.0,13
Case Keenum,DEN,QB,14.48,24
Sam Bradford,ARI,QB,1.6,11
Matt Breida,SFO,RB,24.9,21
Tevin Coleman,ATL,RB,16.5,7
Phillip Lindsay,DEN,RB,12.1,26
Joe Mixon,CIN,RB,9.7,2
Ezekiel Elliott,DAL,RB,19.7,25
Austin Ekeler,LAC,RB,12.8,24
Kareem Hunt,KAN,RB,15.0,10
Lamar Miller,HOU,RB,9.0,4
Marshawn Lynch,OAK,RB,14.8,17
Jordan Wilkins,IND,RB,8.4,17
Jamaal Williams,GNB,RB,10.1,9
T.J. Yeldon,JAX,RB,9.1,13
Kenyan Drake,MIA,RB,17.0,16
David Johnson,ARI,RB,6.1,15
Alfred Morris,SFO,RB,10.0,21
Malcolm Brown,LAR,RB,4.6,32
Alvin Kamara,NOR,RB,15.9,22
Ito Smith,ATL,RB,6.4,7
Carlos Hyde,CLE,RB,12.0,3
Kerryon Johnson,DET,RB,11.6,20
Todd Gurley,LAR,RB,28.3,32
Dion Lewis,TEN,RB,5.3,8
LeSean McCoy,BUF,RB,10.8,23
LeGarrette Blount,DET,RB,4.5,20
Dalvin Cook,MIN,RB,12.0,19
Christian McCaffrey,CAR,RB,27.9,19
Alfred Blue,HOU,RB,3.6,4
Alex Collins,BAL,RB,12.0,31
Isaiah Crowell,NYJ,RB,5.9,29
Jordan Howard,CHI,RB,9.8,18
Marlon Mack,IND,RB,4.6,18
Sony Michel,NWE,RB,5.1,5
C.J. Anderson,CAR,RB,3.1,5
Ty Montgomery,GNB,RB,5.0,9
Sammy Watkins,KAN,WR,19.1,17
Corey Clement,PHI,RB,19.5,27
Rashaad Penny,SEA,RB,3.0,1
Jamison Crowder,WAS,WR,5.7,4
Saquon Barkley,NYG,RB,24.8,6
Royce Freeman,DEN,RB,8.8,26
Melvin Gordon,LAC,RB,30.6,24
Wendell Smallwood,PHI,RB,2.0,27
Giovani Bernard,CIN,RB,8.2,2
Frank Gore,MIA,RB,5.4,16
Chris Carson,SEA,RB,2.4,1
Doug Martin,OAK,RB,3.4,17
Jay Ajayi,PHI,RB,9.7,27
Peyton Barber,TAM,RB,3.9,14
Rex Burkhead,NWE,WR,2.2,2
Adrian Peterson,WAS,RB,8.0,11
Latavius Murray,MIN,RB,1.9,19
Mike Gillislee,NOR,RB,1.8,22
Devontae Booker,DEN,RB,1.7,26
James Conner,PIT,RB,17.5,30
Taylor Gabriel,CHI,WR,8.7,16
Tavon Austin,DAL,WR,17.4,7
Nick Chubb,CLE,RB,1.4,3
Corey Grant,JAX,RB,12.9,13
Jacquizz Rodgers,TAM,RB,6.6,14
James White,NWE,RB,15.4,5
Golden Tate,DET,WR,18.8,29
Shaun Wilson,TAM,RB,0.9,14
Javorius Allen,BAL,RB,15.4,31
Tarik Cohen,CHI,RB,3.5,18
Albert Wilson,MIA,WR,13.5,31
Antonio Callaway,CLE,WR,17.8,32
Nyheim Hines,IND,RB,7.5,32
Chris Ivory,BUF,RB,10.7,23
D.J. Moore,CAR,WR,12.8,23
Maxx Williams,BAL,TE,6.8,29
Lamar Jackson,BAL,QB,0.6,32
Marcus Murphy,BUF,RB,2.3,23
Bilal Powell,NYJ,RB,19.0,29
Chase Edmonds,ARI,RB,7.0,15
Jakeem Grant,MIA,WR,5.2,31
C.J. Ham,MIN,RB,0.5,19
Cordarrelle Patterson,NWE,WR,5.3,2
Ryan Switzer,PIT,WR,2.9,24
Alex Armah,CAR,RB,0.4,24
Brandon Wilds,JAX,RB,0.4,13
Mike Davis,SEA,RB,1.2,1
Duke Johnson,CLE,RB,3.0,3
Jalen Richard,OAK,RB,0.3,17
Calvin Ridley,ATL,WR,16.7,27
Spencer Ware,KAN,RB,0.3,10
Nelson Agholor,PHI,WR,23.0,26
Trey Burton,CHI,TE,12.2,13
Wayne Gallman,NYG,RB,2.3,6
Chris Moore,BAL,WR,3.1,20
Stevan Ridley,PIT,RB,1.7,30
Derrick Coleman,ARI,RB,0.1,15
Stefon Diggs,MIN,WR,33.9,28
Robert Kelley,WAS,RB,0.1,11
Jonathan Stewart,NYG,RB,0.1,6
Chris Thompson,WAS,RB,22.3,11
JJ Jones,LAC,WR,0.0,5
Detrez Newsome,LAC,RB,0.0,24
Matt Schaub,ATL,QB,0.0,23
Geno Smith,LAC,QB,-0.1,1
Jonathan Williams,NOR,RB,-0.1,22
John Ross,CIN,WR,1.5,1
Mohamed Sanu,ATL,WR,3.5,27
Dede Westbrook,JAX,WR,17.6,13
Brandin Cooks,LAR,WR,22.9,12
Jesse James,PIT,TE,24.8,32
Adam Thielen,MIN,WR,31.1,28
DeSean Jackson,TAM,WR,22.9,30
JuJu Smith-Schuster,PIT,WR,31.1,24
Keelan Cole,JAX,WR,24.6,13
Amari Cooper,OAK,WR,21.6,11
Will Fuller,HOU,WR,25.3,21
DeAndre Hopkins,HOU,WR,23.0,21
Travis Kelce,KAN,TE,29.9,25
O.J. Howard,TAM,TE,18.6,5
Emmanuel Sanders,DEN,WR,13.6,19
Jimmy Graham,GNB,TE,15.5,8
Zach Ertz,PHI,TE,20.4,22
John Brown,BAL,WR,19.2,20
Quincy Enunwa,NYJ,WR,16.2,14
Tyler Boyd,CIN,WR,21.1,1
Tyreek Hill,KAN,WR,20.0,17
Kenny Golladay,DET,WR,20.9,29
Michael Thomas,NOR,WR,30.9,15
Terrelle Pryor,NYJ,WR,12.4,14
Mike Evans,TAM,WR,22.3,30
T.Y. Hilton,IND,WR,21.3,30
Allen Robinson,CHI,WR,18.3,16
Robert Woods,LAR,WR,14.1,12
Devin Funchess,CAR,WR,14.7,12
Kyle Rudolph,MIN,TE,14.2,12
A.J. Green,CIN,WR,29.9,1
Jarvis Landry,CLE,WR,11.9,32
Keenan Allen,LAC,WR,12.7,5
Antonio Brown,PIT,WR,15.7,24
Evan Engram,NYG,TE,19.7,19
Dane Cruikshank,TEN,DB,13.6,19
Davante Adams,GNB,WR,20.4,3
Geronimo Allison,GNB,WR,12.4,3
Julio Jones,ATL,WR,11.4,27
Zay Jones,BUF,WR,8.3,8
Cooper Kupp,LAR,WR,12.3,12
Paul Richardson,WAS,WR,10.3,4
Jarius Wright,CAR,WR,17.2,4
Tyler Lockett,SEA,WR,17.0,10
Austin Hooper,ATL,TE,16.9,28
Pierre Garcon,SFO,WR,9.7,18
Joshua Perkins,PHI,TE,9.7,22
Michael Crabtree,BAL,WR,10.6,20
Chris Godwin,TAM,WR,16.6,30
Corey Davis,TEN,WR,10.5,9
Ted Ginn,NOR,WR,7.5,15
Virgil Green,LAC,TE,8.5,2
Jordan Reed,WAS,TE,9.5,23
Marvin Jones,DET,WR,15.4,29
Willie Snead,BAL,WR,10.4,20
Odell Beckham,NYG,WR,9.1,6
