Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Danny Amendola,MIA,WR,14.42,9
Russell Wilson,SEA,QB,23.42,21
Deshaun Watson,HOU,QB,30.96,16
Ryan Fitzpatrick,TAM,QB,17.56,32
Lamar Jackson,BAL,QB,8.44,23
Derek Carr,OAK,QB,27.76,12
Andrew Luck,IND,QB,21.36,24
Patrick Mahomes,KAN,QB,26.02,9
Carson Wentz,PHI,QB,23.64,7
Taylor Heinicke,CAR,QB,0.32,2
Taysom Hill,NOR,TE,3.06,8
Cam Newton,CAR,QB,27.96,2
Johnny Hekker,LAR,P,0.48,2
Nathan Peterman,BUF,QB,0.92,20
Jared Goff,LAR,QB,24.5,18
Kirk Cousins,MIN,QB,20.66,30
Andy Dalton,CIN,QB,20.2,28
Aaron Rodgers,GNB,QB,15.94,11
Mitchell Trubisky,CHI,QB,21.9,26
Case Keenum,DEN,QB,15.38,31
Matthew Stafford,DET,QB,17.0,14
Ben Roethlisberger,PIT,QB,16.88,15
Blake Bortles,JAX,QB,19.74,27
Alex Smith,WAS,QB,12.42,10
Tom Brady,NWE,QB,13.76,1
Drew Brees,NOR,QB,6.8,4
C.J. Beathard,SFO,QB,12.5,6
Josh Rosen,ARI,QB,17.28,25
Baker Mayfield,CLE,QB,14.1,22
Sam Darnold,NYJ,QB,12.32,3
Eli Manning,NYG,QB,12.64,3
Derek Anderson,BUF,QB,7.5,20
Brock Osweiler,MIA,QB,7.64,19
Joe Flacco,BAL,QB,9.08,23
Jameis Winston,TAM,QB,8.84,32
Adrian Peterson,WAS,RB,26.6,25
James Conner,PIT,RB,38.2,22
Lamar Miller,HOU,RB,19.3,29
Marlon Mack,IND,RB,28.9,26
Joe Mixon,CIN,RB,28.8,27
Todd Gurley,LAR,RB,31.5,19
Chris Carson,SEA,RB,20.4,21
Phillip Lindsay,DEN,RB,20.2,30
Aaron Jones,GNB,RB,16.6,15
Peyton Barber,TAM,RB,14.5,31
Jordan Howard,CHI,RB,14.1,16
Devontae Booker,DEN,RB,14.1,30
Nyheim Hines,IND,RB,10.5,26
Doug Martin,OAK,RB,8.9,11
Nick Chubb,CLE,RB,9.5,10
Mark Ingram,NOR,RB,12.2,9
Josh Adams,PHI,RB,7.7,5
David Johnson,ARI,RB,14.0,20
Kenyan Drake,MIA,RB,23.5,8
Latavius Murray,MIN,RB,20.5,3
Frank Gore,MIA,RB,6.8,8
Kareem Hunt,KAN,RB,19.6,17
Alex Collins,BAL,RB,12.3,7
Alvin Kamara,NOR,RB,26.6,9
Christian McCaffrey,CAR,RB,21.6,2
Alfred Blue,HOU,RB,4.2,29
Matt Breida,SFO,RB,4.2,32
Tarik Cohen,CHI,RB,18.0,16
D.J. Moore,CAR,WR,17.9,1
Saquon Barkley,NYG,RB,20.1,1
Cordarrelle Patterson,NWE,RB,3.8,24
Chris Ivory,BUF,RB,5.5,13
Mike Davis,SEA,RB,4.5,21
Alfred Morris,SFO,RB,2.8,32
Isaiah Crowell,NYJ,RB,4.8,1
Wendell Smallwood,PHI,RB,14.6,5
Kerryon Johnson,DET,RB,15.1,18
C.J. Anderson,CAR,RB,2.0,2
Raheem Mostert,SFO,RB,1.8,32
Jaylen Samuels,PIT,RB,1.7,22
Adam Thielen,MIN,WR,22.8,32
James White,NWE,RB,25.4,24
Nelson Agholor,PHI,WR,9.3,2
Jalen Richard,OAK,RB,14.4,11
Jordan Wilkins,IND,RB,1.4,26
Julian Edelman,NWE,WR,20.7,5
Dwayne Harris,OAK,WR,1.3,4
Tyler Lockett,SEA,WR,12.7,18
LeSean McCoy,BUF,RB,15.5,13
Tim Patrick,DEN,WR,10.7,24
Chris Thompson,WAS,RB,4.2,25
Gus Edwards,BAL,RB,2.9,7
Mike Boone,MIN,RB,1.1,3
Carlos Hyde,JAX,RB,1.1,14
Trenton Cannon,NYJ,RB,5.2,1
Kyle Juszczyk,SFO,RB,1.0,32
Brandin Cooks,LAR,WR,11.3,28
Michael Dickson,SEA,P,0.9,28
Chase Edmonds,ARI,RB,3.1,20
Dede Westbrook,JAX,WR,12.0,30
Jamaal Williams,GNB,RB,6.9,15
JJ Nelson,ARI,WR,0.8,29
Malcolm Brown,LAR,RB,0.7,19
Anthony Miller,CHI,WR,13.4,31
Paul Richardson,WAS,WR,6.1,7
Mark Walton,CIN,RB,2.7,27
T.J. Yeldon,JAX,RB,16.0,14
Corey Clement,PHI,RB,1.5,5
Ty Montgomery,GNB,RB,-0.2,15
Kalen Ballage,MIA,RB,0.5,8
Kenjon Barner,NWE,RB,0.4,24
DeSean Jackson,TAM,WR,16.2,20
Jacquizz Rodgers,TAM,RB,6.9,31
DeAndre Washington,OAK,RB,0.4,11
LeGarrette Blount,DET,RB,3.6,18
Golden Tate,DET,WR,12.3,16
C.J. Ham,MIN,RB,0.1,3
Tre Madden,SEA,RB,0.1,21
Duke Johnson,CLE,RB,3.6,10
Joshua Dobbs,PIT,QB,-0.1,15
Wayne Gallman,NYG,0,-0.1,15
Roc Thomas,MIN,RB,2.4,3
Brandon Weeden,HOU,QB,-0.1,16
Tyler Boyd,CIN,WR,28.6,26
Brian Hoyer,NWE,QB,-0.2,1
Josh Reynolds,LAR,WR,19.0,28
Ronald Jones,TAM,RB,1.1,31
Emmanuel Sanders,DEN,WR,9.1,24
Mike Evans,TAM,WR,29.9,20
Odell Beckham,NYG,WR,21.6,20
DeVante Parker,MIA,WR,19.4,9
Davante Adams,GNB,WR,18.3,22
Will Fuller,HOU,WR,23.4,14
Stefon Diggs,MIN,WR,27.9,32
Marvin Jones,DET,WR,30.7,16
Sammy Watkins,KAN,WR,30.7,11
Larry Fitzgerald,ARI,WR,24.2,29
David Moore,SEA,WR,19.7,18
Jordan Matthews,PHI,WR,13.3,2
DeAndre Hopkins,HOU,WR,26.2,14
Michael Thomas,NOR,WR,13.1,3
Travis Kelce,KAN,TE,19.9,27
Courtland Sutton,DEN,WR,10.8,24
A.J. Green,CIN,WR,18.6,26
Adam Humphries,TAM,WR,14.6,20
Antonio Brown,PIT,WR,25.4,15
Jared Cook,OAK,TE,17.4,23
Kendrick Bourne,SFO,WR,14.1,12
Jack Doyle,IND,TE,19.0,30
Tyreek Hill,KAN,WR,10.0,11
Robert Woods,LAR,WR,12.0,28
O.J. Howard,TAM,TE,16.8,29
Deontay Burnett,NYJ,WR,10.1,10
George Kittle,SFO,TE,10.7,4
Greg Olsen,CAR,TE,15.6,15
Marquise Goodwin,SFO,WR,12.5,12
Zay Jones,BUF,WR,11.5,13
Ed Dickson,SEA,TE,13.4,17
Donte Moncrief,JAX,WR,9.4,30
Willie Snead,BAL,WR,10.4,27
Taylor Gabriel,CHI,WR,9.2,31
Dontrelle Inman,IND,WR,11.2,19
Josh Doctson,WAS,WR,9.9,7
Chris Hogan,NWE,WR,6.9,5
Bennie Fowler,NYG,WR,8.8,5
Vance McDonald,PIT,TE,7.7,26
Kelvin Benjamin,BUF,WR,6.5,13
Andre Holmes,BUF,WR,6.5,13
Marquez Valdes-Scantling,GNB,WR,12.5,22
Rob Gronkowski,NWE,TE,7.3,2
Josh Gordon,NWE,WR,8.2,5
Christian Kirk,ARI,WR,13.2,29
Seth Roberts,OAK,WR,12.2,4
DJ Chark,JAX,WR,8.1,30
Randall Cobb,GNB,WR,8.0,22
Brandon LaFell,OAK,WR,12.9,4
Jarvis Landry,CLE,WR,11.9,17
Kyle Rudolph,MIN,TE,7.9,6
Jordan Reed,WAS,TE,10.8,14
Josh Bellamy,CHI,WR,7.7,31
Eric Ebron,IND,TE,12.7,30
David Grinnage,JAX,TE,6.7,5
Antonio Callaway,CLE,WR,14.6,17
Charles Clay,BUF,TE,6.6,21
Jakeem Grant,MIA,WR,7.6,9
Alshon Jeffery,PHI,WR,7.5,2
T.Y. Hilton,IND,WR,4.4,19
Sterling Shepard,NYG,WR,7.4,19
JuJu Smith-Schuster,PIT,WR,7.3,15
Jordan Franks,CIN,TE,4.2,22
Chris Godwin,TAM,WR,5.2,20
Dallas Goedert,PHI,TE,10.2,20
Mark Andrews,BAL,TE,7.1,28
Michael Crabtree,BAL,WR,6.1,27
Equanimeous St. Brown,GNB,WR,5.1,22
Jermaine Kearse,NYJ,WR,6.0,10
Demaryius Thomas,DEN,WR,6.0,24
Hayden Hurst,BAL,TE,10.9,28
Matt LaCosse,DEN,TE,6.9,32
Jordan Thomas,HOU,TE,18.9,24
John Brown,BAL,WR,5.8,27
Seth Devalve,CLE,TE,10.8,25
Curtis Samuel,CAR,WR,5.8,1
Devin Funchess,CAR,WR,5.7,1
Mo Alie-Cox,IND,TE,9.6,30
Doug Baldwin,SEA,WR,4.6,18
Zach Ertz,PHI,TE,12.6,20
Evan Engram,NYG,TE,13.5,20
Laquon Treadwell,MIN,WR,5.5,32
Dontrell Hilliard,CLE,RB,3.4,10
Gerald Everett,LAR,TE,3.2,12
Jermaine Gresham,ARI,TE,3.2,7
Vernon Davis,WAS,TE,3.1,14
Jimmy Graham,GNB,TE,3.1,18
Damion Ratley,CLE,WR,3.1,17
Chad Williams,ARI,WR,4.1,29
Luke Willson,DET,TE,5.1,13
Maurice Harris,WAS,WR,4.0,7
Chris Moore,BAL,WR,3.9,27
Aldrick Robinson,MIN,WR,2.9,32
Javorius Allen,BAL,RB,10.8,7
Trey Burton,CHI,TE,4.8,3
Keelan Cole,JAX,WR,1.8,30
Tre'Quan Smith,NOR,WR,4.8,3
Chris Herndon,NYJ,TE,8.6,10
Ray-Ray McCloud,BUF,WR,2.6,13
Nick Vannett,SEA,TE,2.6,17
Justin Hunter,PIT,WR,3.5,15
Ian Thomas,CAR,TE,2.5,15
Geronimo Allison,GNB,WR,2.4,22
Jason Croom,BUF,TE,2.4,21
Mike Gesicki,MIA,TE,5.4,31
Jordy Nelson,OAK,WR,2.4,4
Charone Peake,NYJ,WR,2.4,10
Blake Bell,JAX,TE,2.3,5
Cameron Brate,TAM,TE,2.3,29
Stevan Ridley,PIT,RB,1.3,22
Kenny Golladay,DET,WR,2.2,16
Ricky Seals-Jones,ARI,TE,3.2,7
Sam Shields,LAR,CB,2.2,7
Levine Toilolo,DET,TE,2.2,13
Anthony Sherman,KAN,RB,2.0,17
Rashad Greene,JAX,WR,1.9,30
Jesse James,PIT,TE,2.9,26
Cam Phillips,BUF,WR,1.9,13
Keith Smith,OAK,RB,1.8,11
Nick Boyle,BAL,TE,1.7,28
James Develin,NWE,RB,1.7,24
Neal Sterling,NYJ,TE,1.7,10
Trent Taylor,SFO,WR,1.7,12
Ameer Abdullah,DET,RB,-0.4,18
Darren Fells,CLE,TE,1.6,25
Tyler Higbee,LAR,TE,1.6,12
Kevin White,CHI,WR,1.6,31
Alex Erickson,CIN,WR,1.5,26
Justin Watson,TAM,WR,1.5,20
Jarius Wright,CAR,WR,2.5,1
Tyler Ervin,HOU,RB,1.4,29
Jeff Heuerman,DEN,TE,7.4,32
Matt Lengel,CIN,TE,1.4,22
Demarcus Robinson,KAN,WR,1.1,11
Patrick DiMarco,BUF,RB,1.0,13
Zach Pascal,IND,WR,0.6,19
Pat Elflein,MIN,C,0.0,19
Erik Magnuson,SFO,C,0.0,19
Dante Pettis,SFO,WR,0.0,12
