Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Emmanuel Sanders,DEN,WR,27.32,12
Matthew Stafford,DET,QB,17.58,16
Philip Rivers,LAC,QB,20.14,5
Andrew Luck,IND,QB,22.74,1
Jared Goff,LAR,QB,16.48,25
Patrick Mahomes,KAN,QB,32.82,32
Carson Wentz,PHI,QB,18.7,23
Matt Ryan,ATL,QB,19.26,10
Drew Brees,NOR,QB,16.78,2
Brock Osweiler,MIA,QB,17.76,21
Eli Manning,NYG,QB,20.66,21
Tom Brady,NWE,QB,21.68,3
Jeff Driskel,CIN,QB,2.06,31
Baker Mayfield,CLE,QB,20.9,28
Cam Newton,CAR,QB,23.66,27
Joe Flacco,BAL,QB,19.56,30
Dak Prescott,DAL,QB,20.22,30
Kirk Cousins,MIN,QB,17.54,26
Marcus Mariota,TEN,QB,15.28,13
Alex Smith,WAS,QB,12.72,8
Lamar Jackson,BAL,QB,7.1,30
Case Keenum,DEN,QB,8.84,6
Deshaun Watson,HOU,QB,10.86,7
Cody Kessler,JAX,QB,9.04,19
Mitchell Trubisky,CHI,QB,31.42,20
Jameis Winston,TAM,QB,20.1,15
Blake Bortles,JAX,QB,1.44,19
Andy Dalton,CIN,QB,7.92,31
C.J. Beathard,SFO,QB,6.1,11
Josh Rosen,ARI,QB,3.16,9
Derek Anderson,BUF,QB,-1.0,12
Sam Darnold,NYJ,QB,12.04,4
Kerryon Johnson,DET,RB,19.9,29
Marlon Mack,IND,RB,29.9,24
Lamar Miller,HOU,RB,16.9,5
Adrian Peterson,WAS,RB,11.7,6
Dion Lewis,TEN,RB,21.5,23
Phillip Lindsay,DEN,RB,16.6,32
Kareem Hunt,KAN,RB,37.1,31
Chris Ivory,BUF,RB,13.6,11
Nick Chubb,CLE,RB,14.0,27
Kenyan Drake,MIA,RB,18.7,21
Latavius Murray,MIN,RB,22.3,16
Malcolm Brown,LAR,RB,8.1,20
Alvin Kamara,NOR,RB,15.5,2
Todd Gurley,LAR,RB,30.6,20
Raheem Mostert,SFO,RB,11.8,15
Spencer Ware,KAN,RB,11.9,31
Marcus Murphy,BUF,RB,12.0,11
LeGarrette Blount,DET,RB,11.0,29
Tevin Coleman,ATL,RB,16.2,25
Joe Mixon,CIN,RB,8.1,30
Nyheim Hines,IND,RB,5.2,24
Jordan Wilkins,IND,RB,6.4,24
Saquon Barkley,NYG,RB,24.4,24
Austin Ekeler,LAC,RB,11.8,4
James White,NWE,RB,29.7,1
Jordan Howard,CHI,RB,11.8,13
David Johnson,ARI,RB,10.0,17
Alex Collins,BAL,RB,7.8,3
Royce Freeman,DEN,RB,9.7,32
Kenjon Barner,NWE,RB,3.6,1
Taysom Hill,NOR,QB,1.5,2
Jarius Wright,CAR,WR,9.1,30
Ezekiel Elliott,DAL,RB,6.2,30
Derrick Henry,TEN,RB,14.5,23
Mark Ingram,NOR,RB,6.2,2
Wendell Smallwood,PHI,RB,5.7,7
Peyton Barber,TAM,RB,3.0,22
Golden Tate,DET,WR,10.6,14
Isaiah Crowell,NYJ,RB,6.0,9
Frank Gore,MIA,RB,4.3,21
Christian McCaffrey,CAR,RB,14.0,14
Alfred Blue,HOU,RB,2.8,5
T.J. Yeldon,JAX,RB,17.8,8
Alfred Morris,SFO,RB,2.5,15
Roc Thomas,MIN,RB,2.3,16
Sony Michel,NWE,RB,2.5,1
Bilal Powell,NYJ,RB,3.5,9
Josh Adams,PHI,RB,1.7,7
Ito Smith,ATL,RB,6.5,25
Matt Breida,SFO,RB,-0.5,15
Tarik Cohen,CHI,RB,22.3,13
Kapri Bibbs,WAS,RB,15.6,6
Ronald Jones,TAM,RB,9.8,22
Willie Snead,BAL,WR,6.6,32
Evan Engram,NYG,TE,4.6,32
Mark Walton,CIN,RB,1.0,30
Chase Edmonds,ARI,RB,5.1,17
Chris Moore,BAL,WR,3.3,32
Curtis Samuel,CAR,WR,9.5,30
Tyreek Hill,KAN,WR,20.6,20
DeSean Jackson,TAM,WR,11.3,15
Jacquizz Rodgers,TAM,RB,2.9,22
Brandin Cooks,LAR,WR,17.1,29
Jourdan Lewis,DAL,CB,0.7,29
JJ Nelson,ARI,WR,3.5,11
Corey Clement,PHI,RB,4.2,7
Robert Woods,LAR,WR,13.4,29
Mike Boone,MIN,RB,0.4,16
Trenton Cannon,NYJ,RB,11.3,9
Cordarrelle Patterson,NWE,WR,-1.6,10
Albert Wilson,MIA,WR,6.6,18
Javorius Allen,BAL,RB,5.4,3
Justin Jackson,LAC,RB,2.4,4
Mike Williams,LAC,WR,12.8,21
Jamaal Charles,JAX,RB,1.4,8
David Fluellen,TEN,RB,0.2,23
Elijhaa Penny,NYG,RB,0.2,23
Samaje Perine,WAS,RB,0.2,6
David Williams,JAX,RB,0.2,8
Ameer Abdullah,DET,RB,2.3,29
Sean Mannion,LAR,QB,0.1,25
LeSean McCoy,BUF,RB,0.1,11
Maxx Williams,BAL,TE,0.1,6
Gus Edwards,BAL,RB,0.0,3
Clayton Fejedelem,CIN,S,0.0,3
Taylor Gabriel,CHI,WR,5.6,13
Odell Beckham,NYG,WR,28.2,13
Jacoby Brissett,IND,QB,-0.4,1
Duke Johnson,CLE,RB,5.9,27
Kyle Juszczyk,SFO,RB,3.3,15
Stefon Diggs,MIN,WR,10.6,31
Sterling Shepard,NYG,WR,21.7,31
Zach Ertz,PHI,TE,22.8,28
John Brown,BAL,WR,26.4,32
Trey Burton,CHI,TE,27.6,21
Tyrell Williams,LAC,WR,21.8,21
A.J. Green,CIN,WR,18.7,24
Adam Thielen,MIN,WR,26.0,31
Mike Evans,TAM,WR,17.7,15
Julio Jones,ATL,WR,17.4,7
Tajae Sharpe,TEN,WR,17.1,8
Josh Gordon,NWE,RB,14.0,1
George Kittle,SFO,TE,20.8,18
Jarvis Landry,CLE,WR,25.7,26
Travis Kelce,KAN,TE,14.5,29
Alshon Jeffery,PHI,WR,21.8,27
Danny Amendola,MIA,WR,20.4,18
Michael Gallup,DAL,WR,17.1,18
Donte Moncrief,JAX,WR,14.6,9
Allen Hurns,DAL,WR,12.4,9
Sammy Watkins,KAN,WR,11.4,20
Keenan Allen,LAC,WR,12.2,21
Kelvin Benjamin,BUF,WR,11.1,4
Michael Thomas,NOR,WR,19.9,1
Will Fuller,HOU,WR,12.8,2
O.J. Howard,TAM,TE,11.7,26
Michael Crabtree,BAL,WR,11.6,32
Kevin White,CHI,WR,8.4,13
Marvin Hall,ATL,WR,15.3,7
Chris Hogan,NWE,WR,12.3,10
Devin Funchess,CAR,WR,18.2,30
Torrey Smith,CAR,WR,10.1,30
Chris Godwin,TAM,WR,10.9,15
Christian Kirk,ARI,WR,8.7,11
Cole Beasley,DAL,WR,12.6,11
David Njoku,CLE,TE,15.2,22
DeAndre Hopkins,HOU,WR,14.0,2
Austin Hooper,ATL,TE,7.8,14
Michael Roberts,DET,TE,19.8,24
Robby Anderson,NYJ,WR,7.4,3
Mike Gesicki,MIA,TE,7.4,17
Tre'Quan Smith,NOR,WR,7.4,1
Dallas Goedert,PHI,TE,14.3,28
