Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Nick Mullens,SFO,QB,22.18,24
Drew Brees,NOR,QB,31.44,11
Cam Newton,CAR,QB,21.18,28
Patrick Mahomes,KAN,QB,26.8,15
Deshaun Watson,HOU,QB,20.32,9
Matt Ryan,ATL,QB,28.0,9
Marcus Mariota,TEN,QB,22.8,8
Joshua Dobbs,PIT,QB,0.88,2
Julian Edelman,NWE,WR,17.38,28
Lamar Jackson,BAL,QB,1.48,22
Jared Goff,LAR,QB,27.34,30
Tyrod Taylor,CLE,QB,0.44,31
Philip Rivers,LAC,QB,17.12,14
Derek Carr,OAK,QB,7.34,25
Dak Prescott,DAL,QB,14.82,5
Tom Brady,NWE,QB,15.66,18
Baker Mayfield,CLE,QB,17.88,31
Kirk Cousins,MIN,QB,6.86,21
Case Keenum,DEN,QB,15.6,19
Ryan Fitzpatrick,TAM,QB,24.02,23
Ben Roethlisberger,PIT,QB,25.2,2
Aaron Rodgers,GNB,QB,19.16,20
Russell Wilson,SEA,QB,19.5,13
Matthew Stafford,DET,QB,6.56,4
Alex Smith,WAS,QB,16.44,4
Brock Osweiler,MIA,QB,5.96,26
Joe Flacco,BAL,QB,8.24,22
Mitchell Trubisky,CHI,QB,8.0,1
Nathan Peterman,BUF,QB,12.22,3
A.J. McCarron,OAK,QB,0.32,25
Bryan Anger,TAM,P,0.0,25
Cole Beasley,DAL,WR,4.6,21
Sam Darnold,NYJ,QB,1.16,16
Melvin Gordon,LAC,RB,19.3,18
James Conner,PIT,RB,29.3,2
Kareem Hunt,KAN,RB,33.1,22
Dalvin Cook,MIN,RB,14.9,21
Tevin Coleman,ATL,RB,32.6,21
Raheem Mostert,SFO,RB,14.6,26
Nick Chubb,CLE,RB,16.0,30
Alvin Kamara,NOR,RB,33.6,15
Christian McCaffrey,CAR,RB,32.7,27
Aaron Jones,GNB,RB,8.5,13
Todd Gurley,LAR,RB,19.9,3
Mike Davis,SEA,RB,17.7,23
Dion Lewis,TEN,RB,22.2,6
Ezekiel Elliott,DAL,RB,15.2,4
Cordarrelle Patterson,NWE,WR,13.8,28
Phillip Lindsay,DEN,RB,10.4,8
Ito Smith,ATL,RB,13.4,8
Frank Gore,MIA,RB,6.9,16
Isaiah Crowell,NYJ,RB,7.0,29
Doug Martin,OAK,RB,7.9,20
Jordan Howard,CHI,RB,16.7,24
Matt Breida,SFO,RB,5.7,26
Chris Carson,SEA,RB,4.0,23
Alfred Blue,HOU,RB,3.9,17
Kerryon Johnson,DET,RB,7.4,9
Chris Ivory,BUF,RB,8.5,1
Alex Collins,BAL,RB,10.9,10
Jamaal Williams,GNB,RB,7.4,13
Mark Ingram,NOR,RB,2.6,15
Curtis Samuel,CAR,WR,19.8,26
D.J. Moore,CAR,WR,5.8,26
Peyton Barber,TAM,RB,6.0,7
Latavius Murray,MIN,RB,11.7,21
James White,NWE,RB,28.3,19
Elijah McGuire,NYJ,RB,9.7,29
Keenan Allen,LAC,WR,21.2,16
Derrick Henry,TEN,RB,11.2,6
DeAndre Washington,OAK,RB,2.7,20
Austin Ekeler,LAC,RB,4.4,18
Lamar Miller,HOU,RB,6.8,17
Kapri Bibbs,WAS,RB,10.5,17
Samaje Perine,WAS,RB,4.8,17
Martavis Bryant,OAK,WR,6.6,29
Adrian Peterson,WAS,RB,6.3,29
Tyreek Hill,KAN,WR,12.5,15
Devontae Booker,DEN,RB,8.4,8
Jacquizz Rodgers,TAM,RB,3.0,7
Alfred Morris,SFO,RB,1.3,26
Spencer Ware,KAN,RB,12.1,22
Rashaad Penny,SEA,RB,5.4,23
Gus Edwards,BAL,RB,1.0,10
Taysom Hill,NOR,QB,1.0,11
LeSean McCoy,BUF,RB,6.9,1
Kenyan Drake,MIA,RB,7.5,16
Anthony Miller,CHI,WR,10.8,5
Breshad Perriman,CLE,WR,6.5,24
LeGarrette Blount,DET,RB,2.0,9
Kenny Golladay,DET,WR,8.4,3
Duke Johnson,CLE,RB,29.6,30
Adam Humphries,TAM,WR,28.9,27
Shaun Wilson,TAM,RB,0.7,7
Tavon Wilson,DET,S,0.7,7
Javorius Allen,BAL,RB,6.4,10
Marcus Murphy,BUF,RB,2.9,1
Calvin Ridley,ATL,WR,19.7,1
Tarik Cohen,CHI,RB,2.3,24
Adam Thielen,MIN,WR,12.7,18
Kenjon Barner,NWE,RB,0.4,19
Corey Davis,TEN,WR,12.0,6
Jalen Richard,OAK,RB,8.9,20
Robert Woods,LAR,WR,12.5,32
Johnny Hekker,LAR,P,0.3,32
Marquise Goodwin,SFO,WR,2.3,19
Jaylen Samuels,PIT,RB,0.2,2
Sammy Watkins,KAN,WR,11.4,15
C.J. Anderson,CAR,RB,0.1,27
Robby Anderson,NYJ,WR,7.3,14
Alex Armah,CAR,RB,6.1,27
Kyle Juszczyk,SFO,RB,3.1,26
Zay Jones,BUF,WR,5.8,10
