Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Aaron Rodgers,GNB,QB,43.76,29
Matt Schaub,ATL,QB,6.5,12
Mike Glennon,OAK,QB,5.44,4
Kirk Cousins,MIN,QB,29.22,26
Jacoby Brissett,IND,QB,27.64,28
Patrick Mahomes,KAN,QB,7.24,7
Ryan Tannehill,TEN,QB,19.18,6
Derek Carr,OAK,QB,15.72,4
Johnny Hekker,LAR,P,0.92,4
Brett Kern,TEN,P,0.44,4
Matthew Stafford,DET,QB,28.56,10
Josh Allen,BUF,QB,19.28,31
Philip Rivers,LAC,QB,21.16,17
Teddy Bridgewater,NOR,QB,19.94,8
Dak Prescott,DAL,QB,20.56,15
Jared Goff,LAR,QB,25.02,15
Case Keenum,WAS,QB,3.08,9
Matt Moore,KAN,QB,8.58,7
Ryan Fitzpatrick,MIA,QB,20.58,3
Mitchell Trubisky,CHI,QB,18.04,22
Gardner Minshew,JAX,QB,19.0,25
Deshaun Watson,HOU,QB,15.52,19
Carson Wentz,PHI,QB,6.84,13
Tom Brady,NWE,QB,11.96,18
Joe Flacco,DEN,QB,6.52,14
Daniel Jones,NYG,QB,10.42,32
Kyler Murray,ARI,QB,6.96,30
Lamar Jackson,BAL,QB,23.32,16
Russell Wilson,SEA,QB,14.34,2
Matt Ryan,ATL,QB,2.56,12
Jimmy Garoppolo,SFO,QB,6.04,12
Andy Dalton,CIN,QB,18.34,21
Zach Pascal,IND,WR,28.6,21
Sam Darnold,NYJ,QB,-6.66,1
Dalvin Cook,MIN,RB,27.9,30
Leonard Fournette,JAX,RB,16.5,28
Chase Edmonds,ARI,RB,35.0,15
Josh Jacobs,OAK,RB,16.4,24
Latavius Murray,NOR,RB,32.0,16
Ezekiel Elliott,DAL,RB,26.7,7
Derrick Henry,TEN,RB,17.8,21
Adrian Peterson,WAS,RB,6.1,3
Saquon Barkley,NYG,RB,17.0,20
Le'Veon Bell,NYJ,RB,8.6,1
Mark Walton,MIA,RB,6.8,14
Chris Carson,SEA,RB,10.4,8
LeSean McCoy,KAN,RB,9.6,9
Tevin Coleman,SFO,RB,8.1,9
Frank Gore,BUF,RB,7.6,27
Jordan Howard,PHI,RB,7.6,13
Aaron Jones,GNB,RB,18.3,22
Mark Ingram,BAL,RB,6.3,18
Marlon Mack,IND,RB,8.6,23
Sony Michel,NWE,RB,22.4,10
Todd Gurley,LAR,RB,12.4,10
Phillip Lindsay,DEN,RB,4.2,26
Matt Breida,SFO,RB,4.6,26
Gus Edwards,BAL,RB,3.5,18
Royce Freeman,DEN,RB,16.7,26
Carlos Hyde,HOU,RB,3.5,6
Duke Johnson,HOU,RB,7.6,6
Melvin Gordon,LAC,RB,8.9,17
Boston Scott,PHI,RB,4.7,13
Darrell Henderson,LAR,RB,4.9,13
Ty Johnson,DET,RB,9.7,12
J.D. McKissic,DET,RB,8.0,12
DeAndre Washington,OAK,RB,5.1,24
Tony Pollard,DAL,RB,2.8,7
Devin Singletary,BUF,RB,2.6,27
Kerryon Johnson,DET,RB,2.3,12
Wendell Smallwood,WAS,RB,5.1,3
Kenyan Drake,MIA,RB,8.8,14
Taysom Hill,NOR,QB,9.5,8
Miles Sanders,PHI,RB,6.2,13
Tavon Austin,DAL,WR,8.0,30
DJ Chark,JAX,WR,10.3,14
Julian Edelman,NWE,WR,13.7,26
Jeff Wilson,SFO,RB,2.0,26
Devonta Freeman,ATL,RB,4.5,19
Alexander Mattison,MIN,RB,1.8,30
C.J. Prosise,SEA,RB,1.7,8
Dede Westbrook,JAX,WR,17.7,14
Damien Harris,NWE,RB,1.2,10
Brian Hill,ATL,RB,4.5,19
Tarik Cohen,CHI,RB,11.9,4
C.J. Ham,MIN,RB,8.4,30
John Kelly,LAR,RB,0.9,30
Ty Montgomery,NYJ,RB,0.9,1
Jordan Wilkins,IND,RB,2.5,23
Kalen Ballage,MIA,RB,6.7,14
Austin Ekeler,LAC,RB,25.5,17
Anthony Sherman,KAN,RB,0.7,9
Ito Smith,ATL,RB,0.7,19
Damien Williams,KAN,RB,2.6,9
David Montgomery,CHI,RB,1.9,4
Robert Woods,LAR,WR,13.6,4
Jamaal Williams,GNB,RB,13.1,22
Keke Coutee,HOU,WR,11.9,23
Patrick DiMarco,BUF,RB,4.1,27
Ryquell Armstead,JAX,RB,0.3,28
Nyheim Hines,IND,RB,2.6,23
Zach Line,NOR,RB,2.5,16
Bilal Powell,NYJ,RB,0.3,1
Brandon Bolden,NWE,RB,8.1,10
Matt Haack,MIA,P,0.2,10
David Johnson,ARI,RB,0.2,15
Dion Lewis,TEN,RB,0.2,21
Joe Mixon,CIN,RB,7.4,31
Cordarrelle Patterson,CHI,WR,4.3,28
Jalen Richard,OAK,RB,1.7,24
Willie Snead,BAL,WR/RS,0.2,24
Dexter Williams,GNB,RB,0.2,22
Darrel Williams,KAN,RB,2.6,9
Zach Zenner,NOR,RB,1.7,16
Giovani Bernard,CIN,RB,2.4,31
George Kittle,SFO,TE,6.8,31
Steven Sims,WAS,WR,3.5,9
James White,NWE,RB,12.9,10
Anthony Miller,CHI,WR,9.3,28
A.J. Brown,TEN,WR,12.2,4
Alex Erickson,CIN,WR,21.5,12
Jarrett Stidham,NWE,QB,-0.2,18
Tim Boyle,GNB,QB,-0.3,29
Tyler Lockett,SEA,WR,16.8,15
Bryan Anger,HOU,P,-0.5,15
Stefon Diggs,MIN,WR,21.3,27
Marquez Valdes-Scantling,GNB,WR,21.3,25
Michael Thomas,NOR,WR,22.1,5
Darren Waller,OAK,TE,31.6,19
Amari Cooper,DAL,WR,15.6,30
DeAndre Hopkins,HOU,WR,25.6,23
Danny Amendola,DET,WR,18.5,24
Kenny Stills,HOU,WR,14.5,23
Hunter Henry,LAC,TE,15.7,28
Julio Jones,ATL,WR,15.3,10
Marvin Jones,DET,WR,43.3,24
Allen Robinson,CHI,WR,24.7,28
Courtland Sutton,DEN,WR,14.7,2
John Brown,BUF,WR,19.3,31
Chris Conley,JAX,WR,11.3,14
Preston Williams,MIA,WR,12.2,3
Corey Davis,TEN,WR,20.0,4
Golden Tate,NYG,WR,14.0,20
Tyreek Hill,KAN,WR,16.4,13
T.Y. Hilton,IND,WR,19.4,21
Eric Ebron,IND,TE,17.0,24
