Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Dwayne Haskins,WAS,QB,13.32,30
Ryan Tannehill,TEN,QB,23.68,22
Daniel Jones,NYG,QB,35.28,22
Lamar Jackson,BAL,QB,29.82,20
Drew Brees,NOR,QB,22.86,17
Derek Carr,OAK,QB,21.94,6
Michael Palardy,CAR,P,0.48,6
Kelvin Harmon,WAS,WR,11.24,29
Patrick Mahomes,KAN,QB,25.44,8
Tom Brady,NWE,QB,15.24,3
Carson Wentz,PHI,QB,18.96,13
Case Keenum,WAS,QB,16.42,30
Andy Dalton,CIN,QB,29.84,31
Mason Rudolph,PIT,QB,9.16,18
Ryan Fitzpatrick,MIA,QB,31.66,25
Josh Allen,BUF,QB,20.62,1
Drew Lock,DEN,QB,12.68,26
Kyler Murray,ARI,QB,12.72,16
Logan Cooke,JAX,P,0.28,16
Sam Darnold,NYJ,QB,9.62,5
Andrew Beck,DEN,FB/TE,1.64,5
Philip Rivers,LAC,QB,11.16,29
Matt Ryan,ATL,QB,15.96,21
Jared Goff,LAR,QB,20.12,9
Taysom Hill,NOR,QB,6.0,17
Baker Mayfield,CLE,QB,14.08,2
Russell Wilson,SEA,QB,10.96,32
David Blough,DET,QB,8.68,7
Dak Prescott,DAL,QB,11.3,15
Gardner Minshew,JAX,QB,14.84,15
Jimmy Garoppolo,SFO,QB,10.42,12
Aaron Rodgers,GNB,QB,6.34,10
Mitchell Trubisky,CHI,QB,8.28,14
Jacoby Brissett,IND,QB,15.66,11
Deshaun Watson,HOU,QB,9.06,24
Brett Hundley,ARI,QB,5.46,16
Kirk Cousins,MIN,QB,6.88,4
Jameis Winston,TAM,QB,11.0,28
Will Grier,CAR,QB,4.66,19
Stefon Diggs,MIN,WR,14.7,11
Devlin Hodges,PIT,QB,-0.64,18
Saquon Barkley,NYG,RB,43.9,18
Kenyan Drake,ARI,RB,33.4,18
Aaron Jones,GNB,RB,28.0,12
Phillip Lindsay,DEN,RB,19.8,30
Sony Michel,NWE,RB,11.1,14
Marlon Mack,IND,RB,18.1,32
DeAndre Washington,OAK,RB,18.6,21
Jordan Wilkins,IND,RB,14.4,32
Alvin Kamara,NOR,RB,29.0,17
Miles Sanders,PHI,RB,26.6,13
Ronald Jones,TAM,RB,19.9,23
Le'Veon Bell,NYJ,RB,13.3,5
Leonard Fournette,JAX,RB,13.5,5
Dion Lewis,TEN,RB,9.7,4
Gus Edwards,BAL,RB,8.3,25
Brian Hill,ATL,RB,6.6,31
Damien Williams,KAN,RB,18.2,16
David Montgomery,CHI,RB,6.9,26
Myles Gaskin,MIA,RB,12.8,28
Mark Ingram,BAL,RB,17.1,25
Christian McCaffrey,CAR,RB,32.3,6
Devonta Freeman,ATL,RB,33.7,31
Raheem Mostert,SFO,RB,11.3,19
Joe Mixon,CIN,RB,9.3,27
A.J. Brown,TEN,WR,15.3,28
Todd Gurley,LAR,RB,16.8,3
Ezekiel Elliott,DAL,RB,15.4,7
Devin Singletary,BUF,RB,5.8,1
Nick Chubb,CLE,RB,4.5,8
Kerryon Johnson,DET,RB,5.3,9
Chris Carson,SEA,RB,7.0,20
Adrian Peterson,WAS,RB,13.5,15
Bo Scarbrough,DET,RB,3.4,9
Chris Thompson,WAS,RB,9.2,15
Tevin Coleman,SFO,RB,3.3,19
Jamaal Williams,GNB,RB,7.2,12
James Conner,PIT,RB,3.2,10
Mike Boone,MIN,RB,4.3,24
Royce Freeman,DEN,RB,11.7,30
Deebo Samuel,SFO,WR,15.9,10
Ameer Abdullah,MIN,RB,11.8,24
Carlos Hyde,HOU,RB,10.7,2
Dalyn Dawkins,TEN,RB,2.4,4
Kerrith Whyte,PIT,RB,2.2,10
Rex Burkhead,NWE,RB,17.7,14
Ty Johnson,DET,RB,2.0,9
Justice Hill,BAL,RB,14.1,25
David Moore,SEA,WR,3.0,20
N'Keal Harry,NWE,WR,5.9,3
Patrick Laird,MIA,RB,2.8,28
Travis Homer,SEA,RB,10.2,20
Cordarrelle Patterson,CHI,WR,3.1,2
Melvin Gordon,LAC,RB,22.7,22
Latavius Murray,NOR,RB,4.5,17
C.J. Prosise,SEA,RB,1.4,20
Benny Snell,PIT,RB,1.4,10
Darwin Thompson,KAN,RB,1.4,16
Spencer Ware,KAN,RB,5.6,16
Peyton Barber,TAM,RB,-0.7,23
Reggie Bonnafon,CAR,RB,1.2,6
Boston Scott,PHI,RB,7.9,13
Austin Ekeler,LAC,RB,11.9,22
