Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Ryan Tannehill,TEN,QB,32.36,21
Jimmy Garoppolo,SFO,QB,18.22,4
Lamar Jackson,BAL,QB,36.26,12
Sam Darnold,NYJ,QB,28.2,29
Baker Mayfield,CLE,QB,23.58,31
Devlin Hodges,PIT,QB,8.82,25
Drew Brees,NOR,QB,22.44,11
Kyle Allen,CAR,QB,23.14,22
Matt Schaub,ATL,QB,6.2,24
Jameis Winston,TAM,QB,24.32,24
Deshaun Watson,HOU,QB,18.92,19
Josh Allen,BUF,QB,19.0,7
Daniel Jones,NYG,QB,14.7,8
Ryan Finley,CIN,QB,10.48,5
Robert Griffin,BAL,QB,1.26,12
Nick Foles,JAX,QB,12.88,17
Tim Boyle,GNB,QB,0.6,9
Jacoby Brissett,IND,QB,13.16,28
Aaron Rodgers,GNB,QB,7.46,9
Carson Wentz,PHI,QB,8.94,16
Russell Wilson,SEA,QB,9.5,15
Tom Brady,NWE,QB,11.3,13
Mitchell Trubisky,CHI,QB,18.92,30
Ryan Fitzpatrick,MIA,QB,23.06,20
Dak Prescott,DAL,QB,6.88,1
Mike Glennon,OAK,QB,-1.2,18
Jared Goff,LAR,QB,4.38,2
Matt Ryan,ATL,QB,7.64,24
Derek Carr,OAK,QB,4.18,18
Jeff Driskel,DET,QB,12.58,18
Dwayne Haskins,WAS,QB,5.04,26
Mason Rudolph,PIT,QB,1.8,25
Steven Sims,WAS,WR,0.0,27
Brandon Allen,DEN,QB,2.08,3
Derrick Henry,TEN,RB,28.5,31
Rashaad Penny,SEA,RB,18.9,7
Mark Ingram,BAL,RB,24.8,19
Nick Chubb,CLE,RB,25.4,27
Devin Singletary,BUF,RB,12.4,9
Jonathan Williams,IND,RB,21.1,23
Bo Scarbrough,DET,RB,7.8,23
Benny Snell,PIT,RB,11.3,28
Leonard Fournette,JAX,RB,36.9,17
Ezekiel Elliott,DAL,RB,16.6,1
Sony Michel,NWE,RB,8.5,13
Joe Mixon,CIN,RB,7.9,5
Carlos Hyde,HOU,RB,6.7,6
Frank Gore,BUF,RB,6.5,9
Christian McCaffrey,CAR,RB,34.3,4
Latavius Murray,NOR,RB,12.4,32
Miles Sanders,PHI,RB,11.6,18
Saquon Barkley,NYG,RB,8.0,16
Phillip Lindsay,DEN,RB,7.8,14
Gus Edwards,BAL,RB,5.5,19
Alvin Kamara,NOR,RB,19.2,32
Nyheim Hines,IND,RB,8.1,23
Ronald Jones,TAM,RB,15.7,23
Le'Veon Bell,NYJ,RB,15.8,22
Raheem Mostert,SFO,RB,13.7,24
Jamaal Williams,GNB,RB,15.0,3
Kerrith Whyte,PIT,RB,4.3,28
Curtis Samuel,CAR,WR,5.9,28
Tevin Coleman,SFO,RB,12.9,24
Aaron Jones,GNB,RB,3.8,3
Kareem Hunt,CLE,RB,12.6,27
Josh Jacobs,OAK,RB,4.6,10
Peyton Barber,TAM,RB,3.2,10
Derrius Guice,WAS,RB,4.8,30
Justice Hill,BAL,RB,2.7,19
Adrian Peterson,WAS,RB,5.9,30
Jeff Wilson,SFO,RB,2.7,24
Chris Carson,SEA,RB,9.7,7
Tarik Cohen,CHI,RB,12.4,15
Robert Foster,BUF,WR,5.6,13
Todd Gurley,LAR,RB,4.9,8
Duke Johnson,HOU,RB,4.0,6
David Montgomery,CHI,RB,5.1,15
Sterling Shepard,NYG,WR,8.7,5
Allen Lazard,GNB,WR,3.8,9
Dion Lewis,TEN,RB,5.5,31
Royce Freeman,DEN,RB,4.9,14
Patrick Laird,MIA,RB,2.0,25
Qadree Ollison,ATL,RB,9.7,2
Tony Pollard,DAL,RB,5.8,1
DeAndre Washington,OAK,RB,2.9,10
Jay Ajayi,PHI,RB,1.6,18
Bilal Powell,NYJ,RB,3.0,22
Calvin Ridley,ATL,WR,22.0,32
Brian Hill,ATL,RB,5.7,2
Kalen Ballage,MIA,RB,3.6,25
Dare Ogunbowale,TAM,RB,1.2,25
Brandon Bolden,NWE,RB,1.1,13
Ty Johnson,DET,RB,4.1,13
Myles Gaskin,MIA,RB,2.7,25
D.J. Moore,CAR,WR,31.4,28
Trey Edmunds,PIT,RB,0.7,28
Josh Adams,NYJ,RB,0.6,22
Jaylen Samuels,PIT,RB,6.2,28
James White,NWE,RB,0.9,13
David Moore,SEA,WR,4.5,30
Jalen Richard,OAK,RB,11.1,10
Jonnu Smith,TEN,TE,0.4,23
Albert Wilson,MIA,WR,9.7,7
Rex Burkhead,NWE,RB,3.7,13
J.D. McKissic,DET,RB,4.0,13
T.J. Logan,TAM,RB,0.2,13
Ty Montgomery,NYJ,RB,3.3,22
Brandin Cooks,LAR,WR,5.3,15
Wayne Gallman,NYG,RB,0.1,16
Alex Armah,CAR,RB,0.0,4
Malcolm Brown,LAR,RB,0.0,8
Alec Ingold,OAK,RB,0.0,10
Richie James,SFO,WR,0.0,11
Giovani Bernard,CIN,RB,6.0,5
Garrett Gilbert,CLE,QB,-0.1,31
Case Keenum,WAS,QB,-0.1,26
Scott Miller,TAM,WR,1.6,26
Isaiah McKenzie,BUF,WR,2.8,13
Kalif Raymond,TEN,WR,1.9,12
Chris Godwin,TAM,WR,37.4,12
