Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Russell Wilson,SEA,QB,15.68,4
Matthew Stafford,DET,QB,23.38,30
Aaron Rodgers,GNB,QB,27.1,14
Derek Carr,OAK,QB,23.4,28
Daniel Jones,NYG,QB,28.18,26
Gardner Minshew,JAX,QB,23.96,18
Jared Goff,LAR,QB,22.88,25
Drew Brees,NOR,QB,24.92,32
Deshaun Watson,HOU,QB,27.76,29
Kirk Cousins,MIN,QB,11.6,29
Jimmy Garoppolo,SFO,QB,13.0,11
Ryan Tannehill,TEN,QB,19.42,24
Matt Moore,KAN,QB,18.98,4
Carson Wentz,PHI,QB,14.38,3
Matt Schaub,ATL,QB,18.4,16
Case Keenum,WAS,QB,3.2,10
Tom Brady,NWE,QB,18.36,20
Andy Dalton,CIN,QB,18.16,12
Jacoby Brissett,IND,QB,9.48,7
Mason Rudolph,PIT,QB,16.04,31
Philip Rivers,LAC,QB,10.04,8
Josh Allen,BUF,QB,17.26,15
Baker Mayfield,CLE,QB,11.56,1
Kyler Murray,ARI,QB,10.1,22
Joe Flacco,DEN,QB,7.86,19
Mitchell Trubisky,CHI,QB,7.12,6
Sam Darnold,NYJ,QB,10.62,21
Ryan Fitzpatrick,MIA,QB,11.3,5
Jameis Winston,TAM,QB,17.34,17
Dwayne Haskins,WAS,QB,-0.68,10
Brett Hundley,ARI,QB,0.0,22
Kyle Allen,CAR,QB,0.32,9
James Conner,PIT,RB,24.0,27
David Montgomery,CHI,RB,24.7,21
Nick Chubb,CLE,RB,10.8,1
Christian McCaffrey,CAR,RB,25.5,3
Tevin Coleman,SFO,RB,37.8,32
Latavius Murray,NOR,RB,36.7,20
Dalvin Cook,MIN,RB,28.1,20
Jordan Howard,PHI,RB,18.1,14
Chris Carson,SEA,RB,15.0,14
Carlos Hyde,HOU,RB,8.3,22
Leonard Fournette,JAX,RB,20.6,10
Marlon Mack,IND,RB,16.0,9
Adrian Peterson,WAS,RB,12.3,12
Derrick Henry,TEN,RB,7.3,2
Sony Michel,NWE,RB,7.4,25
Miles Sanders,PHI,RB,20.8,14
Aaron Jones,GNB,RB,41.6,26
Josh Jacobs,OAK,RB,10.1,23
Joe Mixon,CIN,RB,17.7,19
Saquon Barkley,NYG,RB,28.3,30
Alexander Mattison,MIN,RB,8.4,30
Raheem Mostert,SFO,RB,12.0,32
Phillip Lindsay,DEN,RB,12.6,6
Rashaad Penny,SEA,RB,5.5,6
Darrell Henderson,LAR,RB,8.9,28
Todd Gurley,LAR,RB,10.4,28
Royce Freeman,DEN,RB,11.5,6
LeSean McCoy,KAN,RB,8.3,24
Devonta Freeman,ATL,RB,16.2,18
Dwayne Washington,NOR,RB,3.8,20
Matt Breida,SFO,RB,6.0,32
Ronald Jones,TAM,RB,6.2,17
Mark Walton,MIA,RB,6.4,5
Tra Carson,DET,RB,3.4,15
Frank Gore,BUF,RB,3.4,7
Giovani Bernard,CIN,RB,6.5,19
Melvin Gordon,LAC,RB,11.4,16
Damien Williams,KAN,RB,9.0,24
Brian Hill,ATL,RB,8.9,18
Deebo Samuel,SFO,WR,13.8,22
Ty Johnson,DET,RB,4.8,15
Le'Veon Bell,NYJ,RB,6.5,31
DeAndre Washington,OAK,RB,3.7,23
Jamaal Williams,GNB,RB,18.6,26
Peyton Barber,TAM,RB,3.8,17
Christian Kirk,ARI,WR,17.8,28
Devin Singletary,BUF,RB,14.9,7
Vyncint Smith,NYJ,WR,4.3,12
Benny Snell,PIT,RB,1.3,27
Nyheim Hines,IND,RB,7.6,9
Bilal Powell,NYJ,RB,1.1,31
Dontrell Hilliard,CLE,RB,7.4,1
Darrel Williams,KAN,RB,1.0,24
Tarik Cohen,CHI,RB,7.6,21
Jordan Scarlett,CAR,RB,0.9,3
Wendell Smallwood,WAS,RB,3.0,12
Kalen Ballage,MIA,RB,2.9,5
Chase Edmonds,ARI,RB,3.3,4
Zach Line,NOR,RB,2.9,20
Nelson Agholor,PHI,WR,5.4,3
Ryquell Armstead,JAX,RB,0.7,10
Boston Scott,PHI,RB,4.6,14
Jeff Wilson,SFO,RB,0.6,32
Robert Woods,LAR,WR,6.2,14
Tyreek Hill,KAN,WR,14.1,11
Cordarrelle Patterson,CHI,WR,2.6,4
Diontae Spencer,DEN,WR,4.3,23
Jordan Wilkins,IND,RB,0.5,9
Reggie Bonnafon,CAR,RB,1.7,3
Rex Burkhead,NWE,RB,2.3,25
Paul Perkins,DET,RB,0.4,15
James White,NWE,RB,11.9,25
Tyler Boyd,CIN,WR,12.8,10
Mike Davis,CHI,RB,1.8,21
Austin Ekeler,LAC,RB,10.2,16
Elijhaa Penny,NYG,RB,0.3,30
Jalen Richard,OAK,RB,4.7,23
Alec Ingold,OAK,RB,0.2,23
David Moore,SEA,WR,3.5,23
Derek Watt,LAC,RB,0.2,16
Kenjon Barner,ATL,RB,0.1,18
Duke Johnson,HOU,RB,13.4,22
DJ Chark,JAX,WR,19.9,26
Trey Edmunds,PIT,TE,0.0,21
Brett Kern,TEN,P,0.0,21
Zach Zenner,ARI,RB,2.3,4
Trevor Davis,OAK,WR,2.4,21
J.D. McKissic,DET,RB,3.1,15
Josh Reynolds,LAR,WR,16.2,14
Teddy Bridgewater,NOR,QB,-0.2,32
Dare Ogunbowale,TAM,RB,1.1,17
Julian Edelman,NWE,WR,27.5,7
Nick Mullens,SFO,QB,-0.3,11
Michael Thomas,NOR,WR,27.3,20
Cooper Kupp,LAR,WR,35.0,14
Mike Evans,TAM,WR,42.8,16
Julio Jones,ATL,WR,25.2,18
Stefon Diggs,MIN,WR,19.3,18
Kenny Golladay,DET,WR,28.3,29
DeAndre Hopkins,HOU,WR,21.9,25
Chris Conley,JAX,WR,20.3,26
JuJu Smith-Schuster,PIT,WR,21.3,31
Tyler Lockett,SEA,WR,16.0,31
Alex Erickson,CIN,WR,15.7,10
Danny Amendola,DET,WR,17.5,29
Tyrell Williams,OAK,WR,18.1,21
Charles Clay,ARI,TE,11.8,11
Hunter Renfrow,OAK,WR,18.8,21
George Kittle,SFO,TE,14.6,5
Golden Tate,NYG,WR,16.5,27
Diontae Johnson,PIT,WR,19.4,31
Jonnu Smith,TEN,TE,19.8,27
Tyler Eifert,CIN,TE,13.4,12
Courtland Sutton,DEN,WR,10.2,23
Calvin Ridley,ATL,WR,11.0,18
Mike Williams,LAC,WR,9.9,5
Anthony Miller,CHI,WR,9.7,4
Ryan Griffin,NYJ,TE,22.6,23
Austin Hooper,ATL,TE,18.5,29
Jarvis Landry,CLE,WR,11.5,1
Auden Tate,CIN,WR,11.5,10
