Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Kyle Allen,CAR,QB,24.34,32
Deshaun Watson,HOU,QB,25.84,6
Patrick Mahomes,KAN,QB,27.86,2
Matt Ryan,ATL,QB,22.46,19
Ryan Fitzpatrick,MIA,QB,1.16,13
Jacoby Brissett,IND,QB,20.8,13
Mitchell Trubisky,CHI,QB,19.44,13
Teddy Bridgewater,NOR,QB,16.28,16
Daniel Jones,NYG,QB,32.24,24
Jameis Winston,TAM,QB,25.5,30
Kirk Cousins,MIN,QB,12.56,29
Gardner Minshew,JAX,QB,17.96,17
Tom Brady,NWE,QB,20.14,18
Derek Carr,OAK,QB,15.68,10
Russell Wilson,SEA,QB,41.34,22
Philip Rivers,LAC,QB,19.62,28
Aaron Rodgers,GNB,QB,13.3,7
Carson Wentz,PHI,QB,21.66,26
Dak Prescott,DAL,QB,22.54,31
Matthew Stafford,DET,QB,12.14,15
Jimmy Garoppolo,SFO,QB,9.38,5
Marcus Mariota,TEN,QB,15.56,21
Mason Rudolph,PIT,QB,14.46,9
Josh Allen,BUF,QB,16.32,25
Jared Goff,LAR,QB,14.12,20
Case Keenum,WAS,QB,11.58,8
Joe Flacco,DEN,QB,5.02,4
Kyler Murray,ARI,QB,17.82,11
Lamar Jackson,BAL,QB,21.28,14
Baker Mayfield,CLE,QB,9.7,12
Andy Dalton,CIN,QB,16.1,3
Josh Rosen,MIA,QB,9.3,13
Luke Falk,NYJ,QB,1.92,1
Jarrett Stidham,NWE,QB,-1.44,18
Christian McCaffrey,CAR,RB,27.8,20
Ezekiel Elliott,DAL,RB,15.9,27
Dalvin Cook,MIN,RB,24.3,22
Mark Ingram,BAL,RB,35.5,26
Tony Pollard,DAL,RB,21.8,27
Nick Chubb,CLE,RB,17.1,19
Devonta Freeman,ATL,RB,12.5,6
Phillip Lindsay,DEN,RB,29.0,24
Ronald Jones,TAM,RB,13.1,15
Raheem Mostert,SFO,RB,5.9,5
Frank Gore,BUF,RB,16.9,28
Marlon Mack,IND,RB,16.8,28
Alvin Kamara,NOR,RB,37.1,18
Matt Breida,SFO,RB,10.8,5
David Montgomery,CHI,RB,11.1,5
Leonard Fournette,JAX,RB,15.2,17
Royce Freeman,DEN,RB,11.3,24
Darrel Williams,KAN,RB,15.9,8
Joe Mixon,CIN,RB,17.4,14
Jamaal Williams,GNB,RB,10.6,9
Alexander Mattison,MIN,RB,11.8,22
LeSean McCoy,KAN,RB,23.0,8
Gus Edwards,BAL,RB,8.8,26
Miles Sanders,PHI,RB,12.6,30
Chris Carson,SEA,RB,4.0,4
Peyton Barber,TAM,RB,7.5,15
Rex Burkhead,NWE,RB,18.9,10
Derrick Henry,TEN,RB,11.6,31
Josh Jacobs,OAK,RB,4.4,12
J.D. McKissic,DET,RB,4.4,7
James Conner,PIT,RB,7.7,3
Todd Gurley,LAR,RB,4.3,25
Kenyan Drake,MIA,RB,8.2,13
Jordan Howard,PHI,RB,9.7,30
David Johnson,ARI,RB,18.5,32
Adrian Peterson,WAS,RB,4.4,16
Austin Ekeler,LAC,RB,15.1,23
Kerryon Johnson,DET,RB,11.3,7
Le'Veon Bell,NYJ,RB,10.3,1
T.J. Yeldon,BUF,RB,4.9,28
Chris Thompson,WAS,RB,14.8,16
Mike Boone,MIN,RB,2.8,22
Justin Jackson,LAC,RB,7.0,23
DeAndre Washington,OAK,RB,2.2,12
Sterling Shepard,NYG,WR,25.1,32
Carlos Hyde,HOU,RB,7.9,21
Aaron Jones,GNB,RB,15.3,9
Jeff Wilson,SFO,RB,13.8,5
Robert Woods,LAR,WR,8.8,7
Kalen Ballage,MIA,RB,3.7,13
Chase Edmonds,ARI,RB,3.5,32
