Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Eric Ebron,IND,TE,10.6,21
Demarcus Robinson,KAN,WR,9.6,16
Dawson Knox,BUF,TE,9.5,26
Mike Williams,LAC,WR,7.5,25
Mark Andrews,BAL,TE,23.3,17
Kalif Raymond,TEN,WR,6.2,2
Stefon Diggs,MIN,WR,7.9,6
Josh Reynolds,LAR,WR,7.9,8
T.J. Hockenson,DET,TE,7.7,20
O.J. Howard,TAM,TE,14.7,32
Jack Doyle,IND,TE,13.4,21
JuJu Smith-Schuster,PIT,WR,7.4,10
Kendrick Bourne,SFO,WR,14.2,18
Rhett Ellison,NYG,TE,7.2,4
Hunter Renfrow,OAK,WR,8.2,4
Darren Waller,OAK,TE,7.0,9
Anthony Firkser,TEN,TE,12.6,22
Auden Tate,CIN,WR,6.6,15
Blake Jarwin,DAL,TE,6.5,2
Curtis Samuel,CAR,WR,13.5,11
Malik Turner,SEA,WR,5.5,9
Irv Smith,MIN,TE,8.4,25
Scott Miller,TAM,WR,5.3,20
Allen Hurns,MIA,WR,5.2,23
Chester Rogers,IND,WR,5.1,31
Hunter Henry,LAC,TE,13.0,30
Jonnu Smith,TEN,TE,7.0,22
Danny Amendola,DET,WR,6.9,5
Pharoh Cooper,ARI,WR,4.9,32
Mike Gesicki,MIA,TE,3.8,15
Demetrius Harris,CLE,TE,4.8,7
Josh Gordon,SEA,WR,4.7,9
Allen Lazard,GNB,WR,5.7,22
Zach Pascal,IND,WR,4.6,31
Olabisi Johnson,MIN,WR,4.5,6
Tyrell Williams,OAK,WR,5.5,4
Ross Dwelley,SFO,TE,5.4,29
Dare Ogunbowale,TAM,RB,5.4,20
Emmanuel Sanders,SFO,WR,4.4,18
Russell Gage,ATL,WR,6.3,28
Adam Humphries,TEN,WR,9.3,2
Jake Kumerow,GNB,WR,4.3,22
Tyler Higbee,LAR,TE,5.2,14
Jarius Wright,CAR,WR,3.1,11
Tyler Eifert,CIN,TE,10.0,1
Robert Foster,BUF,WR,3.0,7
Hayden Hurst,BAL,TE,4.0,17
Tajae Sharpe,TEN,WR,3.0,2
Isaiah McKenzie,BUF,WR,3.9,7
Logan Thomas,DET,TE,3.9,20
Ben Braunecker,CHI,TE,8.8,13
A.J. Brown,TEN,WR,2.7,2
Austin Hooper,ATL,TE,11.7,11
Breshad Perriman,TAM,WR,3.7,20
Jason Witten,DAL,TE,3.7,2
Bennie Fowler,NYG,WR,3.6,26
Christian Blake,ATL,WR,3.5,28
Jakeem Grant,MIA,WR,3.5,23
Maxx Williams,ARI,TE,2.5,27
Kyle Rudolph,MIN,TE,17.4,25
Tre'Quan Smith,NOR,WR,2.3,25
Willie Snead,BAL,WR/RS,3.2,25
Robby Anderson,NYJ,WR,2.1,29
Zay Jones,OAK,WR,2.0,4
Laquon Treadwell,MIN,WR,2.0,6
Marcus Johnson,IND,WR,1.9,31
Stanley Morgan,CIN,WR,1.9,15
Johnny Mundt,LAR,TE,1.9,14
Nick Vannett,PIT,TE,1.8,12
Clive Walford,MIA,TE,1.8,15
Chris Herndon,NYJ,TE,1.7,16
Rashard Higgins,CLE,WR,7.7,3
Anthony Miller,CHI,WR,1.7,27
