Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Jimmy Garoppolo,SFO,QB,28.88,32
Russell Wilson,SEA,QB,37.22,24
Kyler Murray,ARI,QB,21.04,9
Brandon Allen,DEN,QB,17.02,20
Deshaun Watson,HOU,QB,19.74,21
Ryan Fitzpatrick,MIA,QB,23.72,18
Derek Carr,OAK,QB,19.56,26
Jacoby Brissett,IND,QB,2.76,5
Josh Allen,BUF,QB,17.6,5
Matthew Stafford,DET,QB,24.84,29
Philip Rivers,LAC,QB,11.76,4
Lamar Jackson,BAL,QB,28.62,1
Brian Hoyer,IND,QB,15.32,5
Matt Moore,KAN,QB,15.0,10
Jameis Winston,TAM,QB,20.2,16
Dak Prescott,DAL,QB,21.48,30
Kirk Cousins,MIN,QB,21.3,14
Carson Wentz,PHI,QB,15.06,8
Baker Mayfield,CLE,QB,17.12,7
Dwayne Haskins,WAS,QB,7.16,3
Aaron Rodgers,GNB,QB,10.94,6
Sam Darnold,NYJ,QB,12.5,31
Kyle Allen,CAR,QB,14.88,17
Mason Rudolph,PIT,QB,10.14,19
Ryan Tannehill,TEN,QB,23.04,11
Tom Brady,NWE,QB,13.4,2
Daniel Jones,NYG,QB,11.8,13
Mitchell Trubisky,CHI,QB,6.5,15
Gardner Minshew,JAX,QB,7.76,28
Carlos Hyde,HOU,RB,14.0,31
Christian McCaffrey,CAR,RB,37.6,17
Ezekiel Elliott,DAL,RB,13.9,15
Damien Williams,KAN,RB,20.8,12
Josh Jacobs,OAK,RB,24.0,30
Mark Ingram,BAL,RB,14.4,1
Kenyan Drake,ARI,RB,26.2,3
Adrian Peterson,WAS,RB,14.0,14
Chris Carson,SEA,RB,13.3,2
Devin Singletary,BUF,RB,23.0,2
Phillip Lindsay,DEN,RB,15.2,25
Marlon Mack,IND,RB,8.9,5
Jordan Howard,PHI,RB,15.3,16
Melvin Gordon,LAC,RB,25.9,24
Matt Breida,SFO,RB,11.2,20
Trey Edmunds,PIT,TE,7.3,15
Dalvin Cook,MIN,RB,15.6,26
Austin Ekeler,LAC,RB,13.3,24
Ronald Jones,TAM,RB,16.2,18
Le'Veon Bell,NYJ,RB,20.1,27
Nick Chubb,CLE,RB,13.1,9
Derrick Henry,TEN,RB,24.9,32
Miles Sanders,PHI,RB,10.3,16
Leonard Fournette,JAX,RB,12.2,23
David Montgomery,CHI,RB,22.6,7
James White,NWE,RB,16.4,8
J.D. McKissic,DET,RB,16.2,22
Aaron Jones,GNB,RB,3.9,21
Ty Johnson,DET,RB,6.6,22
Mark Walton,MIA,RB,7.1,10
Saquon Barkley,NYG,RB,15.5,13
Parris Campbell,IND,WR,13.0,8
Derek Carrier,OAK,TE,2.7,13
Gus Edwards,BAL,RB,8.7,1
Tevin Coleman,SFO,RB,5.6,20
Tony Pollard,DAL,RB,4.0,15
Dion Lewis,TEN,RB,8.3,32
Kalen Ballage,MIA,RB,1.9,10
Rex Burkhead,NWE,RB,4.4,8
Sony Michel,NWE,RB,4.0,8
Paul Perkins,DET,RB,1.6,22
Bilal Powell,NYJ,RB,1.6,27
Golden Tate,NYG,WR,11.8,6
Peyton Barber,TAM,RB,1.5,18
Royce Freeman,DEN,RB,2.4,25
Frank Gore,BUF,RB,1.5,25
Duke Johnson,HOU,RB,19.1,31
Stefon Diggs,MIN,WR,2.6,2
Rashaad Penny,SEA,RB,1.2,2
Jalen Richard,OAK,RB,9.8,30
Curtis Samuel,CAR,WR,16.4,16
Jaylen Samuels,PIT,RB,19.3,6
Jamaal Williams,GNB,RB,16.9,21
LeSean McCoy,KAN,RB,1.9,12
Chris Godwin,TAM,WR,13.9,18
Dontrell Hilliard,CLE,RB,3.4,9
Christian Kirk,ARI,WR,3.6,9
Tarik Cohen,CHI,RB,3.6,7
Marvin Hall,DET,WR,0.7,25
Mecole Hardman,KAN,WR,-1.3,24
Justice Hill,BAL,RB,0.7,1
Nyheim Hines,IND,RB,3.8,5
Justin Jackson,LAC,RB,2.4,24
D.K. Metcalf,SEA,WR,25.0,32
Darren Sproles,PHI,RB,2.0,16
Courtland Sutton,DEN,WR,17.3,7
DeAndre Washington,OAK,RB,3.8,30
Reggie Bonnafon,CAR,RB,2.3,17
DeAndre Hopkins,HOU,WR,19.4,12
Alexander Mattison,MIN,RB,0.6,26
Jordan Wilkins,IND,RB,2.2,5
Tyreek Hill,KAN,WR,26.5,24
