Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Matt Ryan,ATL,QB,30.94,32
Kirk Cousins,MIN,QB,27.32,15
Kyler Murray,ARI,QB,28.8,15
Russell Wilson,SEA,QB,28.9,20
Sam Darnold,NYJ,QB,19.62,13
Ryan Fitzpatrick,MIA,QB,9.78,13
Kyle Allen,CAR,QB,17.38,24
Case Keenum,WAS,QB,15.64,31
Patrick Mahomes,KAN,QB,18.82,28
Teddy Bridgewater,NOR,QB,13.6,21
Carson Wentz,PHI,QB,20.54,10
Aaron Rodgers,GNB,QB,18.32,26
Dak Prescott,DAL,QB,18.22,18
Tom Brady,NWE,QB,21.96,30
Devlin Hodges,PIT,QB,8.08,6
Lamar Jackson,BAL,QB,30.64,25
Matthew Stafford,DET,QB,11.5,4
Jimmy Garoppolo,SFO,QB,12.12,12
Ryan Tannehill,TEN,QB,4.36,7
Philip Rivers,LAC,QB,14.8,5
Deshaun Watson,HOU,QB,27.4,14
Joe Flacco,DEN,QB,4.98,17
Andy Dalton,CIN,QB,13.6,2
Jared Goff,LAR,QB,1.12,9
Baker Mayfield,CLE,QB,17.46,16
Gardner Minshew,JAX,QB,4.62,22
Jameis Winston,TAM,QB,8.1,11
Daniel Jones,NYG,QB,5.24,1
Josh Rosen,MIA,QB,-0.6,1
Marcus Mariota,TEN,QB,-1.08,7
Jake Elliott,PHI,K,-2.0,7
Chris Carson,SEA,RB,25.9,25
Nick Chubb,CLE,RB,28.9,18
Adrian Peterson,WAS,RB,15.6,27
Carlos Hyde,HOU,RB,18.0,26
Ezekiel Elliott,DAL,RB,26.3,10
Jamaal Williams,GNB,RB,23.6,30
Devonta Freeman,ATL,RB,26.8,20
Sony Michel,NWE,RB,13.3,15
Benny Snell,PIT,RB,9.9,21
Leonard Fournette,JAX,RB,17.8,4
Phillip Lindsay,DEN,RB,15.5,17
Alexander Mattison,MIN,RB,4.3,7
Mark Ingram,BAL,RB,15.4,28
Le'Veon Bell,NYJ,RB,12.3,13
Jordan Howard,PHI,RB,4.9,12
Aaron Jones,GNB,RB,8.0,30
Tevin Coleman,SFO,RB,14.1,19
LeSean McCoy,KAN,RB,6.4,23
Latavius Murray,NOR,RB,10.9,31
James Conner,PIT,RB,30.9,21
Dalvin Cook,MIN,RB,13.4,7
Malcolm Brown,LAR,RB,4.0,3
Kenyan Drake,MIA,RB,13.0,3
Darrell Henderson,LAR,RB,5.8,3
Jon Hilliman,NYG,RB,3.5,1
Matt Breida,SFO,RB,10.3,19
Chase Edmonds,ARI,RB,14.7,19
Gus Edwards,BAL,RB,3.4,28
Royce Freeman,DEN,RB,12.6,17
David Johnson,ARI,RB,28.2,17
Duke Johnson,HOU,RB,13.4,26
Kerryon Johnson,DET,RB,14.1,24
Mark Walton,MIA,RB,12.5,24
Justice Hill,BAL,RB,3.1,28
Alvin Kamara,NOR,RB,13.6,31
Christian McCaffrey,CAR,RB,21.7,2
Boston Scott,PHI,RB,3.0,12
Peyton Barber,TAM,RB,2.8,32
Derrick Henry,TEN,RB,4.3,9
Brandon Bolden,NWE,RB,12.5,15
Stefon Diggs,MIN,WR,43.5,30
Melvin Gordon,LAC,RB,7.8,5
Alex Erickson,CIN,WR,10.4,15
Taysom Hill,NOR,QB,1.7,21
Robert Woods,LAR,WR,7.6,9
Brandin Cooks,LAR,WR,6.2,9
Austin Ekeler,LAC,RB,5.8,5
D.J. Moore,CAR,WR,15.6,32
Raheem Mostert,SFO,RB,1.3,19
Tony Pollard,DAL,RB,1.3,10
Ted Ginn,NOR,WR,6.8,12
Chris Thompson,WAS,RB,4.0,27
Ronald Jones,TAM,RB,7.0,32
Joe Mixon,CIN,RB,5.9,8
Jamal Agnew,DET,CB,0.9,8
Marquez Valdes-Scantling,GNB,WR,7.7,27
C.J. Prosise,SEA,RB,1.3,25
Curtis Samuel,CAR,WR,23.8,32
Kalen Ballage,MIA,RB,6.7,32
Elijhaa Penny,NYG,RB,1.6,1
Miles Sanders,PHI,RB,18.2,12
Ito Smith,ATL,RB,0.6,20
Damien Williams,KAN,RB,9.0,23
Bilal Powell,NYJ,RB,0.5,13
Alex Armah,CAR,RB,0.4,2
Giovani Bernard,CIN,RB,4.4,8
J.D. McKissic,DET,RB,3.1,24
D.K. Metcalf,SEA,WR,11.3,7
Wendell Smallwood,WAS,RB,0.4,27
De'Anthony Thomas,KAN,WR,0.4,21
Tyler Lockett,SEA,WR,12.8,7
Dare Ogunbowale,TAM,RB,11.5,32
Pharoh Cooper,ARI,WR,4.8,32
Dalyn Dawkins,TEN,RB,0.2,9
Keith Smith,ATL,RB,0.2,20
Ryquell Armstead,JAX,RB,0.1,4
Marqise Lee,JAX,WR,0.1,28
Deebo Samuel,SFO,WR,4.9,10
Steven Sims,WAS,WR,0.1,31
Paul Richardson,WAS,WR,0.0,31
Adam Thielen,MIN,WR,17.7,30
Dion Lewis,TEN,RB,4.9,9
James White,NWE,RB,13.5,15
Chris Godwin,TAM,WR,25.1,22
Robby Anderson,NYJ,WR,23.5,6
Kenny Golladay,DET,WR,17.1,11
Austin Hooper,ATL,TE,25.7,32
Julian Edelman,NWE,WR,20.3,29
Julio Jones,ATL,WR,18.8,20
George Kittle,SFO,TE,18.3,12
Golden Tate,NYG,WR,22.2,1
Odell Beckham,CLE,WR,16.1,18
Hunter Henry,LAC,TE,30.0,14
Terry McLaurin,WAS,WR,26.0,31
Mark Andrews,BAL,TE,13.9,17
Jamison Crowder,NYJ,WR,15.8,6
Mike Evans,TAM,WR,18.6,22
Auden Tate,CIN,WR,14.1,15
Michael Thomas,NOR,WR,16.9,12
Tyreek Hill,KAN,WR,25.0,21
Alshon Jeffery,PHI,WR,23.6,24
Courtland Sutton,DEN,WR,11.6,16
Mike Williams,LAC,WR,12.2,8
Darren Fells,HOU,TE,12.9,22
Larry Fitzgerald,ARI,WR,12.9,22
Allen Lazard,GNB,WR,16.5,27
Tavon Austin,DAL,WR,11.4,26
Demaryius Thomas,NYJ,WR,10.2,6
Damiere Byrd,ARI,WR,8.0,6
Marvin Hall,DET,WR,6.8,11
Travis Kelce,KAN,TE,9.8,24
Jason Witten,DAL,TE,10.7,4
DeAndre Hopkins,HOU,WR,14.5,2
Zach Ertz,PHI,TE,7.4,2
Jakobi Meyers,NWE,WR,9.4,29
Dede Westbrook,JAX,WR,8.3,28
Greg Olsen,CAR,TE,9.2,27
Darrel Williams,KAN,RB,6.2,23
Mike Gesicki,MIA,TE,8.1,23
Marcedes Lewis,GNB,TE,7.0,13
Michael Gallup,DAL,WR,8.8,26
Dallas Goedert,PHI,TE,9.8,2
Calvin Ridley,ATL,WR,14.8,20
Cameron Brate,TAM,TE,12.7,5
Adam Humphries,TEN,WR,10.7,13
Ricky Seals-Jones,CLE,TE,13.7,29
Cedrick Wilson,DAL,WR,9.6,26
Mecole Hardman,KAN,WR,8.5,21
Dante Pettis,SFO,WR,7.5,10
Will Fuller,HOU,WR,9.4,2
DJ Chark,JAX,WR,7.3,28
Jason Moore,LAC,WR,6.3,8
Delanie Walker,TEN,TE,7.3,10
Nelson Agholor,PHI,WR,8.2,24
Geronimo Allison,GNB,WR,7.0,27
Jordan Akins,HOU,TE,6.9,22
Keke Coutee,HOU,WR,7.9,2
Scott Miller,TAM,WR,6.9,22
Trent Sherfield,ARI,WR,4.8,22
Jared Cook,NOR,TE,12.7,23
Corey Davis,TEN,WR,6.6,13
Jarvis Landry,CLE,WR,6.6,18
David Moore,SEA,WR,6.6,7
Kyle Rudolph,MIN,TE,6.6,3
O.J. Howard,TAM,TE,5.5,5
Gunner Olszewski,NWE,WR,5.4,29
Maxx Williams,ARI,TE,12.4,29
Keenan Allen,LAC,WR,5.3,8
Darius Slayton,NYG,WR,6.2,1
Ryan Izzo,NWE,TE,5.1,16
Preston Williams,MIA,WR,5.1,16
Rhett Ellison,NYG,TE,6.0,8
Jaron Brown,SEA,WR,17.9,7
Mohamed Sanu,ATL,WR,5.9,20
Irv Smith,MIN,TE,4.9,3
Miles Boykin,BAL,WR,4.8,14
Ryan Griffin,NYJ,TE,11.8,25
DeVante Parker,MIA,WR,11.8,25
C.J. Uzomah,CIN,TE,4.6,1
Anthony Firkser,TEN,TE,3.5,10
DaeSean Hamilton,DEN,WR,4.5,16
Tyler Higbee,LAR,TE,5.5,6
Byron Pringle,KAN,WR,4.4,21
Jeremy Sprinkle,WAS,TE,4.4,21
A.J. Brown,TEN,WR,4.3,13
Seth Roberts,BAL,WR,4.3,14
Antonio Callaway,CLE,WR,4.2,18
Jaeden Graham,ATL,TE,3.1,32
T.J. Hockenson,DET,TE,6.1,19
Nick Bellore,SEA,RB,3.0,25
Nick Boyle,BAL,TE,3.8,17
Chris Moore,BAL,WR/RS,3.8,17
Willie Snead,BAL,WR/RS,4.8,17
Jimmy Graham,GNB,TE,3.7,13
Dontrell Hilliard,CLE,RB,3.7,18
Marvin Jones,DET,WR,3.7,11
Jake Kumerow,GNB,WR,3.7,27
Cooper Kupp,LAR,WR,5.7,9
Ty Montgomery,NYJ,RB,4.7,13
Seth Devalve,JAX,TE,2.6,11
Noah Fant,DEN,TE,3.6,28
Allen Hurns,MIA,WR,3.6,28
Olabisi Johnson,MIN,WR,2.6,30
Luke Willson,SEA,TE,3.6,26
Marquise Goodwin,SFO,WR,3.5,10
Virgil Green,LAC,TE,2.5,14
Laquon Treadwell,MIN,WR,2.5,30
Albert Wilson,MIA,WR,6.5,30
Diontae Johnson,PIT,WR,3.4,4
KeeSean Johnson,ARI,WR,3.4,4
Geremy Davis,LAC,WR,2.3,8
Tyler Eifert,CIN,TE,3.3,1
Kendrick Bourne,SFO,WR,2.1,10
Donte Moncrief,PIT,WR,2.1,4
Tyler Boyd,CIN,WR,4.0,15
Bobo Wilson,TAM,WR,0.0,22
Pharaoh Brown,CLE,TE,1.9,29
Gerald Everett,LAR,TE,2.9,6
Charles Clay,ARI,TE,2.8,6
Kelvin Harmon,WAS,WR,1.8,31
Josh Hill,NOR,TE,1.8,23
Jesse James,DET,TE,1.8,19
Andy Janovich,DEN,RB,1.8,17
Trey Quinn,WAS,WR,2.8,31
Jonnu Smith,TEN,TE,1.8,10
Levine Toilolo,SFO,TE,1.8,12
Josh Gordon,NWE,WR,1.7,29
JuJu Smith-Schuster,PIT,WR,1.7,4
Danny Amendola,DET,WR,1.6,11
Russell Gage,ATL,WR,1.6,20
Blake Jarwin,DAL,TE,2.6,4
Patrick Ricard,BAL,FB/DL,1.6,4
Dalton Schultz,DAL,TE,1.6,4
Jarius Wright,CAR,WR,1.6,32
Fred Brown,DEN,WR,1.5,16
Vance McDonald,PIT,TE,1.5,9
Vyncint Smith,NYJ,WR,1.5,6
Geoff Swaim,JAX,TE,1.5,11
Nick Vannett,PIT,TE,1.5,9
Hayden Hurst,BAL,TE,1.4,17
Amari Cooper,DAL,WR,1.3,26
Nick O'Leary,MIA,TE,1.3,26
Darrius Shepherd,GNB,WR,-0.9,27
Travis Benjamin,LAC,WR/PR,1.0,27
Emmanuel Sanders,DEN,WR,1.0,16
Luke Stocker,ATL,TE,1.0,32
Drew Sample,CIN,TE,0.9,1
Ryan Switzer,PIT,WR,0.8,4
Kaleb McGary,ATL,T,0.7,4
Ray-Ray McCloud,CAR,WR,-2.0,32
Maurkice Pouncey,PIT,C,0.0,32
Daniel Kilgore,MIA,C,0.0,32
