Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Larry Fitzgerald,ARI,WR,16.58,22
Kirk Cousins,MIN,QB,22.22,21
Sam Darnold,NYJ,QB,26.04,18
Russell Wilson,SEA,QB,28.54,31
Matt Ryan,ATL,QB,19.46,23
Blaine Gabbert,TEN,QB,8.04,23
Jeff Driskel,CIN,QB,15.42,15
Baker Mayfield,CLE,QB,24.96,32
Nick Foles,PHI,QB,30.94,19
Jarvis Landry,CLE,WR,11.82,20
Jared Goff,LAR,QB,17.24,6
Deshaun Watson,HOU,QB,36.46,27
Mitchell Trubisky,CHI,QB,12.14,25
Ben Roethlisberger,PIT,QB,27.6,30
Dak Prescott,DAL,QB,16.64,28
Kyle Allen,CAR,QB,1.52,28
Aaron Rodgers,GNB,QB,40.88,26
Patrick Mahomes,KAN,QB,26.22,14
Drew Brees,NOR,QB,16.94,22
Eli Manning,NYG,QB,20.36,12
Marcus Mariota,TEN,QB,5.1,12
Lamar Jackson,BAL,QB,16.06,13
Mike Glennon,ARI,QB,2.52,11
Jameis Winston,TAM,QB,14.84,8
Andrew Luck,IND,QB,21.58,10
Blake Bortles,JAX,QB,4.06,16
Derek Carr,OAK,QB,6.38,9
Cody Kessler,JAX,QB,2.44,16
Ryan Tannehill,MIA,QB,10.04,7
Case Keenum,DEN,QB,13.98,24
Nick Mullens,SFO,QB,7.64,3
Matthew Stafford,DET,QB,4.64,4
Josh Rosen,ARI,QB,8.38,11
Taylor Heinicke,CAR,QB,12.26,11
Matt Cassel,DET,QB,3.2,4
Josh Johnson,WAS,QB,8.32,5
Josh Allen,BUF,QB,11.68,20
Philip Rivers,LAC,QB,3.34,2
Tom Brady,NWE,QB,5.04,1
Derrick Henry,TEN,RB,16.2,1
Brian Hoyer,NWE,QB,-0.2,1
Nate Sudfeld,PHI,QB,0.0,19
Dede Westbrook,JAX,WR,12.4,14
Taysom Hill,NOR,QB,-2.0,22
C.J. Anderson,LAR,RB,23.2,32
Adrian Peterson,WAS,RB,13.7,4
Chris Carson,SEA,RB,23.6,30
Sony Michel,NWE,RB,17.6,24
Brian Hill,ATL,RB,9.5,7
Nick Chubb,CLE,RB,13.5,31
Doug Martin,OAK,RB,18.6,17
Damien Williams,KAN,RB,25.0,18
Christian McCaffrey,CAR,RB,29.8,18
Jamaal Williams,GNB,RB,27.6,16
Gus Edwards,BAL,RB,11.5,23
Ezekiel Elliott,DAL,RB,15.9,27
Dalvin Cook,MIN,RB,13.8,21
Joe Mixon,CIN,RB,9.8,22
Cordarrelle Patterson,NWE,WR,7.9,5
Jordan Howard,CHI,RB,15.0,20
Jaylen Samuels,PIT,RB,15.4,3
Tevin Coleman,ATL,RB,5.1,7
Carlos Hyde,JAX,RB,4.7,29
Phillip Lindsay,DEN,RB,7.7,26
Zach Zenner,DET,RB,8.7,9
Peyton Barber,TAM,RB,8.6,6
Saquon Barkley,NYG,RB,18.7,11
Leonard Fournette,JAX,RB,16.1,29
Melvin Gordon,LAC,RB,14.4,2
James White,NWE,RB,13.4,24
John Kelly,LAR,RB,5.9,32
Rex Burkhead,NWE,RB,9.9,24
Mark Ingram,NOR,RB,11.3,10
David Johnson,ARI,RB,13.7,15
Elijah McGuire,NYJ,RB,23.5,19
Marlon Mack,IND,RB,10.8,25
Keith Ford,BUF,RB,6.7,13
Darren Sproles,PHI,RB,19.8,8
Mike Davis,SEA,RB,3.1,30
LeGarrette Blount,DET,RB,4.4,9
Mohamed Sanu,ATL,WR,22.0,27
Kenneth Dixon,BAL,RB,4.8,23
Brandin Cooks,LAR,WR,9.2,12
Jeff Wilson,SFO,RB,5.8,1
Evan Engram,NYG,TE,17.3,23
Kenyan Drake,MIA,RB,9.4,5
Alvin Kamara,NOR,RB,26.5,10
Latavius Murray,MIN,RB,4.8,21
Josh Adams,PHI,RB,0.1,8
Devontae Booker,DEN,RB,7.2,26
Royce Freeman,DEN,RB,2.1,26
Matt Breida,SFO,RB,3.6,1
Chase Edmonds,ARI,RB,3.1,15
Chris Thompson,WAS,RB,3.8,4
Tyreek Hill,KAN,WR,13.1,16
Gerald Everett,LAR,TE,9.4,4
Robert Woods,LAR,WR,28.4,12
Alfred Blue,HOU,RB,8.0,14
Phillip Dorsett,NWE,WR,1.3,5
Tarik Cohen,CHI,RB,2.9,20
Wayne Gallman,NYG,RB,1.2,11
Duke Johnson,CLE,RB,12.6,31
Jalen Richard,OAK,RB,15.1,17
Kalen Ballage,MIA,RB,6.9,5
