Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Eli Manning,NYG,QB,17.14,28
Drew Brees,NOR,QB,30.52,27
Andrew Luck,IND,QB,23.88,5
Jameis Winston,TAM,QB,15.56,10
Aaron Rodgers,GNB,QB,21.58,14
Patrick Mahomes,KAN,QB,35.92,11
Jared Goff,LAR,QB,35.12,31
Colby Wadman,DEN,P,0.48,31
Cam Newton,CAR,QB,24.48,21
Russell Wilson,SEA,QB,18.6,18
Derek Carr,OAK,QB,15.68,6
Matt Ryan,ATL,QB,13.74,8
Philip Rivers,LAC,QB,19.64,9
Colt McCoy,WAS,QB,9.66,19
Andy Dalton,CIN,QB,19.34,2
Matthew Stafford,DET,QB,13.4,23
Dak Prescott,DAL,QB,14.82,23
Blaine Gabbert,TEN,QB,6.72,12
Case Keenum,DEN,QB,8.2,13
Kirk Cousins,MIN,QB,14.98,3
Deshaun Watson,HOU,QB,9.02,3
Blake Bortles,JAX,QB,3.86,22
Lamar Jackson,BAL,QB,15.9,32
Josh Rosen,ARI,QB,13.44,24
Ben Roethlisberger,PIT,QB,20.66,7
Taysom Hill,NOR,WR,0.8,30
Mitchell Trubisky,CHI,QB,10.9,4
Marcus Mariota,TEN,QB,3.1,12
Jacoby Brissett,IND,QB,-0.38,5
Ryan Fitzpatrick,TAM,QB,8.08,10
Tyler Boyd,CIN,WR,11.1,1
Eric Ebron,IND,TE,0.0,1
Taylor Heinicke,CAR,QB,0.0,21
Carson Wentz,PHI,QB,0.84,30
Alex Smith,WAS,QB,4.7,19
Saquon Barkley,NYG,RB,35.2,27
David Johnson,ARI,RB,16.4,26
Ezekiel Elliott,DAL,RB,33.1,26
Gus Edwards,BAL,RB,17.5,31
Peyton Barber,TAM,RB,19.0,25
Mark Ingram,NOR,RB,22.3,14
Leonard Fournette,JAX,RB,22.1,10
Kerryon Johnson,DET,RB,17.7,7
Lamar Miller,HOU,RB,13.8,7
Chris Carson,SEA,RB,12.3,19
Phillip Lindsay,DEN,RB,26.6,23
Alvin Kamara,NOR,RB,17.8,14
Kareem Hunt,KAN,RB,20.1,15
Melvin Gordon,LAC,RB,21.6,17
Jordan Howard,CHI,RB,7.5,9
Marlon Mack,IND,RB,13.9,4
Jalen Richard,OAK,RB,12.3,32
Tevin Coleman,ATL,RB,11.5,6
Todd Gurley,LAR,RB,12.4,30
Josh Adams,PHI,RB,16.2,3
Christian McCaffrey,CAR,RB,17.0,21
Doug Martin,OAK,RB,6.8,32
Adrian Peterson,WAS,RB,17.1,8
Alfred Blue,HOU,RB,4.6,8
Derrick Henry,TEN,RB,4.6,11
Rashaad Penny,SEA,RB,4.6,19
Carlos Hyde,JAX,RB,4.4,10
Aaron Jones,GNB,RB,27.3,18
DeAndre Washington,OAK,RB,3.9,32
Jordan Wilkins,IND,RB,9.0,4
Austin Ekeler,LAC,RB,8.9,17
Tarik Cohen,CHI,RB,6.0,9
Mike Davis,SEA,RB,7.0,19
James Conner,PIT,RB,10.9,5
Dion Lewis,TEN,RB,4.2,11
Royce Freeman,DEN,RB,10.0,23
T.J. Yeldon,JAX,RB,5.2,10
Alex Collins,BAL,RB,7.8,31
Chase Edmonds,ARI,RB,1.7,26
Taylor Gabriel,CHI,WR,13.9,3
Malcolm Brown,LAR,RB,1.5,30
Jacquizz Rodgers,TAM,RB,1.5,25
Nyheim Hines,IND,RB,4.4,4
Joe Mixon,CIN,RB,14.2,2
Dalvin Cook,MIN,RB,2.0,1
Odell Beckham,NYG,WR,18.5,26
