Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Odell Beckham,NYG,WR,18.46,10
Russell Wilson,SEA,QB,24.8,25
Derek Carr,OAK,QB,24.2,31
Patrick Mahomes,KAN,QB,33.0,24
Tarik Cohen,CHI,RB,34.64,25
Sam Koch,BAL,P,0.84,25
Colt McCoy,WAS,QB,2.0,27
Dak Prescott,DAL,QB,14.16,30
Philip Rivers,LAC,QB,19.96,22
Jameis Winston,TAM,QB,22.76,23
Ryan Tannehill,MIA,QB,14.98,1
Tom Brady,NWE,QB,14.94,4
Deshaun Watson,HOU,QB,15.96,15
Carson Wentz,PHI,QB,17.84,15
Case Keenum,DEN,QB,10.94,32
Nick Mullens,SFO,QB,22.66,14
Cody Kessler,JAX,QB,8.8,12
Marcus Mariota,TEN,QB,21.58,26
Ben Roethlisberger,PIT,QB,17.24,13
Matt Ryan,ATL,QB,7.64,2
Jeff Driskel,CIN,QB,9.74,9
Matthew Stafford,DET,QB,10.0,11
Aaron Rodgers,GNB,QB,15.32,6
Baker Mayfield,CLE,QB,13.88,19
Chase Daniel,CHI,QB,11.8,10
Lamar Jackson,BAL,QB,16.5,10
Josh Allen,BUF,QB,26.74,16
Drew Brees,NOR,QB,7.28,8
Kirk Cousins,MIN,QB,8.04,20
Jared Goff,LAR,QB,8.08,21
Andrew Luck,IND,QB,9.52,7
Cam Newton,CAR,QB,15.3,28
Robert Griffin,BAL,QB,0.84,28
Eli Manning,NYG,QB,8.8,3
Josh Rosen,ARI,QB,9.16,18
Mark Sanchez,WAS,QB,2.8,27
Josh McCown,NYJ,QB,3.42,5
Bruce Ellington,DET,WR,10.5,22
Taylor Heinicke,CAR,QB,0.0,28
Mohamed Sanu,ATL,WR,6.7,1
Phillip Lindsay,DEN,RB,28.9,31
Todd Gurley,LAR,RB,31.5,21
Saquon Barkley,NYG,RB,17.6,1
Christian McCaffrey,CAR,RB,31.1,27
Lamar Miller,HOU,RB,12.5,22
Isaiah Crowell,NYJ,RB,14.7,4
Adrian Peterson,WAS,RB,15.8,14
Jalen Richard,OAK,RB,13.6,30
Josh Adams,PHI,RB,8.5,30
Dalvin Cook,MIN,RB,18.6,13
Gus Edwards,BAL,RB,8.2,13
Joe Mixon,CIN,RB,11.5,17
Jordan Howard,CHI,RB,9.0,25
Ezekiel Elliott,DAL,RB,25.5,3
Chris Carson,SEA,RB,13.8,20
David Johnson,ARI,RB,8.2,19
Rashaad Penny,SEA,RB,12.5,20
Justin Jackson,LAC,RB,15.2,10
Sony Michel,NWE,RB,8.0,9
LeGarrette Blount,DET,RB,6.1,15
Doug Martin,OAK,RB,12.7,30
Jeff Wilson,SFO,RB,19.4,18
James Conner,PIT,RB,22.4,23
Alfred Blue,HOU,RB,5.4,22
Chase Edmonds,ARI,RB,20.6,19
LeSean McCoy,BUF,RB,10.4,29
Royce Freeman,DEN,RB,2.8,31
Spencer Ware,KAN,RB,12.2,26
Peyton Barber,TAM,RB,8.5,7
Derrick Henry,TEN,RB,12.5,16
Damien Williams,KAN,RB,6.5,26
Kenneth Dixon,BAL,RB,5.3,26
Tyreek Hill,KAN,WR,6.0,19
Carlos Hyde,JAX,RB,2.7,11
Aaron Jones,GNB,RB,15.2,32
Alvin Kamara,NOR,RB,15.2,6
Dion Lewis,TEN,RB,5.4,16
Julian Edelman,NWE,WR,9.0,3
