Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Pat O'Donnell,CHI,P,5.52,10
Cam Newton,CAR,QB,26.2,13
Alex Smith,KAN,QB,26.86,30
Carson Wentz,PHI,QB,27.26,18
Aaron Rodgers,GNB,QB,24.04,22
Kevin Hogan,CLE,QB,16.76,28
Deshaun Watson,HOU,QB,33.54,24
Case Keenum,MIN,QB,11.8,7
Dak Prescott,DAL,QB,29.74,25
Matthew Stafford,DET,QB,15.16,12
Josh McCown,NYJ,QB,13.46,29
Brian Hoyer,SFO,QB,22.12,26
Joe Flacco,BAL,QB,8.48,17
Tom Brady,NWE,QB,12.62,19
Carson Palmer,ARI,QB,15.64,10
Jameis Winston,TAM,QB,18.46,27
Matt Cassel,TEN,QB,7.64,20
Eli Manning,NYG,QB,13.0,4
Jacoby Brissett,IND,QB,17.96,31
EJ Manuel,OAK,QB,11.86,2
Philip Rivers,LAC,QB,20.82,32
Andy Dalton,CIN,QB,13.32,5
Russell Wilson,SEA,QB,11.52,9
Tyrod Taylor,BUF,QB,8.94,14
Mitchell Trubisky,CHI,QB,7.32,3
Sam Bradford,MIN,QB,1.44,7
Jay Cutler,MIA,QB,6.48,21
Jared Goff,LAR,QB,7.72,8
Blake Bortles,JAX,QB,2.7,6
MarQueis Gray,MIA,TE,0.0,18
DeShone Kizer,CLE,QB,2.38,28
Ben Roethlisberger,PIT,QB,2.58,1
Tanner McEvoy,SEA,WR,-2.0,7
Leonard Fournette,JAX,RB,31.4,18
Aaron Jones,GNB,RB,20.4,9
Ezekiel Elliott,DAL,RB,14.2,21
Kareem Hunt,KAN,RB,14.6,12
Melvin Gordon,LAC,RB,34.3,24
Jerick McKinnon,MIN,RB,26.6,6
Marlon Mack,IND,RB,16.3,25
Jay Ajayi,MIA,RB,7.9,8
Jordan Howard,CHI,RB,7.6,1
LeGarrette Blount,PHI,RB,7.4,4
Doug Martin,TAM,RB,15.2,17
Lamar Miller,HOU,RB,10.9,11
Javorius Allen,BAL,RB,18.5,16
Orleans Darkwa,NYG,RB,14.2,20
LeSean McCoy,BUF,RB,14.9,30
Isaiah Crowell,CLE,RB,8.7,19
DeMarco Murray,TEN,RB,8.9,27
Wayne Gallman,NYG,RB,13.2,20
Alex Collins,BAL,RB,5.5,16
Dion Lewis,NWE,RB,8.3,23
Mike Gillislee,NWE,RB,5.2,23
Joe Mixon,CIN,RB,11.1,32
Matt Breida,SFO,RB,10.1,28
Frank Gore,IND,RB,11.6,25
Le'Veon Bell,PIT,RB,19.3,13
Todd Gurley,LAR,RB,5.0,10
Marshawn Lynch,OAK,RB,12.3,22
Chris Ivory,JAX,RB,4.1,18
Jalen Richard,OAK,RB,3.7,22
D'Onta Foreman,HOU,RB,2.7,11
Ameer Abdullah,DET,RB,4.4,3
Latavius Murray,MIN,RB,6.3,6
Tavon Austin,LAR,WR,11.1,19
Kenjon Barner,PHI,RB,2.3,4
Chris Johnson,ARI,RB,3.9,2
Jonathan Stewart,CAR,RB,7.4,31
Duke Johnson,CLE,RB,17.3,19
Elijah McGuire,NYJ,RB,5.0,14
Thomas Rawls,SEA,RB,5.5,29
Eddie Lacy,SEA,RB,3.8,29
Shane Vereen,NYG,RB,8.5,20
Corey Clement,PHI,RB,4.9,4
Terrance West,BAL,RB,1.7,16
Jeremy Hill,CIN,RB,1.6,32
Mike Tolbert,BUF,RB,6.4,30
Damien Williams,MIA,RB,3.8,8
Travis Benjamin,LAC,WR,5.2,25
JJ Nelson,ARI,WR,11.4,20
Martavis Bryant,PIT,WR,8.4,1
Tarik Cohen,CHI,RB,1.7,1
Jamize Olawale,OAK,RB,1.3,22
ArDarius Stewart,NYJ,WR,1.2,13
Carlos Hyde,SFO,RB,2.8,28
Adam Thielen,MIN,WR,9.5,16
Zach Zenner,DET,RB,7.1,3
Alfred Morris,DAL,RB,1.0,21
James Conner,PIT,RB,0.9,13
Derrick Henry,TEN,RB,0.9,27
Odell Beckham,NYG,WR,21.5,6
Theo Riddick,DET,RB,9.3,3
Robert Woods,LAR,WR,12.4,19
Tyler Lockett,SEA,WR,6.3,7
Christian McCaffrey,CAR,RB,14.8,31
Robert Turbin,IND,RB,3.9,25
Will Fuller,HOU,WR,20.2,30
Bilal Powell,NYJ,RB,7.3,14
Taywan Taylor,TEN,WR,0.5,9
Benny Cunningham,CHI,RB,12.7,1
Kyle Juszczyk,SFO,RB,9.7,28
Raheem Mostert,SFO,RB,0.3,28
Charles Sims,TAM,RB,8.4,17
