Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Brock Osweiler,DEN,QB,23.26,26
Blake Bortles,JAX,QB,25.04,30
Case Keenum,MIN,QB,19.44,14
Jameis Winston,TAM,QB,25.76,14
Cam Newton,CAR,QB,31.48,25
Alex Smith,KAN,QB,18.54,4
Kirk Cousins,WAS,QB,15.84,18
Nick Foles,PHI,QB,25.48,32
Matthew Stafford,DET,QB,17.38,7
Marcus Mariota,TEN,QB,18.04,31
Ben Roethlisberger,PIT,QB,18.24,27
Jimmy Garoppolo,SFO,QB,19.64,21
Drew Brees,NOR,QB,17.14,28
Eli Manning,NYG,QB,27.36,10
Tyrod Taylor,BUF,QB,23.16,20
Jared Goff,LAR,QB,10.8,8
Joe Flacco,BAL,QB,21.82,29
Tom Brady,NWE,QB,13.72,6
Matt Ryan,ATL,QB,15.38,19
Derek Carr,OAK,QB,17.54,22
Russell Wilson,SEA,QB,11.58,9
Aaron Rodgers,GNB,QB,21.9,12
Jacoby Brissett,IND,QB,14.12,15
Mitchell Trubisky,CHI,QB,10.86,13
Dak Prescott,DAL,QB,13.68,17
A.J. McCarron,CIN,QB,0.76,3
Sean Mannion,LAR,QB,0.46,8
Philip Rivers,LAC,QB,7.08,24
Bryce Petty,NYJ,QB,8.76,11
T.J. Yates,HOU,QB,7.12,1
Jay Cutler,MIA,QB,5.76,5
Blaine Gabbert,ARI,QB,6.36,5
DeShone Kizer,CLE,QB,3.34,2
Trevor Siemian,DEN,QB,0.68,26
Andy Dalton,CIN,QB,0.52,3
Teddy Bridgewater,MIN,QB,-2.3,14
C.J. Anderson,DEN,RB,15.8,28
Kareem Hunt,KAN,RB,39.6,20
Todd Gurley,LAR,RB,45.0,10
Devonta Freeman,ATL,RB,30.4,23
Le'Veon Bell,PIT,RB,27.5,17
Kenyan Drake,MIA,RB,23.3,32
Melvin Gordon,LAC,RB,28.9,11
Marshawn Lynch,OAK,RB,12.2,9
Latavius Murray,MIN,RB,17.4,30
Mark Ingram,NOR,RB,32.1,19
Isaiah Crowell,CLE,RB,10.5,22
Javorius Allen,BAL,RB,8.4,14
Corey Grant,JAX,RB,12.9,12
Dion Lewis,NWE,RB,15.0,18
Christian McCaffrey,CAR,RB,25.6,21
Alfred Morris,DAL,RB,8.1,16
Kerwynn Williams,ARI,RB,6.1,16
DeMarco Murray,TEN,RB,7.3,25
Alfred Blue,HOU,RB,5.5,13
Peyton Barber,TAM,RB,7.8,13
LeSean McCoy,BUF,RB,25.6,27
Jay Ajayi,PHI,RB,10.9,24
Theo Riddick,DET,RB,7.1,6
Aaron Jones,GNB,RB,6.3,3
Malcolm Brown,LAR,RB,4.5,10
Elijhaa Penny,ARI,RB,4.5,10
Tavon Austin,LAR,WR,4.4,19
Alvin Kamara,NOR,RB,20.9,19
Bilal Powell,NYJ,RB,10.4,15
Chris Ivory,JAX,RB,4.2,12
Terron Ward,ATL,RB,5.6,23
Devontae Booker,DEN,RB,5.9,28
Wayne Gallman,NYG,RB,13.9,2
Jordan Howard,CHI,RB,10.3,31
Samaje Perine,WAS,RB,8.6,4
Tion Green,DET,RB,3.5,6
Lamar Miller,HOU,RB,5.3,13
Frank Gore,IND,RB,9.8,5
Giovani Bernard,CIN,RB,13.3,1
Jamaal Williams,GNB,RB,3.0,3
Jonathan Stewart,CAR,RB,4.6,21
T.J. Yeldon,JAX,RB,9.2,12
Carlos Hyde,SFO,RB,5.9,8
Travaris Cadet,BUF,RB,4.8,27
Matt Forte,NYJ,RB,5.4,15
Chris Jones,DAL,P,2.4,15
Elijah McGuire,NYJ,RB,16.2,15
Jerick McKinnon,MIN,RB,20.8,30
Duke Johnson,CLE,RB,15.3,22
Kenjon Barner,PHI,RB,2.1,24
LeGarrette Blount,PHI,RB,2.1,24
J.D. McKissic,SEA,RB,8.8,29
Alex Collins,BAL,RB,10.2,14
Mike Davis,SEA,RB,5.9,29
Derrick Henry,TEN,RB,4.8,25
Corey Clement,PHI,RB,2.8,24
Matt Breida,SFO,RB,1.6,8
Jojo Natson,NYJ,WR,4.4,17
Shane Vereen,NYG,RB,8.0,2
Evan Engram,NYG,TE,18.1,15
Marlon Mack,IND,RB,1.4,5
James Conner,PIT,RB,1.3,17
Austin Ekeler,LAC,RB,0.9,11
Rod Smith,DAL,RB,12.4,16
Rex Burkhead,NWE,RB,8.7,18
Brian Hill,CIN,RB,1.2,1
Marquise Goodwin,SFO,WR,22.4,23
Ameer Abdullah,DET,RB,5.1,6
Zach Line,NOR,RB,2.3,19
Taywan Taylor,TEN,WR,0.8,22
Travis Benjamin,LAC,WR,2.4,30
Orleans Darkwa,NYG,RB,8.6,2
Stefon Diggs,MIN,WR,14.7,3
Jakeem Grant,MIA,WR,3.0,5
MarQueis Gray,MIA,TE,0.7,22
DeSean Jackson,TAM,WR,2.8,22
JJ Nelson,ARI,WR,6.3,22
Chester Rogers,IND,WR,0.7,4
Kapri Bibbs,WAS,RB,15.3,4
Adam Humphries,TAM,WR,15.9,4
Tommylee Lewis,NOR,WR,0.6,21
Charcandrick West,KAN,RB,0.6,20
Josh Malone,CIN,WR,0.4,8
Maxx Williams,BAL,TE,0.4,29
Taylor Gabriel,ATL,WR,3.9,31
Mohamed Sanu,ATL,WR,4.6,31
Fitzgerald Toussaint,PIT,RB,0.3,17
DeAndre Washington,OAK,RB,3.9,9
Fozzy Whittaker,CAR,RB,0.3,21
Tommy Bohanon,JAX,RB,12.2,12
Michael Burton,CHI,RB,0.2,31
LeShun Daniels,WAS,RB,0.2,4
Tarik Cohen,CHI,RB,5.7,31
Lawrence Thomas,NYJ,RB,0.1,15
Danny Woodhead,BAL,RB,9.2,14
Andy Janovich,DEN,RB,-0.1,28
Chad Henne,JAX,QB,-0.2,30
Dez Bryant,DAL,WR,7.5,10
Cordarrelle Patterson,OAK,WR,1.3,24
Josh Doctson,WAS,WR,2.2,18
Keelan Cole,JAX,WR,31.6,32
Rob Gronkowski,NWE,TE,25.8,3
Sterling Shepard,NYG,WR,30.9,20
Greg Olsen,CAR,TE,26.6,6
JuJu Smith-Schuster,PIT,WR,17.4,29
Jarvis Landry,MIA,WR,19.9,5
Rishard Matthews,TEN,WR,21.5,22
Michael Thomas,NOR,WR,24.3,21
DeVante Parker,MIA,WR,14.9,5
Mike Wallace,BAL,WR,14.9,13
Tyreek Hill,KAN,WR,19.8,6
Kendrick Bourne,SFO,WR,12.5,23
Marvin Jones,DET,WR,11.5,16
Randall Cobb,GNB,WR,21.4,28
Kendall Wright,CHI,WR,15.1,15
DeAndre Hopkins,HOU,WR,18.0,1
Mike Evans,TAM,WR,18.9,1
Richard Rodgers,GNB,TE,17.7,11
Roger Lewis,NYG,WR,11.4,20
Ben Watson,BAL,TE,17.4,29
Josh Bellamy,CHI,WR,12.0,15
Tavarres King,NYG,WR,21.0,20
Demaryius Thomas,DEN,WR,11.9,26
Charles Clay,BUF,TE,11.8,30
Emmanuel Sanders,DEN,WR,13.8,26
Garrett Celek,SFO,TE,15.3,18
Eric Decker,TEN,WR,11.3,22
Jaydon Mickens,JAX,WR,22.1,32
Brandin Cooks,NWE,WR,16.0,12
Larry Fitzgerald,ARI,WR,11.0,12
Cody Latimer,DEN,WR,15.0,26
Nelson Agholor,PHI,WR,18.9,25
Martavis Bryant,PIT,WR,15.9,29
Davante Adams,GNB,WR,16.7,28
Zach Ertz,PHI,TE,17.6,32
Jamison Crowder,WAS,WR,16.5,18
Keenan Allen,LAC,WR,10.4,30
Jeff Heuerman,DEN,TE,12.4,25
Julio Jones,ATL,WR,8.4,31
Brandon LaFell,CIN,WR,7.3,8
George Kittle,SFO,TE,9.2,18
Seth Roberts,OAK,WR,8.2,24
Cameron Brate,TAM,TE,8.9,24
Alshon Jeffery,PHI,WR,14.9,25
Jack Doyle,IND,TE,11.7,31
Josh Gordon,CLE,WR,9.7,2
Jason Witten,DAL,TE,8.7,26
Travis Kelce,KAN,TE,10.6,5
Robert Woods,LAR,WR,16.5,19
Will Fuller,HOU,WR,9.4,1
Markus Wheaton,CHI,WR,6.2,15
T.Y. Hilton,IND,WR,9.1,4
Troy Niklas,ARI,TE,7.1,4
Robby Anderson,NYJ,WR,9.0,17
Trent Taylor,SFO,WR,8.0,23
Michael Crabtree,OAK,WR,22.9,24
Delanie Walker,TEN,TE,12.7,16
Geronimo Allison,GNB,WR,6.3,28
Benny Cunningham,CHI,RB,13.3,31
Eric Ebron,DET,TE,14.3,7
Justin Hardy,ATL,WR,11.3,31
Nick O'Leary,BUF,TE,5.3,30
Golden Tate,DET,WR,6.3,16
Ross Travis,IND,TE,5.3,31
Daniel Brown,CHI,TE,6.2,24
Seth Devalve,CLE,TE,5.2,21
James Hanna,DAL,TE,4.1,26
Tyrell Williams,LAC,WR,6.1,30
A.J. Green,CIN,WR,5.0,8
O.J. Howard,TAM,TE,10.0,8
Adam Thielen,MIN,WR,6.0,3
Kenny Golladay,DET,WR,6.9,16
Corey Davis,TEN,WR,5.8,22
Hunter Henry,LAC,RB,5.8,11
Jermaine Kearse,NYJ,WR,5.8,17
Jordy Nelson,GNB,WR,5.8,28
T.J. Jones,DET,WR,11.6,16
Luke Willson,SEA,TE,9.6,20
Damiere Byrd,CAR,WR,17.5,27
Antonio Brown,PIT,WR,4.4,29
C.J. Uzomah,CIN,TE,6.4,1
Danny Amendola,NWE,WR,4.3,12
Alan Cross,TAM,TE,3.3,12
Willie Snead,NOR,WR,3.3,21
D.J. Foster,ARI,RB,6.2,21
Josh Hill,NOR,TE,3.2,27
Jeremy Maclin,BAL,WR,3.2,13
Chad Hansen,NYJ,WR,5.1,17
Cooper Kupp,LAR,WR,4.1,19
Jalen Richard,OAK,RB,4.1,9
Brandon Tate,BUF,WR,3.1,9
Dede Westbrook,JAX,WR,4.1,32
