Player Name,Position,Team,Games Played,Total Fantasy Points,Average Fantasy Points
Russell Gage,WR,ATL,15.0,12.3,0.82
David Grinnage,TE,JAX,4.0,12.1,3.03
Ryan Hewitt,TE,IND,12.0,7.1,0.59
JJ Nelson,WR,ARI,14.0,13.4,0.96
Bradley Sowell,RB,CHI,16.0,7.2,0.45
Derrick Willies,WR,CLE,5.0,9.1,1.82
Kamar Aiken,WR,PHI,5.0,11.3,2.26
Antony Auclair,TE,TAM,16.0,11.8,0.74
Mike Boone,RB,MIN,8.0,6.8,0.85
Noah Brown,WR,DAL,8.0,10.4,1.3
Rico Gathers,TE,DAL,15.0,7.5,0.5
Shelton Gibson,WR,PHI,15.0,5.8,0.39
Jacob Hollister,TE,NWE,8.0,9.2,1.15
DeShone Kizer,QB,GNB,3.0,5.38,1.79
Eric Saubert,TE,ATL,16.0,9.8,0.61
Durham Smythe,TE,MIA,15.0,11.0,0.73
Neal Sterling,TE,NYJ,5.0,10.7,2.14
Nate Sudfeld,QB,PHI,2.0,4.68,2.34
Roc Thomas,RB,MIN,5.0,7.1,1.42
Delanie Walker,TE,TEN,1.0,9.2,9.2
Bobo Wilson,WR,TAM,5.0,9.2,1.84
Chad Beebe,WR,MIN,3.0,7.9,2.63
Tommy Bohanon,RB,JAX,16.0,10.1,0.63
Ben Braunecker,TE,CHI,15.0,7.2,0.48
Jawill Davis,WR,NYG,7.0,8.0,1.14
Tyler Ervin,RB,HOU,9.0,6.5,0.72
Jordan Franks,TE,CIN,6.0,5.7,0.95
Rashad Greene,WR,JAX,8.0,10.0,1.25
Tyler Kroft,TE,CIN,5.0,7.6,1.52
Marcedes Lewis,TE,GNB,16.0,6.9,0.43
T.J. Logan,RB,ARI,10.0,10.9,1.09
Tre Madden,RB,SEA,14.0,5.8,0.41
Byron Marshall,RB,WAS,6.0,7.9,1.32
David Morgan,TE,MIN,11.0,8.6,0.78
Roosevelt Nix,RB,PIT,16.0,8.2,0.51
Samaje Perine,RB,WAS,5.0,6.7,1.34
John Phillips,TE,ARI,8.0,6.8,0.85
Auden Tate,WR,CIN,7.0,7.5,1.07
Jalen Tolliver,WR,ARI,3.0,6.7,2.23
David Williams,RB,JAX,6.0,3.6,0.6
