Player Name,Position,Team,Games Played,Total Fantasy Points,Average Fantasy Points
Todd Gurley,RB,LAR,15.0,383.3,25.55
Le'Veon Bell,RB,PIT,15.0,341.6,22.77
Kareem Hunt,RB,KAN,16.0,295.2,18.45
Alvin Kamara,RB,NOR,16.0,312.4,19.52
Melvin Gordon,RB,LAC,16.0,288.1,18.01
DeAndre Hopkins,WR,HOU,15.0,309.8,20.65
Antonio Brown,WR,PIT,14.0,308.3,22.02
Mark Ingram,RB,NOR,16.0,278.0,17.38
Russell Wilson,QB,SEA,16.0,343.92,21.5
LeSean McCoy,RB,BUF,16.0,263.6,16.48
Rob Gronkowski,TE,NWE,14.0,225.4,16.1
Travis Kelce,TE,KAN,15.0,233.5,15.57
Leonard Fournette,RB,JAX,13.0,230.2,17.71
Keenan Allen,WR,LAC,16.0,278.2,17.39
Tyreek Hill,WR,KAN,15.0,239.2,15.95
Marvin Jones,WR,DET,16.0,225.1,14.07
Julio Jones,WR,ATL,16.0,251.9,15.74
Ezekiel Elliott,RB,DAL,10.0,203.2,20.32
Jordan Howard,RB,CHI,16.0,199.7,12.48
Carlos Hyde,RB,SFO,16.0,233.8,14.61
Zach Ertz,TE,PHI,14.0,202.4,14.46
Brandin Cooks,WR,NWE,16.0,219.2,13.7
Cam Newton,QB,CAR,16.0,297.48,18.59
Dion Lewis,RB,NWE,16.0,197.0,12.31
Michael Thomas,WR,NOR,16.0,258.5,16.16
Larry Fitzgerald,WR,ARI,16.0,259.44,16.22
A.J. Green,WR,CIN,16.0,226.8,14.18
Tom Brady,QB,NWE,16.0,291.88,18.24
Alex Smith,QB,KAN,15.0,295.18,19.68
Adam Thielen,WR,MIN,16.0,239.7,14.98
Davante Adams,WR,GNB,14.0,222.5,15.89
Doug Baldwin,WR,SEA,16.0,221.3,13.83
Devonta Freeman,RB,ATL,14.0,200.2,14.3
Jarvis Landry,WR,MIA,16.0,260.0,16.25
Jimmy Graham,TE,SEA,16.0,169.0,10.56
Lamar Miller,RB,HOU,16.0,193.5,12.09
JuJu Smith-Schuster,WR,PIT,14.0,191.7,13.69
Alshon Jeffery,WR,PHI,16.0,189.9,11.87
Evan Engram,TE,NYG,15.0,173.6,11.57
Carson Wentz,QB,PHI,13.0,273.74,21.06
Robby Anderson,WR,NYJ,16.0,200.0,12.5
Stefon Diggs,WR,MIN,14.0,198.2,14.16
Kirk Cousins,QB,WAS,16.0,277.62,17.35
Christian McCaffrey,RB,CAR,16.0,228.6,14.29
Golden Tate,WR,DET,16.0,222.5,13.91
Mike Evans,WR,TAM,15.0,201.1,13.41
Devin Funchess,WR,CAR,16.0,195.0,12.19
Alex Collins,RB,BAL,15.0,171.0,11.4
C.J. Anderson,RB,DEN,16.0,173.1,10.82
Kyle Rudolph,TE,MIN,16.0,158.2,9.89
Delanie Walker,TE,TEN,16.0,174.5,10.91
Matthew Stafford,QB,DET,16.0,269.64,16.85
Frank Gore,RB,IND,16.0,173.6,10.85
Marshawn Lynch,RB,OAK,15.0,164.2,10.95
Latavius Murray,RB,MIN,16.0,157.5,9.84
Philip Rivers,QB,LAC,16.0,270.4,16.9
Duke Johnson,RB,CLE,16.0,216.1,13.51
Nelson Agholor,WR,PHI,16.0,187.5,11.72
Tevin Coleman,RB,ATL,15.0,167.7,11.18
Cameron Brate,TE,TAM,16.0,143.1,8.94
Demaryius Thomas,WR,DEN,16.0,205.9,12.87
T.Y. Hilton,WR,IND,16.0,175.6,10.98
Drew Brees,QB,NOR,16.0,262.56,16.41
Jack Doyle,TE,IND,15.0,169.0,11.27
Dez Bryant,WR,DAL,16.0,186.4,11.65
Kenny Stills,WR,MIA,16.0,174.7,10.92
Ben Roethlisberger,QB,PIT,15.0,256.74,17.12
Dak Prescott,QB,DAL,16.0,260.66,16.29
DeMarco Murray,RB,TEN,15.0,171.5,11.43
Cooper Kupp,WR,LAR,15.0,176.9,11.79
Michael Crabtree,WR,OAK,14.0,167.8,11.99
Jason Witten,TE,DAL,16.0,147.0,9.19
Marquise Goodwin,WR,SFO,16.0,168.6,10.54
Tyler Kroft,TE,CIN,16.0,124.4,7.78
Jermaine Kearse,WR,NYJ,16.0,176.0,11.0
Jared Goff,QB,LAR,15.0,255.26,17.02
Hunter Henry,TE,LAC,14.0,126.9,9.06
Alex Armah,0,CAR,9.0,0.0,0.0
Blake Bortles,QB,JAX,16.0,243.68,15.23
Case Keenum,QB,MIN,15.0,235.88,15.73
Matt Ryan,QB,ATL,16.0,228.1,14.26
Tyrod Taylor,QB,BUF,15.0,222.66,14.84
Andy Dalton,QB,CIN,16.0,210.7,13.17
Marcus Mariota,QB,TEN,15.0,210.48,14.03
Jacoby Brissett,QB,IND,16.0,205.92,12.87
Derek Carr,QB,OAK,15.0,202.44,13.5
Josh McCown,QB,NYJ,13.0,205.44,15.8
Jameis Winston,QB,TAM,13.0,199.66,15.36
Eli Manning,QB,NYG,15.0,187.32,12.49
Joe Flacco,QB,BAL,16.0,183.04,11.44
DeShone Kizer,QB,CLE,15.0,175.66,11.71
Deshaun Watson,QB,HOU,7.0,164.86,23.55
Jay Cutler,QB,MIA,14.0,157.84,11.27
Mitchell Trubisky,QB,CHI,12.0,132.52,11.04
Aaron Rodgers,QB,GNB,7.0,129.6,18.51
Jerick McKinnon,RB,MIN,16.0,176.1,11.01
Trevor Siemian,QB,DEN,11.0,126.1,11.46
Derrick Henry,RB,TEN,16.0,135.0,8.44
Brett Hundley,QB,GNB,11.0,122.44,11.13
Bilal Powell,RB,NYJ,15.0,145.2,9.68
Javorius Allen,RB,BAL,16.0,166.1,10.38
Orleans Darkwa,RB,NYG,15.0,135.7,9.05
Jamaal Williams,RB,GNB,16.0,142.8,8.93
Isaiah Crowell,RB,CLE,16.0,141.5,8.84
Chris Thompson,RB,WAS,10.0,151.4,15.14
Jay Ajayi,RB,2TM,14.0,135.1,9.65
Joe Mixon,RB,CIN,14.0,141.3,10.09
Amari Cooper,WR,OAK,14.0,158.4,11.31
Kenyan Drake,RB,MIA,16.0,140.3,8.77
Giovani Bernard,RB,CIN,16.0,151.7,9.48
Jonathan Stewart,RB,CAR,15.0,117.2,7.81
Ted Ginn,WR,NOR,15.0,159.6,10.64
Mohamed Sanu,WR,ATL,15.0,174.34,11.62
Sammy Watkins,WR,LAR,15.0,146.3,9.75
Robert Woods,WR,LAR,12.0,163.3,13.61
Paul Richardson,WR,SEA,16.0,150.3,9.39
Rishard Matthews,WR,TEN,14.0,156.2,11.16
Carson Palmer,QB,ARI,7.0,102.32,14.62
Theo Riddick,RB,DET,16.0,154.0,9.62
LeGarrette Blount,RB,PHI,16.0,105.6,6.6
Rex Burkhead,RB,NWE,10.0,129.8,12.98
Ameer Abdullah,RB,DET,14.0,124.4,8.89
Mike Wallace,WR,BAL,15.0,151.2,10.08
Tarik Cohen,RB,CHI,16.0,144.14,9.01
Travis Benjamin,WR,LAC,16.0,124.3,7.77
Tyrell Williams,WR,LAC,16.0,137.8,8.61
Jamison Crowder,WR,WAS,15.0,160.3,10.69
Randall Cobb,WR,GNB,15.0,157.4,10.49
Marqise Lee,WR,JAX,14.0,145.9,10.42
Keelan Cole,WR,JAX,16.0,132.8,8.3
C.J. Beathard,QB,SFO,7.0,88.8,12.69
DeSean Jackson,WR,TAM,14.0,138.6,9.9
Kelvin Benjamin,WR,2TM,14.0,135.2,9.66
Jimmy Garoppolo,QB,SFO,6.0,87.9,14.65
Samaje Perine,RB,WAS,16.0,108.5,6.78
Sterling Shepard,WR,NYG,11.0,144.5,13.14
Josh Doctson,WR,WAS,16.0,119.8,7.49
Will Fuller,WR,HOU,10.0,113.2,11.32
Jordy Nelson,WR,GNB,15.0,137.2,9.15
Matt Breida,RB,SFO,16.0,103.5,6.47
Martavis Bryant,WR,PIT,15.0,130.5,8.7
Matt Forte,RB,NYJ,12.0,120.4,10.03
Corey Clement,RB,PHI,16.0,90.4,5.65
Marlon Mack,RB,IND,14.0,103.3,7.38
Ryan Grant,WR,WAS,16.0,126.3,7.89
Austin Ekeler,RB,LAC,16.0,106.9,6.68
Jared Cook,TE,OAK,16.0,132.8,8.3
Vernon Davis,TE,WAS,16.0,121.8,7.61
Eric Ebron,TE,DET,16.0,132.4,8.28
Tyler Lockett,WR,SEA,16.0,118.3,7.39
