Player Name,Position,Team,Games Played,Total Fantasy Points,Average Fantasy Points
Christian McCaffrey,RB,CAR,16.0,469.2,29.33
Lamar Jackson,QB,BAL,15.0,415.68,27.71
Derrick Henry,RB,TEN,15.0,294.6,19.64
Aaron Jones,RB,GNB,16.0,314.8,19.68
Ezekiel Elliott,RB,DAL,16.0,311.7,19.48
Dalvin Cook,RB,MIN,14.0,292.4,20.89
Michael Thomas,WR,NOR,16.0,374.6,23.41
Travis Kelce,TE,KAN,16.0,254.3,15.89
Nick Chubb,RB,CLE,16.0,255.2,15.95
Austin Ekeler,RB,LAC,16.0,309.0,19.31
Mark Ingram,RB,BAL,15.0,238.5,15.9
Dak Prescott,QB,DAL,16.0,335.78,20.99
Mark Andrews,TE,BAL,15.0,207.2,13.81
Russell Wilson,QB,SEA,16.0,326.6,20.41
Chris Godwin,WR,TAM,14.0,274.1,19.58
George Kittle,TE,SFO,14.0,222.5,15.89
Deshaun Watson,QB,HOU,15.0,318.98,21.27
Chris Carson,RB,SEA,15.0,232.6,15.51
Darren Waller,TE,OAK,16.0,221.0,13.81
Kenny Golladay,WR,DET,16.0,248.0,15.5
Saquon Barkley,RB,NYG,13.0,244.1,18.78
Zach Ertz,TE,PHI,15.0,213.6,14.24
Joe Mixon,RB,CIN,16.0,225.4,14.09
Todd Gurley,RB,LAR,15.0,217.4,14.49
Jared Cook,TE,NOR,14.0,167.5,11.96
Cooper Kupp,WR,LAR,16.0,270.5,16.91
Julio Jones,WR,ATL,15.0,274.1,18.27
DeVante Parker,WR,MIA,16.0,246.2,15.39
Leonard Fournette,RB,JAX,15.0,259.4,17.29
Jameis Winston,QB,TAM,16.0,297.36,18.58
Austin Hooper,TE,ATL,13.0,189.7,14.59
Amari Cooper,WR,DAL,16.0,246.5,15.41
Mike Evans,WR,TAM,13.0,230.7,17.75
A.J. Brown,WR,TEN,16.0,217.1,13.57
DeAndre Hopkins,WR,HOU,15.0,266.54,17.77
Josh Jacobs,RB,OAK,13.0,191.6,14.74
Keenan Allen,WR,LAC,16.0,261.5,16.34
Miles Sanders,RB,PHI,16.0,216.7,13.54
Allen Robinson,WR,CHI,16.0,254.9,15.93
Julian Edelman,WR,NWE,16.0,254.28,15.89
Alvin Kamara,RB,NOR,14.0,248.52,17.75
Marlon Mack,RB,IND,14.0,179.3,12.81
Jarvis Landry,WR,CLE,16.0,237.4,14.84
Josh Allen,QB,BUF,16.0,282.56,17.66
Tyler Lockett,WR,SEA,16.0,235.2,14.7
DJ Chark,WR,JAX,15.0,223.8,14.92
Kenyan Drake,RB,2TM,14.0,212.2,15.16
Patrick Mahomes,QB,KAN,14.0,285.04,20.36
Phillip Lindsay,RB,DEN,16.0,197.7,12.36
Kyler Murray,QB,ARI,16.0,279.28,17.45
Courtland Sutton,WR,DEN,16.0,222.42,13.9
Stefon Diggs,WR,MIN,15.0,212.1,14.14
John Brown,WR,BUF,15.0,219.82,14.65
Hunter Henry,TE,LAC,12.0,148.2,12.35
Michael Gallup,WR,DAL,14.0,212.7,15.19
Aaron Rodgers,QB,GNB,16.0,272.38,17.02
Tyler Higbee,TE,LAR,15.0,160.4,10.69
D.J. Moore,WR,CAR,15.0,230.5,15.37
Robert Woods,WR,LAR,15.0,232.9,15.53
Carson Wentz,QB,PHI,16.0,271.86,16.99
Raheem Mostert,RB,SFO,16.0,165.2,10.32
Dallas Goedert,TE,PHI,15.0,144.7,9.65
Le'Veon Bell,RB,NYJ,15.0,213.0,14.2
Mike Gesicki,TE,MIA,16.0,136.0,8.5
Calvin Ridley,WR,ATL,13.0,195.0,15.0
David Montgomery,RB,CHI,16.0,170.4,10.65
Terry McLaurin,WR,WAS,14.0,191.9,13.71
Tyler Boyd,WR,CIN,16.0,222.9,13.93
Matt Ryan,QB,ATL,15.0,265.34,17.69
Deebo Samuel,WR,SFO,15.0,187.1,12.47
Marvin Jones,WR,DET,13.0,193.9,14.92
Carlos Hyde,RB,HOU,16.0,153.2,9.57
Tyreek Hill,WR,KAN,12.0,188.3,15.69
Davante Adams,WR,GNB,12.0,210.7,17.56
Sony Michel,RB,NWE,16.0,152.6,9.54
Tom Brady,QB,NWE,16.0,261.68,16.36
Jason Witten,TE,DAL,16.0,137.9,8.62
Michael Burton,0,WAS,10.0,0.0,0.0
Jared Goff,QB,LAR,16.0,247.52,15.47
Jimmy Garoppolo,QB,SFO,16.0,243.32,15.21
Derek Carr,QB,OAK,16.0,244.36,15.27
Kirk Cousins,QB,MIN,15.0,242.42,16.16
Ryan Fitzpatrick,QB,MIA,15.0,239.46,15.96
Philip Rivers,QB,LAC,16.0,233.5,14.59
Baker Mayfield,QB,CLE,16.0,227.18,14.2
Gardner Minshew,QB,JAX,14.0,223.24,15.95
Drew Brees,QB,NOR,11.0,224.76,20.43
Ryan Tannehill,QB,TEN,12.0,222.18,18.52
Jacoby Brissett,QB,IND,15.0,215.68,14.38
Daniel Jones,QB,NYG,13.0,210.98,16.23
Andy Dalton,QB,CIN,13.0,199.66,15.36
Mitchell Trubisky,QB,CHI,15.0,200.82,13.39
Sam Darnold,QB,NYJ,13.0,183.16,14.09
Kyle Allen,QB,CAR,13.0,177.48,13.65
Matthew Stafford,QB,DET,8.0,166.56,20.82
Devonta Freeman,RB,ATL,14.0,197.6,14.11
Melvin Gordon,RB,LAC,12.0,180.8,15.07
Ronald Jones,RB,TAM,16.0,166.3,10.39
Adrian Peterson,RB,WAS,15.0,147.0,9.8
D.K. Metcalf,WR,SEA,16.0,185.1,11.57
James White,RB,NWE,15.0,198.2,13.21
Odell Beckham,WR,CLE,16.0,201.3,12.58
Emmanuel Sanders,WR,2TM,17.0,188.3,11.08
Latavius Murray,RB,NOR,16.0,157.2,9.82
Darius Slayton,WR,NYG,14.0,170.0,12.14
Jamison Crowder,WR,NYJ,16.0,197.7,12.36
Devin Singletary,RB,BUF,12.0,147.9,12.32
Cole Beasley,WR,BUF,15.0,180.8,12.05
Curtis Samuel,WR,CAR,16.0,171.7,10.73
Tevin Coleman,RB,SFO,14.0,135.4,9.67
James Conner,RB,PIT,10.0,145.5,14.55
Mike Williams,WR,LAC,15.0,161.3,10.75
Damien Williams,RB,KAN,11.0,141.1,12.83
Robby Anderson,WR,NYJ,16.0,160.3,10.02
Chris Conley,WR,JAX,16.0,154.5,9.66
Duke Johnson,RB,HOU,16.0,154.0,9.62
Mason Rudolph,QB,PIT,10.0,108.8,10.88
Jamaal Williams,RB,GNB,14.0,146.3,10.45
David Johnson,RB,ARI,13.0,141.5,10.88
Diontae Johnson,WR,PIT,16.0,157.1,9.82
Case Keenum,QB,WAS,10.0,103.48,10.35
Golden Tate,WR,NYG,11.0,152.2,13.84
Larry Fitzgerald,WR,ARI,16.0,177.4,11.09
Breshad Perriman,WR,TAM,14.0,138.1,9.86
Peyton Barber,RB,TAM,16.0,114.5,7.16
Jordan Howard,RB,PHI,10.0,111.4,11.14
Tyrell Williams,WR,OAK,14.0,143.1,10.22
Marquise Brown,WR,BAL,14.0,146.4,10.46
Randall Cobb,WR,DAL,15.0,154.9,10.33
Christian Kirk,WR,ARI,13.0,166.2,12.78
Royce Freeman,RB,DEN,16.0,142.2,8.89
Mecole Hardman,WR,KAN,16.0,113.5,7.09
Zach Pascal,WR,IND,16.0,133.3,8.33
LeSean McCoy,RB,KAN,13.0,118.6,9.12
Dede Westbrook,WR,JAX,15.0,152.7,10.18
Teddy Bridgewater,QB,NOR,9.0,90.46,10.05
James Washington,WR,PIT,15.0,133.5,8.9
Sammy Watkins,WR,KAN,14.0,136.5,9.75
Gus Edwards,RB,BAL,16.0,92.6,5.79
DeAndre Washington,RB,OAK,16.0,121.9,7.62
Tarik Cohen,RB,CHI,16.0,163.9,10.24
Joe Flacco,QB,DEN,8.0,82.88,10.36
Will Fuller,WR,HOU,11.0,134.0,12.18
Marcus Mariota,QB,TEN,7.0,85.02,12.15
Hunter Renfrow,WR,OAK,13.0,133.5,10.27
Sterling Shepard,WR,NYG,10.0,139.8,13.98
Matt Breida,RB,SFO,13.0,103.3,7.95
Adam Thielen,WR,MIN,10.0,114.4,11.44
Taysom Hill,QB,NOR,16.0,102.2,6.39
Frank Gore,RB,BUF,16.0,94.9,5.93
T.Y. Hilton,WR,IND,10.0,125.1,12.51
Kenny Stills,WR,HOU,13.0,120.1,9.24
Danny Amendola,WR,DET,15.0,140.56,9.37
Alshon Jeffery,WR,PHI,10.0,122.2,12.22
Dwayne Haskins,QB,WAS,9.0,74.7,8.3
Brandin Cooks,WR,LAR,14.0,117.5,8.39
Darren Fells,TE,HOU,16.0,110.1,6.88
Anthony Miller,WR,CHI,16.0,127.5,7.97
Steven Sims,WR,WAS,16.0,103.5,6.47
Kerryon Johnson,RB,DET,8.0,85.0,10.62
Kyle Rudolph,TE,MIN,16.0,111.7,6.98
Rex Burkhead,RB,NWE,13.0,101.1,7.78
Nyheim Hines,RB,IND,16.0,105.9,6.62
Tony Pollard,RB,DAL,15.0,87.2,5.81
Boston Scott,RB,PHI,11.0,96.9,8.81
Corey Davis,WR,TEN,15.0,115.1,7.67
Phillip Dorsett,WR,NWE,14.0,100.8,7.2
Greg Olsen,TE,CAR,14.0,123.7,8.84
Chase Edmonds,RB,ARI,13.0,82.8,6.37
Noah Fant,TE,DEN,16.0,111.0,6.94
JuJu Smith-Schuster,WR,PIT,12.0,113.2,9.43
Jonnu Smith,TE,TEN,16.0,104.7,6.54
Jack Doyle,TE,IND,16.0,111.8,6.99
Demarcus Robinson,WR,KAN,16.0,100.9,6.31
Kendrick Bourne,WR,SFO,16.0,95.8,5.99
Allen Lazard,WR,GNB,16.0,102.8,6.43
Drew Lock,QB,DEN,5.0,68.0,13.6
Rashaad Penny,RB,SEA,10.0,75.3,7.53
John Ross,WR,CIN,8.0,95.0,11.88
Evan Engram,TE,NYG,8.0,109.4,13.68
Mohamed Sanu,WR,2TM,15.0,124.1,8.27
Tyler Eifert,TE,CIN,16.0,104.6,6.54
Ryan Griffin,TE,NYJ,13.0,96.0,7.38
Kareem Hunt,RB,CLE,8.0,101.4,12.68
Willie Snead,WR,BAL,16.0,95.1,5.94
Jimmy Graham,TE,GNB,16.0,100.7,6.29
Auden Tate,WR,CIN,12.0,101.5,8.46
Taylor Gabriel,WR,CHI,9.0,90.3,10.03
Preston Williams,WR,MIA,8.0,90.8,11.35
Alexander Mattison,RB,MIN,13.0,68.4,5.26
Marquez Valdes-Scantling,WR,GNB,16.0,84.1,5.26
Malcolm Brown,RB,LAR,14.0,59.1,4.22
Jeff Driskel,QB,DET,3.0,58.1,19.37
Brian Hill,RB,ATL,12.0,67.2,5.6
Jaylen Samuels,RB,PIT,14.0,104.4,7.46
Tajae Sharpe,WR,TEN,15.0,81.9,5.46
Eric Ebron,TE,IND,11.0,86.5,7.86
Ted Ginn,WR,NOR,16.0,85.9,5.37
Nelson Agholor,WR,PHI,11.0,92.0,8.36
Cameron Brate,TE,TAM,16.0,91.1,5.69
