Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Andy Dalton,CIN,QB,28.34,29
Cam Newton,CAR,QB,33.04,27
Aaron Rodgers,GNB,QB,23.06,7
Deshaun Watson,HOU,QB,33.72,21
Lac Edwards,NYJ,P,1.24,21
Kirk Cousins,WAS,QB,20.6,24
Jameis Winston,TAM,QB,26.48,32
Russell Wilson,SEA,QB,25.6,26
Tyrod Taylor,BUF,QB,12.48,26
Philip Rivers,LAC,QB,19.88,10
Alex Smith,KAN,QB,27.32,10
Tom Brady,NWE,QB,20.48,12
Drew Brees,NOR,QB,19.02,20
Derek Carr,OAK,QB,9.72,15
Jared Goff,LAR,QB,18.1,22
Trevor Siemian,DEN,QB,11.26,17
Dak Prescott,DAL,QB,22.58,9
Eli Manning,NYG,QB,27.72,19
Carson Wentz,PHI,QB,15.08,4
Kevin Hogan,CLE,QB,2.6,14
Carson Palmer,ARI,QB,16.38,31
Matthew Stafford,DET,QB,8.06,3
Ben Roethlisberger,PIT,QB,10.54,2
Brett Hundley,GNB,QB,0.0,7
Josh McCown,NYJ,QB,4.96,1
Case Keenum,MIN,QB,8.76,13
Jay Cutler,MIA,QB,5.06,11
Jacoby Brissett,IND,QB,9.58,8
Mike Glennon,CHI,QB,4.72,25
Joe Flacco,BAL,QB,9.4,6
Matt Ryan,ATL,QB,8.48,5
EJ Manuel,OAK,QB,2.24,15
Brian Hoyer,SFO,QB,7.66,18
Marcus Mariota,TEN,QB,15.74,30
Blake Bortles,JAX,QB,11.4,28
DeShone Kizer,CLE,QB,3.72,14
Matt Cassel,TEN,QB,-5.16,30
Bilal Powell,NYJ,RB,29.0,13
Le'Veon Bell,PIT,RB,34.6,22
LeGarrette Blount,PHI,RB,16.6,20
Todd Gurley,LAR,RB,34.5,9
Kareem Hunt,KAN,RB,16.1,9
C.J. Anderson,DEN,RB,15.2,16
Ameer Abdullah,DET,RB,19.9,1
Elijah McGuire,NYJ,RB,21.1,13
Leonard Fournette,JAX,RB,24.5,19
Ezekiel Elliott,DAL,RB,29.9,29
Jacquizz Rodgers,TAM,RB,12.8,24
Alex Collins,BAL,RB,6.2,18
Tevin Coleman,ATL,RB,18.2,32
LeSean McCoy,BUF,RB,13.8,32
Alfred Morris,DAL,RB,7.6,29
Lamar Miller,HOU,RB,29.1,8
Carlos Hyde,SFO,RB,14.5,4
Jonathan Stewart,CAR,RB,4.8,17
Dalvin Cook,MIN,RB,12.4,31
Devonta Freeman,ATL,RB,15.8,32
Jordan Howard,CHI,RB,14.3,21
Eddie Lacy,SEA,RB,5.2,28
Mike Gillislee,NWE,RB,4.9,3
Aaron Jones,GNB,RB,10.9,6
Tavon Austin,LAR,WR,5.6,24
Jay Ajayi,MIA,RB,6.4,15
Frank Gore,IND,RB,11.0,10
D'Onta Foreman,HOU,RB,4.5,8
Mark Ingram,NOR,RB,10.2,27
Chris Carson,SEA,RB,9.6,28
Wayne Gallman,NYG,RB,13.0,23
Chris Ivory,JAX,RB,5.4,19
J.D. McKissic,SEA,RB,19.5,28
Austin Ekeler,LAC,RB,13.8,2
Wendell Smallwood,PHI,RB,17.9,20
Jamaal Charles,DEN,RB,5.7,16
Chris Johnson,ARI,RB,9.3,25
DeMarco Murray,TEN,RB,5.5,12
Mike Tolbert,BUF,RB,3.1,12
Corey Clement,PHI,RB,3.0,20
Joe Mixon,CIN,RB,8.8,14
Ty Montgomery,GNB,RB,2.8,6
Samaje Perine,WAS,RB,2.7,11
James Conner,PIT,RB,2.6,22
Benny Cunningham,CHI,RB,2.6,21
Alvin Kamara,NOR,RB,25.6,27
Tarik Cohen,CHI,RB,8.8,21
