Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Dak Prescott,DAL,QB,26.58,32
Blake Bortles,JAX,QB,18.52,8
Philip Rivers,LAC,QB,20.76,8
Mitchell Trubisky,CHI,QB,21.34,14
Jay Cutler,MIA,QB,22.92,27
Brett Hundley,GNB,QB,25.7,29
Jared Goff,LAR,QB,14.16,10
Drew Brees,NOR,QB,17.04,10
Nathan Peterman,BUF,QB,7.28,26
Carson Wentz,PHI,QB,27.24,9
T.J. Yates,HOU,QB,18.1,31
Ben Roethlisberger,PIT,QB,28.74,2
DeShone Kizer,CLE,QB,17.26,25
Jimmy Garoppolo,SFO,QB,15.06,30
Matthew Stafford,DET,QB,15.24,19
Trevor Siemian,DEN,QB,13.3,28
Joe Flacco,BAL,QB,16.76,6
Jameis Winston,TAM,QB,14.4,13
Blaine Gabbert,ARI,QB,8.32,21
Russell Wilson,SEA,QB,21.84,1
Case Keenum,MIN,QB,17.2,12
Jacoby Brissett,IND,QB,7.76,5
Alex Smith,KAN,QB,11.12,17
Nick Foles,PHI,QB,2.58,9
Kirk Cousins,WAS,QB,8.84,4
A.J. McCarron,CIN,QB,1.88,7
Eli Manning,NYG,QB,9.12,22
Tom Savage,HOU,QB,2.52,31
Cam Newton,CAR,QB,14.48,3
Derek Carr,OAK,QB,8.44,24
Andy Dalton,CIN,QB,7.64,7
Tom Brady,NWE,QB,9.32,20
Matt Ryan,ATL,QB,6.84,11
Marcus Mariota,TEN,QB,3.46,18
Bryce Petty,NYJ,QB,1.26,15
Josh McCown,NYJ,QB,-1.46,15
Joe Webb,BUF,QB,2.1,26
Kellen Clemens,LAC,QB,-1.88,26
LeSean McCoy,BUF,RB,21.6,28
Jordan Howard,CHI,RB,28.5,30
Frank Gore,IND,RB,15.0,32
Isaiah Crowell,CLE,RB,16.1,21
Alex Collins,BAL,RB,24.6,18
Kareem Hunt,KAN,RB,22.8,16
Kenyan Drake,MIA,RB,24.3,17
Jonathan Stewart,CAR,RB,28.3,1
Leonard Fournette,JAX,RB,21.9,10
Todd Gurley,LAR,RB,28.5,2
Devonta Freeman,ATL,RB,15.1,15
Tarik Cohen,CHI,RB,10.5,30
Jay Ajayi,PHI,RB,9.0,29
Melvin Gordon,LAC,RB,15.3,29
Carlos Hyde,SFO,RB,13.8,12
Kerwynn Williams,ARI,RB,9.8,8
Mike Davis,SEA,RB,7.5,13
Giovani Bernard,CIN,RB,19.0,6
Alfred Morris,DAL,RB,11.5,24
Marshawn Lynch,OAK,RB,13.4,11
Wayne Gallman,NYG,RB,16.9,9
Peyton Barber,TAM,RB,7.3,31
Lamar Miller,HOU,RB,8.0,25
Austin Ekeler,LAC,RB,4.9,25
