Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Alex Smith,KAN,QB,37.64,28
Case Keenum,MIN,QB,16.98,28
Blake Bortles,JAX,QB,23.06,26
Brad Nortman,JAX,P,1.16,26
Russell Wilson,SEA,QB,24.18,10
Mitchell Trubisky,CHI,QB,9.98,31
Jameis Winston,TAM,QB,18.6,25
Josh McCown,NYJ,QB,31.14,24
Cam Newton,CAR,QB,20.42,11
Drew Brees,NOR,QB,14.46,12
Matthew Stafford,DET,QB,11.88,2
Joe Flacco,BAL,QB,18.66,13
Philip Rivers,LAC,QB,17.56,29
Marcus Mariota,TEN,QB,18.3,30
Andy Dalton,CIN,QB,19.26,6
Jared Goff,LAR,QB,15.0,18
Derek Carr,OAK,QB,15.38,32
Dak Prescott,DAL,QB,14.88,32
Geno Smith,NYG,QB,9.78,17
Ben Roethlisberger,PIT,QB,18.0,14
Carson Wentz,PHI,QB,16.92,8
Kirk Cousins,WAS,QB,12.64,22
Tom Savage,HOU,QB,16.5,21
Tom Brady,NWE,QB,8.32,5
Jimmy Garoppolo,SFO,QB,10.52,7
Jay Cutler,MIA,QB,13.5,15
Matt Ryan,ATL,QB,7.02,3
DeShone Kizer,CLE,QB,13.2,4
Blaine Gabbert,ARI,QB,10.04,9
Jacoby Brissett,IND,QB,10.56,1
Nathan Peterman,BUF,QB,2.9,27
Brett Hundley,GNB,QB,7.96,19
David Fales,MIA,QB,0.0,15
Michael Palardy,CAR,P,0.0,15
Joe Webb,BUF,QB,2.7,27
Tyrod Taylor,BUF,QB,3.8,27
Jake Rudock,DET,QB,-1.04,2
Trevor Siemian,DEN,QB,3.6,20
Alfred Morris,DAL,RB,18.7,20
Kenyan Drake,MIA,RB,23.1,5
Jamaal Williams,GNB,RB,20.3,23
Derrick Henry,TEN,RB,16.9,12
Peyton Barber,TAM,RB,18.3,21
Marshawn Lynch,OAK,RB,20.1,24
Kerwynn Williams,ARI,RB,9.7,29
LeSean McCoy,BUF,RB,12.2,17
Dion Lewis,NWE,RB,9.2,32
Mark Ingram,NOR,RB,24.2,3
Rex Burkhead,NWE,RB,25.3,32
Giovani Bernard,CIN,RB,11.6,18
Melvin Gordon,LAC,RB,14.6,14
Le'Veon Bell,PIT,RB,29.2,30
Latavius Murray,MIN,RB,12.7,30
Alex Collins,BAL,RB,23.8,31
Devonta Freeman,ATL,RB,9.1,1
Todd Gurley,LAR,RB,21.8,4
C.J. Anderson,DEN,RB,15.0,27
DeMarco Murray,TEN,RB,9.9,12
Mike Davis,SEA,RB,14.1,2
Frank Gore,IND,RB,6.1,13
Alvin Kamara,NOR,RB,29.6,3
Matt Forte,NYJ,RB,18.1,11
Leonard Fournette,JAX,RB,16.9,28
Lamar Miller,HOU,RB,13.4,8
Carlos Hyde,SFO,RB,9.6,6
Tion Green,DET,RB,11.1,22
Bilal Powell,NYJ,RB,13.0,11
Marlon Mack,IND,RB,6.4,13
Matt Breida,SFO,RB,5.9,6
Jonathan Stewart,CAR,RB,10.5,15
Isaiah Crowell,CLE,RB,5.4,20
Kareem Hunt,KAN,RB,9.3,19
Jordan Howard,CHI,RB,4.3,25
Samaje Perine,WAS,RB,9.9,9
Jay Ajayi,PHI,RB,7.6,10
Joe Mixon,CIN,RB,5.2,18
Orleans Darkwa,NYG,RB,10.1,16
Rod Smith,DAL,RB,8.7,16
LeGarrette Blount,PHI,RB,2.6,10
Jacquizz Rodgers,TAM,RB,2.5,21
Jerick McKinnon,MIN,RB,16.2,21
Javorius Allen,BAL,RB,3.6,31
Travaris Cadet,BUF,RB,7.1,17
Tevin Coleman,ATL,RB,7.9,1
Senorise Perry,MIA,RB,2.2,5
Theo Riddick,DET,RB,17.2,22
Aaron Jones,GNB,RB,8.0,23
Elijah McGuire,NYJ,RB,2.0,11
Austin Ekeler,LAC,RB,6.0,14
James White,NWE,RB,9.0,32
Christian McCaffrey,CAR,RB,15.9,15
Charles Sims,TAM,RB,7.1,21
DeAndre Washington,OAK,RB,7.6,24
Jamaal Charles,DEN,RB,10.1,27
James Conner,PIT,RB,1.2,30
Chris Ivory,JAX,RB,2.5,28
Byron Marshall,WAS,RB,8.6,9
Paul Perkins,NYG,RB,1.2,16
Wayne Gallman,NYG,RB,2.9,16
Jamize Olawale,OAK,RB,4.3,24
Danny Woodhead,BAL,RB,4.3,31
Tavon Austin,LAR,WR,0.8,18
Devontae Booker,DEN,RB,1.8,27
Robby Anderson,NYJ,WR,19.4,30
Corey Clement,PHI,RB,6.7,10
Pharoh Cooper,LAR,WR,1.3,18
Ted Ginn,NOR,WR,5.3,28
Tarik Cohen,CHI,WR,8.4,22
Brandin Cooks,NWE,WR,4.2,5
Stefon Diggs,MIN,WR,5.7,5
D.J. Foster,ARI,RB,4.5,29
Taylor Gabriel,ATL,WR,2.1,8
ArDarius Stewart,NYJ,WR,0.5,30
Elijhaa Penny,ARI,RB,6.4,29
Thomas Rawls,SEA,RB,0.4,2
Jalen Richard,OAK,RB,1.9,24
Bobo Wilson,TAM,WR,0.4,27
Zach Zenner,DET,RB,0.4,22
Kyle Juszczyk,SFO,RB,5.3,6
Eddie Lacy,SEA,RB,0.3,2
Alfred Blue,HOU,RB,1.9,8
Jakeem Grant,MIA,WR,0.2,4
Akeem Hunt,KAN,RB,3.2,19
Duke Johnson,CLE,RB,3.2,20
C.J. Ham,MIN,RB,2.3,20
Cordarrelle Patterson,OAK,WR,13.8,25
J.D. McKissic,SEA,RB,8.4,2
Brian Hoyer,NWE,QB,-0.2,5
Chester Rogers,IND,WR,7.3,1
Shane Vereen,NYG,RB,4.0,16
Andre Ellington,HOU,RB,10.2,8
Chris Moore,BAL,WR,5.8,15
Marquette King,OAK,P,-1.1,15
Tyreek Hill,KAN,WR,36.5,21
Jermaine Kearse,NYJ,WR,24.7,30
Rob Gronkowski,NWE,TE,23.7,22
Nelson Agholor,PHI,WR,27.1,19
Mike Wallace,BAL,WR,16.6,15
Keenan Allen,LAC,WR,26.5,13
Antonio Brown,PIT,WR,24.1,3
Evan Engram,NYG,TE,22.9,26
Marquise Goodwin,SFO,WR,17.9,16
Larry Fitzgerald,ARI,WR,25.8,7
Kenny Stills,MIA,WR,18.8,4
Travis Kelce,KAN,TE,25.4,27
Trent Taylor,SFO,WR,15.2,16
Marvin Jones,DET,WR,13.0,2
Marqise Lee,JAX,WR,21.6,26
Josh Gordon,CLE,WR,12.5,6
Doug Baldwin,SEA,WR,13.4,20
Hunter Henry,LAC,TE,15.1,29
DeAndre Hopkins,HOU,WR,16.0,23
Stephen Anderson,HOU,TE,18.9,18
Dede Westbrook,JAX,WR,13.8,26
A.J. Green,CIN,WR,26.7,12
Ryan Grant,WAS,WR,18.6,24
David Njoku,CLE,TE,17.4,5
Braxton Miller,HOU,WR,11.1,23
Michael Thomas,NOR,WR,18.0,28
Golden Tate,DET,WR,14.9,2
Travis Benjamin,LAC,WR,10.8,13
Cooper Kupp,LAR,WR,11.8,18
Jamison Crowder,WAS,WR,9.7,24
Delanie Walker,TEN,TE,17.3,23
Jarvis Landry,MIA,WR,11.2,4
Dez Bryant,DAL,WR,17.1,4
Alshon Jeffery,PHI,WR,10.1,19
Devin Funchess,CAR,WR,16.0,17
Clive Walford,OAK,TE,9.7,32
Sterling Shepard,NYG,TE,8.6,26
Brandon LaFell,CIN,WR,9.5,12
T.Y. Hilton,IND,WR,14.1,1
Adam Thielen,MIN,WR,9.1,1
Keelan Cole,JAX,WR,13.9,26
Marcedes Lewis,JAX,TE,8.6,25
Seth Roberts,OAK,WR,9.6,25
Kenny Golladay,DET,WR,6.4,2
Ricky Seals-Jones,ARI,TE,6.4,20
Mohamed Sanu,ATL,WR,7.3,8
Davante Adams,GNB,WR,8.2,31
Trey Burton,PHI,TE,8.2,9
JJ Nelson,ARI,WR,6.2,7
Jeremy Maclin,BAL,WR,8.1,15
Martavis Bryant,PIT,WR,8.0,3
Nick Vannett,SEA,TE,7.0,15
Cameron Brate,TAM,TE,17.9,6
Johnny Holton,OAK,WR,10.9,25
Eric Ebron,DET,TE,7.8,21
Sammy Watkins,LAR,WR,12.8,18
Donte Moncrief,IND,WR,8.7,1
Virgil Green,DEN,TE,4.6,30
Kyle Rudolph,MIN,TE,13.6,30
Danny Amendola,NWE,WR,5.4,5
Seth Devalve,CLE,TE,5.3,5
Mike Evans,TAM,WR,5.3,27
Adam Humphries,TAM,WR,7.3,27
Antonio Gates,LAC,TE,6.2,29
Willie Snead,NOR,WR,5.1,28
Garrett Celek,SFO,TE,5.0,7
Tyler Kroft,CIN,TE,5.0,3
Anthony Fasano,MIA,TE,3.9,31
James O'Shaughnessy,JAX,TE,3.9,25
Russell Shepard,CAR,WR,5.9,17
Torrey Smith,PHI,WR,7.9,19
Brandon Coleman,NOR,WR,4.8,28
Eric Decker,TEN,WR,5.7,32
Demaryius Thomas,DEN,WR,4.7,9
Albert Wilson,KAN,WR,5.7,21
Josh Doctson,WAS,WR,11.6,24
Jimmy Graham,SEA,TE,11.6,15
Chad Hansen,NYJ,WR,4.5,30
Levine Toilolo,ATL,TE,4.5,1
Kendall Wright,CHI,WR,4.5,22
T.J. Yeldon,JAX,RB,4.5,28
Zach Ertz,PHI,TE,4.4,9
Chris Godwin,TAM,WR,4.4,27
DeSean Jackson,TAM,WR,4.4,27
Julio Jones,ATL,WR,4.4,8
Ben Watson,BAL,TE,11.4,24
Bennie Fowler,DEN,WR,3.3,9
Tavarres King,NYG,WR,6.3,10
Michael Roberts,DET,TE,3.3,21
Zay Jones,BUF,WR,4.2,29
Austin Hooper,ATL,TE,5.1,1
Dontrelle Inman,CHI,WR,10.1,22
Deonte Thompson,BUF,WR,4.1,29
C.J. Uzomah,CIN,TE,3.1,3
Terrance Williams,DAL,WR,4.1,3
Charles Clay,BUF,TE,5.0,8
Michael Floyd,MIN,WR,4.0,8
Marvin Hall,ATL,WR,3.0,8
George Kittle,SFO,TE,4.0,7
Phillip Supernaw,TEN,TE,3.0,23
Julius Thomas,MIA,TE,11.0,31
Brenton Bersin,CAR,WR,2.8,17
Ed Dickson,CAR,TE,3.8,4
Jarius Wright,MIN,WR,4.8,4
Jermaine Gresham,ARI,TE,3.7,20
O.J. Howard,TAM,TE,2.7,6
Tyler Lockett,SEA,WR,9.7,20
Jordy Nelson,GNB,WR,6.7,31
Demarcus Robinson,KAN,WR,3.7,21
JuJu Smith-Schuster,PIT,WR,5.7,3
Jack Doyle,IND,TE,4.6,10
Josh Ferguson,IND,RB,4.6,13
C.J. Fiedorowicz,HOU,TE,3.6,18
Louis Murphy,SFO,WR,2.6,16
Austin Traylor,DEN,TE,3.6,30
Tyler Boyd,CIN,WR,3.5,12
Vernon Davis,WAS,TE,3.5,17
Taywan Taylor,TEN,WR,3.5,32
Cole Beasley,DAL,WR,3.4,32
Derek Carrier,LAR,TE,2.4,14
Jordan Matthews,BUF,WR,2.4,29
Daniel Brown,CHI,TE,2.3,16
Kaelin Clay,CAR,WR,0.3,17
Alan Cross,TAM,TE,2.3,6
Jesse James,PIT,TE,2.3,19
Damiere Byrd,CAR,WR,2.2,17
Corey Davis,TEN,WR,3.2,32
Niles Paul,WAS,TE,4.2,17
Antony Auclair,TAM,TE,2.1,6
Nick Boyle,BAL,TE,2.1,24
Lance Kendricks,GNB,TE,2.1,2
Emmanuel Sanders,DEN,WR,3.1,9
Chris Thompson,HOU,WR,2.1,23
Brandon Williams,IND,TE,3.1,10
Kenny Britt,CLE,WR,3.0,6
Darren Fells,DET,TE,3.0,21
Mack Hollins,PHI,WR,2.0,19
Logan Thomas,BUF,TE,3.0,8
Jared Cook,OAK,TE,1.9,32
Xavier Grimble,PIT,TE,1.9,19
Roger Lewis,NYG,WR,1.9,10
Josh Malone,CIN,WR,2.9,12
Laquon Treadwell,MIN,WR,1.9,12
Josh Hill,NOR,TE,-0.2,11
Paul Richardson,SEA,WR,2.8,20
Tyrell Williams,LAC,WR,1.8,13
Jason Witten,DAL,TE,7.8,13
Bruce Ellington,HOU,WR,1.7,23
Gerald Everett,LAR,TE,8.7,14
Austin Seferian-Jenkins,NYJ,TE,2.7,12
Tyler Higbee,LAR,TE,1.6,14
Josh Reynolds,LAR,WR,2.6,18
Rhett Ellison,NYG,TE,1.5,26
Cody Latimer,DEN,WR,1.5,9
DeVante Parker,MIA,WR,1.5,4
Dion Sims,CHI,TE,1.5,16
Josh Bellamy,CHI,WR,1.4,22
Richard Rodgers,GNB,TE,1.4,2
Eli Rogers,PIT,WR,1.4,3
Dwayne Allen,NWE,TE,1.3,22
Patrick Ricard,BAL,DL,7.3,22
Tommylee Lewis,NOR,WR,1.2,28
Nick Bellore,DET,LB,7.1,28
Maxx Williams,BAL,TE,1.1,24
Michael Hoomanawanui,NOR,TE,1.0,11
Noah Brown,DAL,WR,0.8,11
Michael Campanaro,BAL,WR,0.0,15
Matt Paradis,DEN,C,0.0,15
Isaiah McKenzie,DEN,WR,0.0,9
Evan Dietrich-Smith,TAM,C,0.0,9
