Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Jameis Winston,TAM,QB,13.28,12
Larry Fitzgerald,ARI,WR,27.74,25
Jared Goff,LAR,QB,25.44,21
Ben Roethlisberger,PIT,QB,16.94,30
Joe Flacco,BAL,QB,17.28,26
Taylor Heinicke,HOU,QB,0.6,6
Russell Wilson,SEA,QB,14.62,22
Tom Brady,NWE,QB,15.56,5
Jimmy Garoppolo,SFO,QB,21.98,1
Drew Brees,NOR,QB,11.16,1
Alex Smith,KAN,QB,17.46,20
Kirk Cousins,WAS,QB,22.76,15
Mitchell Trubisky,CHI,QB,18.12,29
Philip Rivers,LAC,QB,15.6,28
Case Keenum,MIN,QB,9.36,25
Matt Ryan,ATL,QB,14.22,11
Jay Cutler,MIA,QB,15.34,24
Jacoby Brissett,IND,QB,13.4,2
Andy Dalton,CIN,QB,11.42,13
Tyrod Taylor,BUF,QB,12.84,27
Blake Bortles,JAX,QB,20.38,31
Drew Stanton,ARI,QB,12.46,32
Matthew Stafford,DET,QB,10.82,14
Marcus Mariota,TEN,QB,11.4,9
Cam Newton,CAR,QB,15.6,19
Brock Osweiler,DEN,QB,6.42,19
Nick Foles,PHI,QB,8.52,17
Eli Manning,NYG,QB,5.02,18
T.J. Yates,HOU,QB,4.42,6
Dak Prescott,DAL,QB,5.34,8
Bryce Petty,NYJ,QB,6.06,4
Derek Carr,OAK,QB,5.9,10
DeShone Kizer,CLE,QB,4.08,7
Derek Anderson,CAR,QB,0.0,19
Johnny Hekker,LAR,P,0.0,19
Landry Jones,PIT,QB,-0.1,30
Brett Hundley,GNB,QB,6.0,3
Bilal Powell,NYJ,RB,20.5,20
Dion Lewis,NWE,RB,32.3,32
Todd Gurley,LAR,RB,49.6,8
Giovani Bernard,CIN,RB,29.8,31
Alfred Blue,HOU,RB,10.8,18
Ezekiel Elliott,DAL,RB,15.8,10
Marshawn Lynch,OAK,RB,9.2,2
Kareem Hunt,KAN,RB,20.6,27
C.J. Anderson,DEN,RB,26.3,27
Melvin Gordon,LAC,RB,21.8,19
Matt Breida,SFO,RB,15.2,13
LeSean McCoy,BUF,RB,19.7,17
Le'Veon Bell,PIT,RB,20.7,12
Latavius Murray,MIN,RB,8.5,21
Frank Gore,IND,RB,16.6,22
Jamaal Williams,GNB,RB,5.8,1
Kenyan Drake,MIA,RB,5.7,11
Lamar Miller,HOU,RB,7.5,18
Carlos Hyde,SFO,RB,16.3,13
Samaje Perine,WAS,RB,8.4,5
Jay Ajayi,PHI,RB,13.3,16
Peyton Barber,TAM,RB,7.5,3
Alex Collins,BAL,RB,9.6,28
Kerwynn Williams,ARI,RB,8.5,24
Leonard Fournette,JAX,RB,16.0,25
DeMarco Murray,TEN,RB,14.9,29
Devontae Booker,DEN,RB,10.1,29
Isaiah Crowell,CLE,RB,5.3,6
Jordan Howard,CHI,RB,16.4,14
Mark Ingram,NOR,RB,15.6,14
Tion Green,DET,RB,10.3,30
Jerick McKinnon,MIN,RB,6.1,21
Jalen Richard,OAK,RB,3.6,2
Christian McCaffrey,CAR,RB,7.8,23
Javorius Allen,BAL,RB,5.7,28
Devonta Freeman,ATL,RB,5.6,15
Alvin Kamara,NOR,RB,16.0,15
Mike Gillislee,NWE,RB,11.3,32
Stevan Ridley,PIT,RB,2.8,12
Kapri Bibbs,WAS,RB,7.4,5
Mike Davis,SEA,RB,8.3,9
Derrick Henry,TEN,RB,4.1,29
Elijhaa Penny,ARI,RB,5.8,24
Ameer Abdullah,DET,RB,3.6,30
Brandon Bolden,NWE,RB,2.0,32
Duke Johnson,CLE,RB,17.1,6
Thomas Rawls,SEA,RB,2.0,9
Matt Forte,NYJ,RB,1.6,20
Jonathan Stewart,CAR,RB,2.8,23
Wayne Gallman,NYG,RB,12.2,4
Brian Hill,CIN,RB,6.1,31
Marlon Mack,IND,RB,7.4,22
Theo Riddick,DET,RB,6.9,30
Corey Clement,PHI,RB,3.0,16
Ted Ginn,NOR,WR,19.0,16
Aaron Jones,GNB,RB,1.3,1
T.J. Yeldon,JAX,RB,20.7,25
LeGarrette Blount,PHI,RB,2.5,16
Tevin Coleman,ATL,RB,15.2,15
Taylor Gabriel,ATL,WR,4.2,17
Joe Mixon,CIN,RB,5.2,31
Orleans Darkwa,NYG,RB,1.0,4
Paul Perkins,NYG,RB,1.0,4
Rod Smith,DAL,RB,6.3,10
