Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Dak Prescott,DAL,QB,29.96,31
Alex Smith,KAN,QB,25.68,17
Carson Wentz,PHI,QB,31.02,17
Blake Bortles,JAX,QB,16.3,26
Tom Brady,NWE,QB,18.46,26
Russell Wilson,SEA,QB,26.36,32
Robert Golden,PIT,DB,1.76,32
Ben Roethlisberger,PIT,QB,16.66,14
Jay Cutler,MIA,QB,11.52,28
Jameis Winston,TAM,QB,23.36,5
Kirk Cousins,WAS,QB,23.92,10
Josh McCown,NYJ,QB,24.46,20
Philip Rivers,LAC,QB,15.32,15
Matt Moore,MIA,QB,13.52,28
Mitchell Trubisky,CHI,QB,4.58,12
Derek Carr,OAK,QB,30.18,24
Matt Ryan,ATL,QB,17.02,27
Tyrod Taylor,BUF,QB,20.02,19
Joe Flacco,BAL,QB,11.44,3
Drew Brees,NOR,QB,19.14,25
Marcus Mariota,TEN,QB,8.92,29
C.J. Beathard,SFO,QB,14.4,22
Jared Goff,LAR,QB,18.7,18
Trevor Siemian,DEN,QB,5.68,4
Jacoby Brissett,IND,QB,11.1,1
Case Keenum,MIN,QB,6.42,2
Eli Manning,NYG,QB,7.36,8
Andy Dalton,CIN,QB,10.4,6
Cooper Rush,DAL,QB,1.38,31
Cam Newton,CAR,QB,7.44,7
Carson Palmer,ARI,QB,2.88,9
Cody Kessler,CLE,QB,2.74,21
Brett Hundley,GNB,QB,11.88,11
Marqise Lee,JAX,WR,11.2,26
DeShone Kizer,CLE,QB,0.56,21
Drew Stanton,ARI,QB,1.04,9
Ezekiel Elliott,DAL,RB,40.9,25
Le'Veon Bell,PIT,RB,22.2,30
Aaron Jones,GNB,RB,22.8,15
T.J. Yeldon,JAX,RB,21.7,28
Latavius Murray,MIN,RB,17.3,22
Todd Gurley,LAR,RB,25.4,4
Mark Ingram,NOR,RB,21.0,21
LeSean McCoy,BUF,RB,27.2,23
Kareem Hunt,KAN,RB,15.7,16
Dion Lewis,NWE,RB,9.2,16
Devonta Freeman,ATL,RB,12.0,17
Carlos Hyde,SFO,RB,12.8,9
Jordan Howard,CHI,RB,6.5,3
Rod Smith,DAL,RB,7.6,25
DeMarco Murray,TEN,RB,10.6,14
Alvin Kamara,NOR,RB,15.7,21
Jay Ajayi,MIA,RB,10.7,19
Doug Martin,TAM,RB,10.0,32
Malcolm Brown,LAR,RB,6.5,4
Joe Mixon,CIN,RB,9.8,18
Jonathan Stewart,CAR,RB,4.8,6
Chris Ivory,JAX,RB,8.7,28
Jerick McKinnon,MIN,RB,8.7,22
C.J. Anderson,DEN,RB,7.1,20
Bilal Powell,NYJ,RB,10.3,27
Matt Forte,NYJ,RB,13.2,27
Austin Ekeler,LAC,RB,14.4,5
Melvin Gordon,LAC,RB,5.4,5
Chris Thompson,WAS,RB,17.4,2
Thomas Rawls,SEA,RB,4.2,24
Isaiah Crowell,CLE,RB,11.1,8
Orleans Darkwa,NYG,RB,7.8,10
Frank Gore,IND,RB,3.4,13
Eddie Lacy,SEA,RB,5.3,24
DeAndre Washington,OAK,RB,13.0,11
Rex Burkhead,NWE,RB,5.2,11
Mike Gillislee,NWE,RB,3.1,11
Jalen Richard,OAK,RB,11.6,11
Alex Collins,BAL,RB,3.0,1
LeGarrette Blount,PHI,RB,2.9,1
Mike Tolbert,BUF,RB,4.0,23
Tavon Austin,LAR,WR,6.2,18
Duke Johnson,CLE,RB,13.1,8
Marlon Mack,IND,RB,10.6,13
Wendell Smallwood,PHI,RB,5.9,13
Adrian Peterson,ARI,RB,4.3,29
Javorius Allen,BAL,RB,12.9,1
Michael Campanaro,BAL,WR,8.0,8
James Conner,PIT,RB,1.9,30
James White,NWE,RB,15.7,30
Tevin Coleman,ATL,RB,1.6,17
Robert Kelley,WAS,RB,5.0,2
Wayne Gallman,NYG,RB,4.9,10
Tyler Lockett,SEA,WR,8.4,25
Alfred Morris,DAL,RB,3.4,25
Derrick Henry,TEN,RB,4.4,14
Christian McCaffrey,CAR,RB,11.6,6
J.D. McKissic,SEA,RB,5.3,24
Bernard Reedy,TAM,WR,1.0,5
Marshawn Lynch,OAK,RB,0.9,11
Giovani Bernard,CIN,RB,1.7,18
Corey Grant,JAX,RB,4.6,28
Charles Sims,TAM,RB,3.5,32
Jeremy Hill,CIN,RB,0.7,18
Tyreek Hill,KAN,WR,25.2,10
Elijah McGuire,NYJ,RB,0.7,27
Devontae Booker,DEN,RB,5.8,20
Corey Clement,PHI,RB,8.5,20
Ty Montgomery,GNB,RB,2.5,15
Bryce Treggs,CLE,WR,3.5,23
Matt Breida,SFO,RB,0.5,9
Josh Ferguson,IND,RB,0.5,13
Kenjon Barner,PHI,RB,0.4,13
Travis Benjamin,LAC,WR,11.6,4
Shane Vereen,NYG,RB,3.6,10
Robert Woods,LAR,WR,11.3,18
Jamison Crowder,WAS,WR,5.1,20
Andy Janovich,DEN,RB,3.7,20
Ryan Switzer,DAL,WR,1.5,22
Martavis Bryant,PIT,WR,1.5,3
Jamaal Charles,DEN,RB,6.2,20
Jacquizz Rodgers,TAM,RB,2.1,32
Damien Williams,MIA,RB,4.0,19
Tommy Bohanon,JAX,RB,2.4,28
Vince Mayle,BAL,TE,0.0,1
C.J. Spiller,KAN,RB,0.0,16
Deonte Thompson,BUF,WR,14.7,31
Terrell Watson,PIT,RB,0.0,30
Austin Davis,SEA,QB,-0.1,32
Sean Mannion,LAR,QB,-0.1,18
Taylor Gabriel,ATL,WR,3.9,29
Chris Moore,BAL,WR,11.1,8
Tavarres King,NYG,WR,0.3,19
Amari Cooper,OAK,WR,44.0,30
Ted Ginn,NOR,WR,21.1,27
Jared Cook,OAK,TE,16.7,12
Allen Hurns,JAX,WR,15.1,26
Julio Jones,ATL,WR,24.9,29
O.J. Howard,TAM,TE,27.8,22
Jarvis Landry,MIA,WR,22.3,21
Doug Baldwin,SEA,WR,24.2,25
Zach Ertz,PHI,TE,19.9,25
Mike Evans,TAM,WR,21.8,5
Kenny Stills,MIA,WR,26.5,21
Michael Thomas,NOR,WR,15.2,27
Marquise Goodwin,SFO,WR,12.0,24
Hunter Henry,LAC,TE,11.3,31
DeSean Jackson,TAM,WR,12.3,5
Chris Hogan,NWE,WR,11.1,5
Tarik Cohen,CHI,RB,8.0,3
Demarcus Robinson,KAN,WR,11.9,10
Vernon Davis,WAS,TE,10.7,15
A.J. Derby,DEN,TE,10.6,5
Kelvin Benjamin,CAR,WR,9.5,16
Antonio Brown,PIT,WR,16.5,3
Brandin Cooks,NWE,WR,16.5,3
Mohamed Sanu,ATL,WR,12.5,29
Keelan Cole,JAX,WR,8.4,26
Mack Hollins,PHI,WR,13.4,26
Jordan Reed,WAS,TE,26.4,15
Dez Bryant,DAL,WR,19.3,22
Delanie Walker,TEN,TE,11.3,29
Albert Wilson,KAN,WR,13.3,10
Paul Richardson,SEA,WR,14.1,25
Cameron Brate,TAM,TE,12.0,22
Evan Engram,NYG,TE,18.0,9
David Njoku,CLE,TE,7.8,18
Nick O'Leary,BUF,TE,7.8,2
Julius Thomas,MIA,TE,8.8,27
Jason Witten,DAL,TE,15.4,16
Jarius Wright,MIN,WR,8.4,2
Jimmy Graham,SEA,TE,14.1,32
Rob Gronkowski,NWE,TE,8.1,32
Cooper Kupp,LAR,WR,15.1,18
Pierre Garcon,SFO,WR,9.9,24
Nelson Agholor,PHI,WR,14.5,24
Bennie Fowler,DEN,WR,9.5,6
Taywan Taylor,TEN,WR,7.5,13
Jack Doyle,IND,TE,10.4,10
Darrius Heyward-Bey,PIT,WR,5.4,3
Kyle Rudolph,MIN,TE,9.3,21
Sammy Watkins,LAR,WR,7.2,18
Keenan Allen,LAC,WR,7.1,4
Devin Funchess,CAR,WR,8.1,16
A.J. Green,CIN,WR,7.1,12
Adam Thielen,MIN,WR,9.1,2
Rishard Matthews,TEN,WR,7.0,13
Josh Doctson,WAS,WR,6.9,20
JJ Nelson,ARI,WR,5.9,7
JuJu Smith-Schuster,PIT,WR,11.9,3
Trent Taylor,SFO,WR,6.9,24
Ben Watson,BAL,TE,8.8,1
Jaron Brown,ARI,WR,5.7,7
Alshon Jeffery,PHI,WR,5.7,7
Vance McDonald,PIT,TE,5.7,19
Robby Anderson,NYJ,WR,12.5,9
Travis Kelce,KAN,TE,13.3,26
Niles Paul,WAS,TE,4.2,15
Travis Rudolph,NYG,WR,6.2,19
Brandon Coleman,NOR,WR,11.1,27
Donte Moncrief,IND,WR,5.0,1
Amara Darboh,SEA,WR,4.9,25
Larry Fitzgerald,ARI,WR,5.9,7
Jermaine Kearse,NYJ,WR,9.9,9
Marcedes Lewis,JAX,TE,10.9,25
Zach Miller,CHI,TE,4.9,11
Brandon LaFell,CIN,WR,12.8,12
Laquon Treadwell,MIN,WR,5.8,2
Seth Devalve,CLE,TE,4.7,18
T.Y. Hilton,IND,WR,4.7,1
Kerwynn Williams,ARI,RB,4.7,29
Eric Tomlinson,NYJ,TE,3.6,30
Anthony Fasano,MIA,TE,11.5,27
Cole Beasley,DAL,WR,3.4,22
Michael Crabtree,OAK,WR,11.4,30
Tyler Kroft,CIN,TE,12.3,3
Griff Whalen,BAL,WR,6.3,8
