Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Russell Wilson,SEA,QB,35.08,30
Josh McCown,NYJ,QB,18.28,30
Matt Ryan,ATL,QB,15.86,28
Drew Brees,NOR,QB,11.76,7
Andy Dalton,CIN,QB,18.72,26
Joe Flacco,BAL,QB,8.94,20
Deshaun Watson,HOU,QB,32.78,8
Tyrod Taylor,BUF,QB,16.7,17
Tom Brady,NWE,QB,17.52,4
Matthew Stafford,DET,QB,18.02,6
Ryan Mallett,BAL,QB,4.5,20
Case Keenum,MIN,QB,17.52,29
Ben Roethlisberger,PIT,QB,14.48,13
Jacoby Brissett,IND,QB,15.92,14
Carson Wentz,PHI,QB,15.14,31
Kirk Cousins,WAS,QB,10.52,22
Dak Prescott,DAL,QB,7.32,22
Alex Smith,KAN,QB,13.38,15
Philip Rivers,LAC,QB,10.48,27
Derek Carr,OAK,QB,12.52,5
DeShone Kizer,CLE,QB,14.96,3
Cam Newton,CAR,QB,12.56,19
Jameis Winston,TAM,QB,3.7,12
Matt Moore,MIA,QB,3.04,2
C.J. Beathard,SFO,QB,10.68,10
Mitchell Trubisky,CHI,QB,9.86,11
Trevor Siemian,DEN,QB,7.92,24
Tyreek Hill,KAN,WR,3.8,4
LeSean McCoy,BUF,RB,29.3,16
Ezekiel Elliott,DAL,RB,26.4,16
Melvin Gordon,LAC,RB,20.9,17
Alex Collins,BAL,RB,16.3,27
Jordan Howard,CHI,RB,15.1,15
Tevin Coleman,ATL,RB,11.4,19
Frank Gore,IND,RB,14.1,30
C.J. Anderson,DEN,RB,9.5,11
Le'Veon Bell,PIT,RB,14.1,31
Mark Ingram,NOR,RB,17.9,6
Doug Martin,TAM,RB,8.5,3
Isaiah Crowell,CLE,RB,19.8,1
Javorius Allen,BAL,RB,6.7,27
Corey Clement,PHI,RB,5.4,25
Lamar Miller,HOU,RB,22.3,10
Jerick McKinnon,MIN,RB,24.2,14
LeGarrette Blount,PHI,RB,12.2,25
Kareem Hunt,KAN,RB,9.8,5
Dion Lewis,NWE,RB,7.4,20
Devonta Freeman,ATL,RB,7.1,19
Devontae Booker,DEN,RB,14.4,11
Jamaal Charles,DEN,RB,3.4,11
Latavius Murray,MIN,RB,5.7,14
Mike Gillislee,NWE,RB,3.4,20
Jonathan Stewart,CAR,RB,9.4,23
Duke Johnson,CLE,RB,8.3,1
Bilal Powell,NYJ,RB,9.1,1
Alvin Kamara,NOR,RB,16.6,6
Ameer Abdullah,DET,RB,6.8,18
Marlon Mack,IND,RB,15.3,30
DeAndre Washington,OAK,RB,20.8,32
Carlos Hyde,SFO,RB,8.7,2
Jay Ajayi,MIA,RB,8.1,22
Kenyan Drake,MIA,RB,2.2,22
Alfred Blue,HOU,RB,2.1,10
Jalen Richard,OAK,RB,8.6,32
Theo Riddick,DET,RB,6.5,18
Robert Kelley,WAS,RB,7.9,9
Joe Mixon,CIN,RB,11.9,28
Chris Thompson,WAS,RB,15.4,9
Matt Breida,SFO,RB,15.6,2
Rex Burkhead,NWE,RB,15.3,20
Travis Benjamin,LAC,WR,18.8,29
Alex Erickson,CIN,WR,-0.6,26
Mike Tolbert,BUF,RB,2.2,16
Jamison Crowder,WAS,WR,22.5,24
Kyle Juszczyk,SFO,RB,1.2,2
Dwayne Washington,DET,RB,2.6,18
Jeremy Hill,CIN,RB,1.1,28
Curtis Samuel,CAR,WR,4.6,31
Cameron Artis-Payne,CAR,RB,2.0,23
Austin Ekeler,LAC,RB,3.1,17
Matt Forte,NYJ,RB,11.2,17
J.D. McKissic,SEA,RB,2.2,12
Giovani Bernard,CIN,RB,0.5,28
Wendell Smallwood,PHI,RB,2.4,25
Amari Cooper,OAK,WR,10.2,5
Christian McCaffrey,CAR,RB,10.2,23
Alfred Morris,DAL,RB,0.3,23
Jamize Olawale,OAK,RB,6.3,32
Branden Oliver,LAC,RB,0.3,17
Tarik Cohen,CHI,RB,7.8,15
Elijah McGuire,NYJ,RB,0.2,15
James White,NWE,RB,13.7,20
Robby Anderson,NYJ,WR,22.5,20
James Conner,PIT,RB,0.1,31
Jacquizz Rodgers,TAM,RB,0.6,3
Benny Cunningham,CHI,RB,1.0,15
Eddie Lacy,SEA,RB,0.0,12
Lawrence Thomas,NYJ,RB,3.1,12
Stefon Diggs,MIN,WR,6.6,13
Thomas Rawls,SEA,RB,-0.1,12
Nick Foles,PHI,QB,-0.2,31
Tyler Lockett,SEA,WR,17.9,32
DeAndre Hopkins,HOU,WR,36.4,19
JuJu Smith-Schuster,PIT,WR,32.3,15
Travis Kelce,KAN,TE,26.3,31
Marvin Jones,DET,WR,18.8,12
Will Fuller,HOU,WR,29.5,19
Jack Doyle,IND,TE,30.1,19
Paul Richardson,SEA,WR,28.5,32
Adam Thielen,MIN,WR,20.8,13
Tre McBride,CHI,WR,12.2,17
T.J. Jones,DET,WR,12.8,12
Golden Tate,DET,WR,13.6,12
Michael Crabtree,OAK,WR,13.3,5
Michael Thomas,NOR,WR,14.7,16
Julio Jones,ATL,WR,10.4,21
Mohamed Sanu,ATL,WR,19.4,21
Antonio Brown,PIT,WR,12.0,15
Ted Ginn,NOR,WR,8.8,16
Tre Madden,SEA,RB,7.6,12
Demaryius Thomas,DEN,WR,11.6,30
Kenny Stills,MIA,WR,11.5,2
Cameron Brate,TAM,TE,10.4,11
Alshon Jeffery,PHI,WR,14.2,22
Keenan Allen,LAC,WR,10.1,29
Mike Evans,TAM,WR,11.0,28
Chris Hogan,NWE,WR,11.0,6
Eric Ebron,DET,TE,7.8,3
Jared Cook,OAK,TE,9.7,22
Rob Gronkowski,NWE,TE,16.7,5
Doug Baldwin,SEA,WR,11.4,32
Brandon Coleman,NOR,WR,6.4,16
Jeremy Maclin,BAL,WR,14.3,9
Tanner McEvoy,SEA,WR,6.3,32
Andre Holmes,BUF,WR,14.1,10
Leonte Carroo,MIA,WR,10.8,2
Austin Hooper,ATL,TE,14.7,27
Tyler Kroft,CIN,TE,9.6,25
Brandon LaFell,CIN,WR,8.4,26
Jesse James,PIT,TE,6.2,24
Ricardo Louis,CLE,WR,6.2,8
Kelvin Benjamin,CAR,WR,12.9,31
Dez Bryant,DAL,WR,7.9,31
Jimmy Graham,SEA,TE,19.9,23
Ryan Grant,WAS,WR,8.8,24
DeSean Jackson,TAM,WR,6.7,28
Terrance Williams,DAL,WR,5.6,28
Bennie Fowler,DEN,WR,5.5,30
Josh Malone,CIN,WR,11.5,26
Zach Ertz,PHI,TE,13.4,16
Kamar Aiken,IND,WR,5.3,3
Jarvis Landry,MIA,WR,8.3,2
Trent Taylor,SFO,WR,6.3,20
Zay Jones,BUF,WR,6.2,10
Jason Witten,DAL,TE,6.1,10
Mack Hollins,PHI,WR,5.0,22
Nick Boyle,BAL,TE,6.9,30
Josh Hill,NOR,TE,5.9,7
