Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Nathan Peterman,BUF,QB,7.16,11
Tom Brady,NWE,QB,22.64,15
Jared Goff,LAR,QB,26.5,30
C.J. Beathard,SFO,QB,25.02,32
Cam Newton,CAR,QB,35.66,20
Matthew Stafford,DET,QB,21.66,29
Brian Hoyer,NWE,QB,1.48,15
Case Keenum,MIN,QB,24.06,15
Eli Manning,NYG,QB,16.92,31
Russell Wilson,SEA,QB,19.42,18
Brett Hundley,GNB,QB,14.08,7
Matt Ryan,ATL,QB,14.6,22
Andy Dalton,CIN,QB,14.6,21
Jacoby Brissett,IND,QB,15.58,6
Mitchell Trubisky,CHI,QB,15.88,25
Ben Roethlisberger,PIT,QB,15.94,26
Drew Brees,NOR,QB,13.96,5
Johnny Hekker,LAR,P,0.24,5
Philip Rivers,LAC,QB,15.3,1
Jay Cutler,MIA,QB,14.42,12
Dak Prescott,DAL,QB,13.24,12
Kirk Cousins,WAS,QB,27.58,3
Josh McCown,NYJ,QB,12.48,19
Drew Stanton,ARI,QB,15.02,8
DeShone Kizer,CLE,QB,22.98,13
Brock Osweiler,DEN,QB,10.74,27
Marcus Mariota,TEN,QB,17.66,14
Ryan Fitzpatrick,TAM,QB,10.38,28
Blake Bortles,JAX,QB,14.32,4
Tom Savage,HOU,QB,4.84,9
Cody Kessler,CLE,QB,0.2,13
Tyrod Taylor,BUF,QB,2.94,11
Mark Ingram,NOR,RB,31.1,32
Jonathan Stewart,CAR,RB,11.0,27
Alvin Kamara,NOR,RB,24.8,32
Carlos Hyde,SFO,RB,12.4,24
Isaiah Crowell,CLE,RB,16.5,31
Tevin Coleman,ATL,RB,15.8,9
Kenyan Drake,MIA,RB,17.2,3
Le'Veon Bell,PIT,RB,16.2,28
Orleans Darkwa,NYG,RB,10.8,25
Cameron Artis-Payne,CAR,RB,12.8,27
Todd Gurley,LAR,RB,19.6,12
Latavius Murray,MIN,RB,12.8,12
Jamaal Williams,GNB,RB,8.4,6
Lamar Miller,HOU,RB,8.4,29
Corey Grant,JAX,RB,11.6,20
Matt Breida,SFO,RB,12.8,24
Dion Lewis,NWE,RB,11.5,5
C.J. Anderson,DEN,RB,6.5,17
Frank Gore,IND,RB,7.1,18
Jordan Howard,CHI,RB,5.4,21
Duke Johnson,CLE,RB,14.8,31
Ty Montgomery,GNB,RB,14.8,6
Alfred Morris,DAL,RB,5.3,6
Ameer Abdullah,DET,RB,12.5,14
Derrick Henry,TEN,RB,5.2,30
Doug Martin,TAM,RB,5.1,19
LeSean McCoy,BUF,RB,9.0,15
Trey Edmunds,NOR,RB,10.8,32
Austin Ekeler,LAC,RB,26.9,13
DeMarco Murray,TEN,RB,29.2,30
Jamaal Charles,DEN,RB,3.8,17
Joe Mixon,CIN,RB,11.0,8
Rex Burkhead,NWE,RB,15.3,5
Samaje Perine,WAS,RB,7.0,1
Theo Riddick,DET,RB,13.7,14
Leonard Fournette,JAX,RB,6.6,20
Jerick McKinnon,MIN,RB,6.7,20
Lance Dunbar,LAR,RB,3.1,12
Adoree' Jackson,TEN,CB,3.0,12
Bilal Powell,NYJ,RB,2.6,23
Adrian Peterson,ARI,RB,3.2,10
Melvin Gordon,LAC,RB,9.2,13
Thomas Rawls,SEA,RB,5.9,4
J.D. McKissic,SEA,RB,8.6,4
Chris Thompson,WAS,RB,9.7,1
Devontae Booker,DEN,RB,3.9,17
Christian McCaffrey,CAR,RB,20.0,27
Terron Ward,ATL,RB,2.3,9
Wayne Gallman,NYG,RB,2.2,25
Elijah McGuire,NYJ,RB,9.8,23
Charles Sims,TAM,RB,12.0,19
Damien Williams,MIA,RB,5.9,3
D'Onta Foreman,HOU,RB,1.8,29
Marquise Goodwin,SFO,WR,17.1,25
Taylor Gabriel,ATL,WR,10.3,24
Rod Smith,DAL,RB,6.9,24
Travis Benjamin,LAC,WR,1.3,1
James Conner,PIT,RB,1.2,28
Aaron Jones,GNB,RB,2.2,6
Jacquizz Rodgers,TAM,RB,1.2,19
Tavarres King,NYG,WR,5.3,22
Shane Vereen,NYG,RB,7.8,25
T.J. Yeldon,JAX,RB,11.0,20
Giovani Bernard,CIN,RB,9.8,8
Alfred Blue,HOU,RB,1.0,29
Robert Kelley,WAS,RB,3.4,1
Zach Line,NOR,RB,0.9,32
Randall Cobb,GNB,WR,9.0,16
Derrick Coleman,ATL,RB,0.8,9
Marlon Mack,IND,RB,4.6,18
James White,NWE,RB,10.8,5
Keenan Allen,LAC,WR,9.4,1
Alex Erickson,CIN,WR,2.0,23
Jamison Crowder,WAS,WR,12.1,8
Andre Ellington,ARI,RB,12.0,10
ArDarius Stewart,NYJ,WR,1.4,31
Taywan Taylor,TEN,WR,5.8,3
Devonta Freeman,ATL,RB,0.3,9
C.J. Ham,MIN,RB,0.3,9
Andy Janovich,DEN,RB,0.3,17
C.J. Prosise,SEA,RB,0.3,4
Aaron Ripkowski,GNB,RB,2.5,6
Chester Rogers,IND,WR,22.7,12
Tavon Austin,LAR,WR,0.2,32
Brandon Bolden,NWE,RB,0.1,5
Tarik Cohen,CHI,RB,2.1,21
Jalston Fowler,TEN,RB,0.1,30
Chris Ivory,JAX,RB,0.6,20
Braxton Miller,HOU,WR,0.1,7
Benny Cunningham,CHI,RB,4.2,21
