Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Kirk Cousins,WAS,QB,26.8,17
Tom Brady,NWE,QB,33.72,30
Jared Goff,LAR,QB,23.58,31
Case Keenum,MIN,QB,28.56,19
Dak Prescott,DAL,QB,22.92,18
Drew Brees,NOR,QB,20.8,12
Blake Bortles,JAX,QB,27.56,2
Alex Smith,KAN,QB,15.1,4
Josh McCown,NYJ,QB,14.66,20
Tyrod Taylor,BUF,QB,17.82,15
Andy Dalton,CIN,QB,16.28,25
Jacoby Brissett,IND,QB,27.76,29
Ryan Mallett,BAL,QB,5.44,1
Russell Wilson,SEA,QB,33.52,21
Marcus Mariota,TEN,QB,19.7,8
Aaron Rodgers,GNB,QB,24.82,14
Eli Manning,NYG,QB,22.64,10
Brian Hoyer,SFO,QB,26.18,9
Carson Palmer,ARI,QB,21.7,22
Carson Wentz,PHI,QB,13.24,32
Deshaun Watson,HOU,QB,20.14,27
Ben Roethlisberger,PIT,QB,12.0,7
Matthew Stafford,DET,QB,16.46,7
Jameis Winston,TAM,QB,15.52,3
Matt Ryan,ATL,QB,13.66,13
Mike Glennon,CHI,QB,6.44,6
Jay Cutler,MIA,QB,11.7,28
Trevor Siemian,DEN,QB,7.56,5
Derek Carr,OAK,QB,5.22,5
DeShone Kizer,CLE,QB,22.08,26
Cam Newton,CAR,QB,8.28,11
Derek Anderson,CAR,QB,0.68,11
Chad Henne,JAX,QB,-0.3,2
Philip Rivers,LAC,QB,3.48,24
Joe Flacco,BAL,QB,-2.88,1
Matt Haack,MIA,P,-2.0,1
Kareem Hunt,KAN,RB,25.3,20
Jordan Howard,CHI,RB,31.6,18
DeMarco Murray,TEN,RB,19.0,10
Todd Gurley,LAR,RB,37.9,25
Devonta Freeman,ATL,RB,22.8,31
Dalvin Cook,MIN,RB,27.9,23
Carlos Hyde,SFO,RB,24.4,29
Alex Collins,BAL,RB,8.2,13
Ezekiel Elliott,DAL,RB,18.4,4
Melvin Gordon,LAC,RB,13.9,11
Tarik Cohen,CHI,RB,14.2,18
Corey Grant,JAX,RB,10.3,22
